index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,nusaparagraph_topic_mak_seacrowd_text,0,eng,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.3787934231576966,0.3507852141509691,0.34959832760034515,0.42453647341815864,0.36428571428571427,0.38225812945731685
1,nusaparagraph_topic_mak_seacrowd_text,1,eng,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.2785714285714286,0.27893275647320137,0.2640148659108738,0.24583012676720137,0.2994431858392569,0.2785714285714286,0.269303243389233
2,nusaparagraph_topic_mak_seacrowd_text,2,eng,0.25,0.25,0.25,0.25,0.28991195059068503,0.23157705535614315,0.22325241282695363,0.3365879522446194,0.25,0.2586732262901192
3,mabl_ind_seacrowd_qa,0,eng,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.6271929824561403,0.6404298700195395,0.6271929824561403,0.6181957879390847,0.6404298700195395,0.6271929824561403,0.6181957879390847
4,mabl_ind_seacrowd_qa,1,eng,0.6780701754385965,0.6780701754385965,0.6780701754385965,0.6780701754385965,0.6789077212806026,0.6780701754385965,0.6776929601357082,0.6789077212806026,0.6780701754385965,0.6776929601357082
5,mabl_ind_seacrowd_qa,2,eng,0.6017543859649123,0.6017543859649123,0.6017543859649123,0.6017543859649123,0.6017744338681673,0.6017543859649123,0.6017347730266803,0.6017744338681673,0.6017543859649123,0.6017347730266803
6,indolem_sentiment_seacrowd_text,0,eng,0.7309594460929772,0.7309594460929772,0.7309594460929772,0.7309594460929772,0.6728594991752886,0.6627681504560557,0.6670283046283201,0.724051596777923,0.7309594460929772,0.7269186515985971
7,indolem_sentiment_seacrowd_text,1,eng,0.6538081107814046,0.6538081107814046,0.6538081107814046,0.6538081107814046,0.6173275482408208,0.6354142153863531,0.6181364931364932,0.6919060381636891,0.6538081107814046,0.6660449763812771
8,indolem_sentiment_seacrowd_text,2,eng,0.636003956478734,0.636003956478734,0.636003956478734,0.636003956478734,0.5547174811310569,0.5524770089516835,0.5533079760258184,0.6288578927119052,0.636003956478734,0.6322018424349217
9,sib_200_ban_Latn_seacrowd_text,0,eng,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3965905629551685,0.3464244836690657,0.3083304421382228,0.4040637150382541,0.3333333333333333,0.30778372458874925
10,sib_200_ban_Latn_seacrowd_text,1,eng,0.27941176470588236,0.27941176470588236,0.27941176470588236,0.27941176470588236,0.3426657414198942,0.27922848565263425,0.2753960472549113,0.36105318213731347,0.27941176470588236,0.2826708006633592
11,sib_200_ban_Latn_seacrowd_text,2,eng,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.3088235294117647,0.29945432319634685,0.3064123544154504,0.26260973691902345,0.328391008110377,0.3088235294117647,0.28390135549418755
12,seaeval_sg_eval_eng_seacrowd_qa,0,eng,0.5436893203883495,0.5436893203883495,0.5436893203883495,0.5436893203883495,0.5411401098901099,0.5502873563218391,0.5376381659276396,0.5648164941854262,0.5436893203883495,0.5486566178952484
13,seaeval_sg_eval_eng_seacrowd_qa,1,eng,0.5145631067961165,0.5145631067961165,0.5145631067961165,0.5145631067961165,0.5363847232711187,0.5086206896551724,0.5071002828180843,0.580145531560992,0.5145631067961165,0.5355974449183112
14,seaeval_sg_eval_eng_seacrowd_qa,2,eng,0.4368932038834951,0.4368932038834951,0.4368932038834951,0.4368932038834951,0.43701923076923077,0.43994252873563217,0.4347242921013413,0.450429424943988,0.4368932038834951,0.4405191497981567
15,nusaparagraph_topic_min_seacrowd_text,0,eng,0.30375,0.30375,0.30375,0.30375,0.3587426914612636,0.31394132397955554,0.31556433338563344,0.365423159897218,0.30375,0.31664166294338747
16,nusaparagraph_topic_min_seacrowd_text,1,eng,0.25875,0.25875,0.25875,0.25875,0.26080536069637134,0.25673938952487363,0.22843767729037057,0.26547601813627764,0.25875,0.2364516160486936
17,nusaparagraph_topic_min_seacrowd_text,2,eng,0.2275,0.2275,0.2275,0.2275,0.23738270409534892,0.2304058671411865,0.20931889301748555,0.24328791098919184,0.2275,0.21404862452258974
18,shopee_reviews_tagalog_seacrowd_text,0,eng,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.33288846695426055,0.2733333333333333,0.2575571041301912,0.3328884669542605,0.2733333333333333,0.2575571041301912
19,shopee_reviews_tagalog_seacrowd_text,1,eng,0.25733333333333336,0.25733333333333336,0.25733333333333336,0.25733333333333336,0.2752856492021476,0.2573333333333333,0.23514476349324406,0.2752856492021476,0.25733333333333336,0.23514476349324404
20,shopee_reviews_tagalog_seacrowd_text,2,eng,0.2391111111111111,0.2391111111111111,0.2391111111111111,0.2391111111111111,0.22942950764591225,0.2391111111111111,0.1757542532848386,0.2294295076459123,0.2391111111111111,0.17575425328483862
21,sib_200_khm_Khmr_seacrowd_text,0,eng,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.28991320666197506,0.2712510554461019,0.24782433344731142,0.32130783347821884,0.25980392156862747,0.25592608752383356
22,sib_200_khm_Khmr_seacrowd_text,1,eng,0.2107843137254902,0.2107843137254902,0.2107843137254902,0.2107843137254902,0.25090773608593625,0.23955001139211665,0.20959461208132768,0.28310958202504616,0.2107843137254902,0.20252486292303404
