index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_khm_Khmr_seacrowd_text,0,eng,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.48302373581011354,0.3991988661493306,0.37773522070826837,0.47658959610676055,0.43137254901960786,0.38499735578302774
1,sib_200_khm_Khmr_seacrowd_text,1,eng,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.34458168521789456,0.36493318858643936,0.31862193948938317,0.33354957444353034,0.35294117647058826,0.3178802565436119
2,sib_200_khm_Khmr_seacrowd_text,2,eng,0.27941176470588236,0.27941176470588236,0.27941176470588236,0.27941176470588236,0.3799978055738425,0.30319716403307734,0.2787669192047072,0.4023726694979067,0.27941176470588236,0.2839358279467388
3,nusatranslation_senti_bhp_seacrowd_text,0,eng,0.526,0.526,0.526,0.526,0.37166424065987386,0.36574074074074076,0.34546042525669013,0.6561280931586609,0.526,0.557623089983022
4,nusatranslation_senti_bhp_seacrowd_text,1,eng,0.616,0.616,0.616,0.616,0.36309037900874636,0.3593915343915344,0.3609587809224833,0.6346752186588922,0.616,0.6249123461029087
5,nusatranslation_senti_bhp_seacrowd_text,2,eng,0.602,0.602,0.602,0.602,0.37906974182747377,0.3878306878306878,0.37511697300351354,0.6601367961934973,0.602,0.6205974892737962
6,sib_200_min_Latn_seacrowd_text,0,eng,0.696078431372549,0.696078431372549,0.696078431372549,0.696078431372549,0.7630317774075076,0.6507666894509,0.6784366107240792,0.7590185569475163,0.696078431372549,0.6925277388766247
7,sib_200_min_Latn_seacrowd_text,1,eng,0.5637254901960784,0.5637254901960784,0.5637254901960784,0.5637254901960784,0.7640619405657,0.5682440057362658,0.5687254214770826,0.7921508223172309,0.5637254901960784,0.5819008226665185
8,sib_200_min_Latn_seacrowd_text,2,eng,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.6204347097075205,0.5493342313001756,0.5210248575105512,0.651694914442609,0.5196078431372549,0.5237072518580298
9,nusax_senti_jav_seacrowd_text,0,eng,0.5675,0.5675,0.5675,0.5675,0.43494188459941885,0.5006898454746137,0.44736286151380494,0.4784750933997509,0.5675,0.5049352735484811
10,nusax_senti_jav_seacrowd_text,1,eng,0.5275,0.5275,0.5275,0.5275,0.4396133170403001,0.4659996356894487,0.4200511826153792,0.47453142443351537,0.5275,0.4713960800754638
11,nusax_senti_jav_seacrowd_text,2,eng,0.5225,0.5225,0.5225,0.5225,0.5152851416009311,0.4620174688712866,0.4128048088480328,0.5174180783654468,0.5225,0.4624242604500363
12,m3exam_tha_seacrowd_qa,0,eng,0.24400369003690037,0.24400369003690037,0.24400369003690037,0.24400369003690037,0.19522213280556094,0.21643934021100816,0.20217927173865435,0.22220452172181743,0.24400369003690037,0.22907921869123699
13,m3exam_tha_seacrowd_qa,1,eng,0.23800738007380073,0.23800738007380073,0.23800738007380073,0.23800738007380073,0.19026571650281002,0.21164505985660612,0.19860939188065868,0.2160483298322276,0.23800738007380073,0.2244763302195346
14,m3exam_tha_seacrowd_qa,2,eng,0.25276752767527677,0.25276752767527677,0.25276752767527677,0.25276752767527677,0.20302002351065687,0.2239856310363483,0.20389730806552783,0.23130572432974209,0.25276752767527677,0.23134999368944786
15,sib_200_ban_Latn_seacrowd_text,0,eng,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7527788807830824,0.656922453191803,0.6822818298330032,0.7539678050707463,0.7058823529411765,0.7031492385076024
16,sib_200_ban_Latn_seacrowd_text,1,eng,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.7289972109371056,0.5910063259753663,0.6008109970091334,0.7612595531178019,0.5882352941176471,0.6104165093370323
17,sib_200_ban_Latn_seacrowd_text,2,eng,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.6643706898132977,0.5515935560827202,0.5468064148736418,0.7166402046144673,0.5490196078431373,0.5708055016878546
18,mabl_sun_seacrowd_qa,0,eng,0.5,0.5,0.5,0.5,0.5,0.5,0.4967793880837359,0.5,0.5,0.49677938808373595
19,mabl_sun_seacrowd_qa,1,eng,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666
20,mabl_sun_seacrowd_qa,2,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5367074527252502,0.5366666666666666,0.5365379272020006,0.5367074527252503,0.5366666666666666,0.5365379272020006
21,nusaparagraph_topic_mui_seacrowd_text,0,eng,0.7625,0.7625,0.7625,0.7625,0.7502093235333934,0.680448717948718,0.7068835284994591,0.8532579888917797,0.7625,0.797720809271519
22,nusaparagraph_topic_mui_seacrowd_text,1,eng,0.6425,0.6425,0.6425,0.6425,0.6178846218616646,0.5558712121212122,0.5686941802223714,0.723895119566572,0.6425,0.6620897931968553
23,nusaparagraph_topic_mui_seacrowd_text,2,eng,0.6625,0.6625,0.6625,0.6625,0.6687186572609443,0.5838578088578088,0.5950736457720369,0.7659488841018025,0.6625,0.6759551920565989
24,gklmip_sentiment_seacrowd_text,0,eng,0.07262569832402235,0.07262569832402235,0.07262569832402235,0.07262569832402235,0.2438526030022357,0.1959951396121609,0.0770091965441622,0.7573127305071469,0.07262569832402235,0.061974007881995946
25,gklmip_sentiment_seacrowd_text,1,eng,0.138268156424581,0.138268156424581,0.138268156424581,0.138268156424581,0.22392461588272444,0.20664459653821354,0.08489171400815727,0.6911548068369792,0.138268156424581,0.16132040324168218
26,gklmip_sentiment_seacrowd_text,2,eng,0.2807262569832402,0.2807262569832402,0.2807262569832402,0.2807262569832402,0.2062099020171611,0.23058696622526412,0.13282794498973235,0.6440990007284467,0.2807262569832402,0.3483465144392729
27,gklmip_newsclass_seacrowd_text,0,eng,0.15181058495821728,0.15181058495821728,0.15181058495821728,0.15181058495821728,0.16140619285927685,0.16388797632810526,0.1439292651870373,0.18231624798043744,0.15181058495821728,0.150063281753088
28,gklmip_newsclass_seacrowd_text,1,eng,0.11142061281337047,0.11142061281337047,0.11142061281337047,0.11142061281337047,0.1295693703809003,0.12790642619848486,0.10323019981063308,0.14799039104482054,0.11142061281337047,0.10627619428755977
29,gklmip_newsclass_seacrowd_text,2,eng,0.17409470752089137,0.17409470752089137,0.17409470752089137,0.17409470752089137,0.19028208197640792,0.17970933427938976,0.16584190335670573,0.21788217437771734,0.17409470752089137,0.17821600515916872
30,nusaparagraph_topic_mak_seacrowd_text,0,eng,0.6342857142857142,0.6342857142857142,0.6342857142857142,0.6342857142857142,0.640462629732556,0.6201217734687268,0.603976604019449,0.7060680547085643,0.6342857142857142,0.645503006905627
31,nusaparagraph_topic_mak_seacrowd_text,1,eng,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5171428571428571,0.5734168634430661,0.48951928015152923,0.4841771156335812,0.6083989973997592,0.5171428571428571,0.5116752266546524
32,nusaparagraph_topic_mak_seacrowd_text,2,eng,0.5271428571428571,0.5271428571428571,0.5271428571428571,0.5271428571428571,0.655086145639175,0.4726525504204745,0.4608897240701513,0.6647083520772713,0.5271428571428571,0.5022218295062895
33,sib_200_tha_Thai_seacrowd_text,0,eng,0.5735294117647058,0.5735294117647058,0.5735294117647058,0.5735294117647058,0.6461543341042114,0.5300898636966748,0.5457933684371872,0.6530860807694283,0.5735294117647058,0.5648648953080516
34,sib_200_tha_Thai_seacrowd_text,1,eng,0.46568627450980393,0.46568627450980393,0.46568627450980393,0.46568627450980393,0.5709905174190889,0.48467411845120817,0.456480024307509,0.5960457162663044,0.46568627450980393,0.4565381486560195
35,sib_200_tha_Thai_seacrowd_text,2,eng,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.4898481537136999,0.4173940868213314,0.40110366374219353,0.5186049372900584,0.4117647058823529,0.4133794835892677
36,seaeval_ph_eval_eng_seacrowd_qa,0,eng,0.41,0.41,0.41,0.41,0.4215510366826156,0.39170794930875574,0.3955477855477856,0.4124601275917065,0.41,0.4011505827505828
