index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_bjn_Latn_seacrowd_text,0,eng,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.6524614862667475,0.6354712985672737,0.6282731461776107,0.6732297434023777,0.6274509803921569,0.6372605851094049
1,sib_200_bjn_Latn_seacrowd_text,1,eng,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.5686274509803921,0.6691266900126418,0.6253703778161982,0.5805309574126127,0.7227666972677769,0.5686274509803921,0.5774552607278438
2,sib_200_bjn_Latn_seacrowd_text,2,eng,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.6860982814178301,0.6344262393952796,0.607730587832183,0.7193467123691581,0.6078431372549019,0.6140166036946124
3,xcopa_ind_seacrowd_qa,0,eng,0.512,0.512,0.512,0.512,0.5122838050314465,0.512,0.5091649366742304,0.5122838050314464,0.512,0.5091649366742304
4,xcopa_ind_seacrowd_qa,1,eng,0.522,0.522,0.522,0.522,0.5231189575451871,0.522,0.516145358841988,0.523118957545187,0.522,0.516145358841988
5,xcopa_ind_seacrowd_qa,2,eng,0.56,0.56,0.56,0.56,0.5606560559006211,0.56,0.5588070141663057,0.5606560559006212,0.56,0.5588070141663056
6,wisesight_thai_sentiment_seacrowd_text,0,eng,0.3852489704230625,0.3852489704230625,0.3852489704230625,0.3852489704230625,0.3765169504037318,0.40302000016180095,0.3483047755793086,0.5028939237972895,0.3852489704230625,0.39167628146301725
7,wisesight_thai_sentiment_seacrowd_text,1,eng,0.4998128041931861,0.4998128041931861,0.4998128041931861,0.4998128041931861,0.3692861013451318,0.3267315592808384,0.32437387211276014,0.5247338230110903,0.4998128041931861,0.4878758394991435
8,wisesight_thai_sentiment_seacrowd_text,2,eng,0.2564582553350805,0.2564582553350805,0.2564582553350805,0.2564582553350805,0.3376250994182738,0.31226670479793234,0.20766201674595539,0.49729338148113206,0.2564582553350805,0.18420684054765912
9,belebele_zsm_latn_seacrowd_qa,0,eng,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.34444444444444444,0.3501442639156232,0.3504614603356543,0.34362837728802775,0.35060481378591235,0.34444444444444444,0.3409864369299032
10,belebele_zsm_latn_seacrowd_qa,1,eng,0.6155555555555555,0.6155555555555555,0.6155555555555555,0.6155555555555555,0.621749001416796,0.6196071643393242,0.6171535042494984,0.6242567716202737,0.6155555555555555,0.6164712192681875
11,belebele_zsm_latn_seacrowd_qa,2,eng,0.5711111111111111,0.5711111111111111,0.5711111111111111,0.5711111111111111,0.5730035401254697,0.5749340602021817,0.5713007009626226,0.5763404877497887,0.5711111111111111,0.5709844679593493
12,nusax_senti_eng_seacrowd_text,0,eng,0.8275,0.8275,0.8275,0.8275,0.8052727651389858,0.7896205759713745,0.7913431077391265,0.8181654048292845,0.8275,0.8179920734059027
13,nusax_senti_eng_seacrowd_text,1,eng,0.86,0.86,0.86,0.86,0.8446047745697224,0.8489021988486344,0.8457472311471866,0.8660903234284709,0.86,0.8622005917502064
14,nusax_senti_eng_seacrowd_text,2,eng,0.795,0.795,0.795,0.795,0.8225371517635848,0.7431304015351542,0.7426925660935924,0.8144631146397276,0.795,0.7730587796005878
15,karonese_sentiment_seacrowd_text,0,eng,0.439,0.439,0.439,0.439,0.4622921706436114,0.38335763387337046,0.3206158926510511,0.45889040866864206,0.439,0.35360906803705167
16,karonese_sentiment_seacrowd_text,1,eng,0.378,0.378,0.378,0.378,0.4688664737925821,0.35995161743640985,0.25603291121235905,0.4709535538353272,0.378,0.27600933799723587
17,karonese_sentiment_seacrowd_text,2,eng,0.388,0.388,0.388,0.388,0.37025031991889173,0.3661950101384113,0.3591458976457392,0.3782111014385347,0.388,0.3732915834477083
18,sib_200_ind_Latn_seacrowd_text,0,eng,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.852877430808215,0.8012543390561966,0.8195211455368243,0.842183689894318,0.8333333333333334,0.8314774233557449
19,sib_200_ind_Latn_seacrowd_text,1,eng,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.77439892578,0.7581680136169301,0.7445328595055811,0.8171425917919323,0.7549019607843137,0.7665031175653246
