index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,wongnai_reviews_seacrowd_text,0,eng,0.10365951958729647,0.10365951958729647,0.10365951958729647,0.10365951958729647,0.21695158618849053,0.2508945878767307,0.08848850335200716,0.38875911377081135,0.10365951958729647,0.13204161818243243
1,wongnai_reviews_seacrowd_text,1,eng,0.12332742221505723,0.12332742221505723,0.12332742221505723,0.12332742221505723,0.20671876186117455,0.24987111345702478,0.10700750559506952,0.3553122212302665,0.12332742221505723,0.15586006738237865
2,wongnai_reviews_seacrowd_text,2,eng,0.08286313074318878,0.08286313074318878,0.08286313074318878,0.08286313074318878,0.21410704674261932,0.2486226333268405,0.07923517714543418,0.3646413164501413,0.08286313074318878,0.10232098067713911
3,indommlu_sun_seacrowd_qa,0,eng,0.24187195406902998,0.24187195406902998,0.24187195406902998,0.24187195406902998,0.24019991880549432,0.22829774199921088,0.18764861290199392,0.26239707272460394,0.24187195406902998,0.2006586907298746
4,indommlu_sun_seacrowd_qa,1,eng,0.33360037385673275,0.33360037385673275,0.33360037385673275,0.33360037385673275,0.42016902264042344,0.2902004202145886,0.26880524124015726,0.42087926781017027,0.33360037385673275,0.29336595285451844
5,indommlu_sun_seacrowd_qa,2,eng,0.25942986848254224,0.25942986848254224,0.25942986848254224,0.25942986848254224,0.40373028497384966,0.2116349171053038,0.10802608292650233,0.4330544590535848,0.25942986848254224,0.1288576102310925
6,okapi_m_arc_vie_seacrowd_qa,0,eng,0.22136752136752136,0.22136752136752136,0.22136752136752136,0.22136752136752136,0.22286141336842444,0.18487533502044826,0.16202006191969542,0.27999466697173403,0.22136752136752136,0.19770830098515532
7,okapi_m_arc_vie_seacrowd_qa,1,eng,0.3213675213675214,0.3213675213675214,0.3213675213675214,0.3213675213675214,0.3131913795726266,0.26810648044334817,0.23713820819793954,0.39643111924914304,0.3213675213675214,0.2931852501222312
8,okapi_m_arc_vie_seacrowd_qa,2,eng,0.23162393162393163,0.23162393162393163,0.23162393162393163,0.23162393162393163,0.38128834355828223,0.20349296857481497,0.08818498751004519,0.48720383229585684,0.23162393162393163,0.10216245577966765
9,indommlu_abl_seacrowd_qa,0,eng,0.24187195406902998,0.24187195406902998,0.24187195406902998,0.24187195406902998,0.24019991880549432,0.22829774199921088,0.18764861290199392,0.26239707272460394,0.24187195406902998,0.2006586907298746
10,indommlu_abl_seacrowd_qa,1,eng,0.33360037385673275,0.33360037385673275,0.33360037385673275,0.33360037385673275,0.42016902264042344,0.2902004202145886,0.26880524124015726,0.42087926781017027,0.33360037385673275,0.29336595285451844
11,indommlu_abl_seacrowd_qa,2,eng,0.25942986848254224,0.25942986848254224,0.25942986848254224,0.25942986848254224,0.40373028497384966,0.2116349171053038,0.10802608292650233,0.4330544590535848,0.25942986848254224,0.1288576102310925
12,sib_200_tgl_Latn_seacrowd_text,0,eng,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.7630776438615385,0.6974266548724752,0.7187868152826821,0.761277201306865,0.7450980392156863,0.7408545134632368
13,sib_200_tgl_Latn_seacrowd_text,1,eng,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.7458034931820098,0.6941846595097368,0.6835677354831118,0.7604446637393834,0.7107843137254902,0.6975308218942997
14,sib_200_tgl_Latn_seacrowd_text,2,eng,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.7396775638906389,0.6984118049133529,0.6637485499427852,0.7914895360059867,0.6617647058823529,0.6726830256376034
15,nusax_senti_min_seacrowd_text,0,eng,0.4775,0.4775,0.4775,0.4775,0.5585470085470086,0.4827867773305054,0.4356171975327119,0.5810288461538462,0.4775,0.4342306080259227
16,nusax_senti_min_seacrowd_text,1,eng,0.4525,0.4525,0.4525,0.4525,0.5035119047619048,0.46867515402040144,0.41496526121288113,0.5261504464285714,0.4525,0.4134910053490837
17,nusax_senti_min_seacrowd_text,2,eng,0.4275,0.4275,0.4275,0.4275,0.4215243568691845,0.37700686418791207,0.28809401680809704,0.4623152709359606,0.4275,0.3223455658515371
18,nusax_senti_sun_seacrowd_text,0,eng,0.4025,0.4025,0.4025,0.4025,0.5067299836601307,0.40934844320362435,0.3538165266106443,0.5275514705882354,0.4025,0.3479761904761905
19,nusax_senti_sun_seacrowd_text,1,eng,0.39,0.39,0.39,0.39,0.5029471648172655,0.4153870709431675,0.3590665037616371,0.5297682352641759,0.39,0.35324895130973816
20,nusax_senti_sun_seacrowd_text,2,eng,0.3775,0.3775,0.3775,0.3775,0.34445824179323087,0.33044274553088343,0.21694848184579196,0.3873520393542841,0.3775,0.24629571211059287
21,myxnli_seacrowd_pairs,0,eng,0.3449101796407186,0.3449101796407186,0.3449101796407186,0.3449101796407186,0.3505379778829463,0.3449101796407186,0.26196258886534607,0.3505379778829463,0.3449101796407186,0.26196258886534607
22,myxnli_seacrowd_pairs,1,eng,0.34251497005988024,0.34251497005988024,0.34251497005988024,0.34251497005988024,0.3613041820704231,0.34251497005988024,0.2751647767674048,0.36130418207042303,0.34251497005988024,0.2751647767674048
23,myxnli_seacrowd_pairs,2,eng,0.34191616766467064,0.34191616766467064,0.34191616766467064,0.34191616766467064,0.23492976160465817,0.34191616766467064,0.23818279646395477,0.23492976160465817,0.34191616766467064,0.2381827964639547
24,belebele_tha_thai_seacrowd_qa,0,eng,0.2544444444444444,0.2544444444444444,0.2544444444444444,0.2544444444444444,0.31011968527206235,0.2727761667772775,0.19195539807662393,0.3162700963310472,0.2544444444444444,0.18413271828726566
25,belebele_tha_thai_seacrowd_qa,1,eng,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.31333333333333335,0.5385873928115308,0.32934569863888064,0.2620382676358559,0.5459016987978673,0.31333333333333335,0.25918714419728284
26,belebele_tha_thai_seacrowd_qa,2,eng,0.23555555555555555,0.23555555555555555,0.23555555555555555,0.23555555555555555,0.43273542600896864,0.25685588708678964,0.10726960824293831,0.4220266567015446,0.23555555555555555,0.09897944497307028
