index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,indonli_seacrowd_pairs,0,eng,0.37237121358286707,0.37237121358286707,0.37237121358286707,0.37237121358286707,0.42855831755409973,0.38446609971736373,0.3415675441528276,0.4332471742291255,0.37237121358286707,0.3389348510283688
1,indonli_seacrowd_pairs,1,eng,0.46787574763650397,0.46787574763650397,0.46787574763650397,0.46787574763650397,0.44262330049870524,0.4467801056646377,0.38221254724090464,0.4460953572080498,0.46787574763650397,0.39713581545178844
2,indonli_seacrowd_pairs,2,eng,0.39398032027783136,0.39398032027783136,0.39398032027783136,0.39398032027783136,0.3555159844120828,0.37597765085898405,0.3192063263276394,0.3619443869530885,0.39398032027783136,0.3301227778908267
3,xcopa_ind_seacrowd_qa,0,eng,0.502,0.502,0.502,0.502,0.5022755820938996,0.502,0.4864518151556525,0.5022755820938997,0.502,0.4864518151556525
4,xcopa_ind_seacrowd_qa,1,eng,0.482,0.482,0.482,0.482,0.47625129298515967,0.482,0.4486335052007272,0.47625129298515967,0.482,0.4486335052007272
5,xcopa_ind_seacrowd_qa,2,eng,0.504,0.504,0.504,0.504,0.5043195797912778,0.504,0.4946531038080334,0.5043195797912778,0.504,0.4946531038080334
6,sib_200_tha_Thai_seacrowd_text,0,eng,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.8088235294117647,0.8438065177696515,0.7498340101590875,0.7554996532563399,0.8296642697733778,0.8088235294117647,0.7919486127043353
7,sib_200_tha_Thai_seacrowd_text,1,eng,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.624484868872624,0.6557089917306635,0.6189581963311497,0.6727807206798804,0.7107843137254902,0.6709313229271202
8,sib_200_tha_Thai_seacrowd_text,2,eng,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.7763463718820861,0.7241445860640907,0.7244764497737041,0.7799904684095861,0.7549019607843137,0.7513450390102884
9,belebele_tgl_latn_seacrowd_qa,0,eng,0.31555555555555553,0.31555555555555553,0.31555555555555553,0.31555555555555553,0.3134730424049569,0.3131456291938911,0.30411263575919834,0.31542884028621304,0.31555555555555553,0.3069735453182523
10,belebele_tgl_latn_seacrowd_qa,1,eng,0.4288888888888889,0.4288888888888889,0.4288888888888889,0.4288888888888889,0.44381684179858294,0.42429091667489927,0.4249560350363836,0.4432324694256541,0.4288888888888889,0.42743422395897435
11,belebele_tgl_latn_seacrowd_qa,2,eng,0.44555555555555554,0.44555555555555554,0.44555555555555554,0.44555555555555554,0.44701695238591205,0.4425456881948513,0.44281078532221063,0.4505547999984964,0.44555555555555554,0.44628151700792473
12,seaeval_ph_eval_eng_seacrowd_qa,0,eng,0.22,0.22,0.22,0.22,0.21544477028347997,0.24324308755760368,0.20579244661473473,0.21729814271749756,0.22,0.1940159090028291
13,seaeval_ph_eval_eng_seacrowd_qa,1,eng,0.4,0.4,0.4,0.4,0.4070858965595808,0.41147465437788017,0.3959052589321558,0.4247413989519253,0.4,0.399262946607788
14,seaeval_ph_eval_eng_seacrowd_qa,2,eng,0.44,0.44,0.44,0.44,0.4568469680362264,0.45951036866359446,0.4486662399339463,0.4639107737956843,0.44,0.4423039397869624
15,nusax_senti_ban_seacrowd_text,0,eng,0.58,0.58,0.58,0.58,0.6333333333333333,0.5637011427087392,0.5477577493706526,0.6492812499999999,0.58,0.5571991304249369
16,nusax_senti_ban_seacrowd_text,1,eng,0.6175,0.6175,0.6175,0.6175,0.6100774766835574,0.602786073958649,0.6021092070299995,0.6292967476316369,0.6175,0.6185452731346869
17,nusax_senti_ban_seacrowd_text,2,eng,0.595,0.595,0.595,0.595,0.6042159180457053,0.5545225908612158,0.5475592157325152,0.6114689716312057,0.595,0.5745021297190297
18,sib_200_shn_Mymr_seacrowd_text,0,eng,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.36710659490468567,0.30319274121131706,0.2839522375432088,0.38898262328419625,0.29411764705882354,0.29460205640800313
19,sib_200_shn_Mymr_seacrowd_text,1,eng,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.28789854192180403,0.272255907147548,0.23904030878631088,0.31653809246807785,0.2647058823529412,0.2518404156922803
20,sib_200_shn_Mymr_seacrowd_text,2,eng,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.29411764705882354,0.4210966314236538,0.2922492729149076,0.2667328680105922,0.4961943947592424,0.29411764705882354,0.2900052365315568
21,nusaparagraph_topic_rej_seacrowd_text,0,eng,0.5485714285714286,0.5485714285714286,0.5485714285714286,0.5485714285714286,0.5505055846181266,0.5966008238880747,0.5548615304553964,0.5671661891850661,0.5485714285714286,0.5406660577160871
22,nusaparagraph_topic_rej_seacrowd_text,1,eng,0.36,0.36,0.36,0.36,0.4542802446354605,0.3884562117357734,0.34861996818733443,0.4973015020265791,0.36,0.3380225180255296
23,nusaparagraph_topic_rej_seacrowd_text,2,eng,0.4657142857142857,0.4657142857142857,0.4657142857142857,0.4657142857142857,0.5134464457184146,0.47810160433288756,0.44984103637880873,0.5213564621840484,0.4657142857142857,0.4354433891858795
24,belebele_tha_thai_seacrowd_qa,0,eng,0.6755555555555556,0.6755555555555556,0.6755555555555556,0.6755555555555556,0.6744271002930641,0.6754756234468654,0.6739529936854967,0.6765859669910874,0.6755555555555556,0.6751626810247209
25,belebele_tha_thai_seacrowd_qa,1,eng,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.638798917276646,0.6347839295360655,0.6326944702164374,0.6416030025119482,0.6333333333333333,0.6337396775546948
26,belebele_tha_thai_seacrowd_qa,2,eng,0.6411111111111111,0.6411111111111111,0.6411111111111111,0.6411111111111111,0.6447942484019515,0.6406905887841605,0.6412007608314331,0.6454538324231878,0.6411111111111111,0.6417024602367277
27,xstorycloze_id_seacrowd_qa,0,eng,0.8702845797485109,0.8702845797485109,0.8702845797485109,0.8702845797485109,0.8748245892391228,0.8736822772218062,0.8702681581474239,0.8780674531609886,0.8702845797485109,0.8701860501419888
28,xstorycloze_id_seacrowd_qa,1,eng,0.8378557246856386,0.8378557246856386,0.8378557246856386,0.8378557246856386,0.8464935683997836,0.8423829559874441,0.8376779833212095,0.8504623074035801,0.8378557246856386,0.8373758230016798
29,xstorycloze_id_seacrowd_qa,2,eng,0.8682991396426207,0.8682991396426207,0.8682991396426207,0.8682991396426207,0.8780598360013394,0.8730724075265301,0.8681307163171732,0.8823585882836765,0.8682991396426207,0.8678656055271169
30,sib_200_ind_Latn_seacrowd_text,0,eng,0.7990196078431373,0.7990196078431373,0.7990196078431373,0.7990196078431373,0.8437448697645442,0.7367232251752375,0.735376175953622,0.8233358039777048,0.7990196078431373,0.7763971347019915
31,sib_200_ind_Latn_seacrowd_text,1,eng,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.7549019607843137,0.6676518351701582,0.701858188251377,0.6762245263143168,0.7100134300366173,0.7549019607843137,0.7237339137717665
32,sib_200_ind_Latn_seacrowd_text,2,eng,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.7643701748309109,0.7737244850093147,0.7550909726462922,0.8165240307735238,0.7745098039215687,0.7818675673771328
33,wrete_seacrowd_pairs,0,eng,0.19,0.19,0.19,0.19,0.5,0.095,0.15966386554621848,1.0,0.19,0.31932773109243695
34,wrete_seacrowd_pairs,1,eng,0.11,0.11,0.11,0.11,0.5,0.055,0.0990990990990991,1.0,0.11,0.1981981981981982
35,wrete_seacrowd_pairs,2,eng,0.11,0.11,0.11,0.11,0.5,0.055,0.0990990990990991,1.0,0.11,0.1981981981981982
36,seaeval_cross_mmlu_zlm_seacrowd_qa,0,eng,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.4482511684004221,0.3642487593707106,0.33549926962903137,0.4426805367103875,0.37333333333333335,0.34095949640132345
37,seaeval_cross_mmlu_zlm_seacrowd_qa,1,eng,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5946657509157509,0.5195649878576708,0.5244812833384832,0.5871520146520147,0.5333333333333333,0.5289303280259645
38,seaeval_cross_mmlu_zlm_seacrowd_qa,2,eng,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5466666666666666,0.5870004873294347,0.546721571111815,0.5469666084582329,0.5789801819363224,0.5466666666666666,0.5438260200390577
39,sib_200_bug_Latn_seacrowd_text,0,eng,0.5931372549019608,0.5931372549019608,0.5931372549019608,0.5931372549019608,0.6824038235984048,0.5682551968155684,0.5857540154335364,0.6679323022312375,0.5931372549019608,0.602290863623872
40,sib_200_bug_Latn_seacrowd_text,1,eng,0.5147058823529411,0.5147058823529411,0.5147058823529411,0.5147058823529411,0.49605660977841426,0.48060592658115875,0.46135118680068005,0.5168016036824087,0.5147058823529411,0.49100558479176054
41,sib_200_bug_Latn_seacrowd_text,2,eng,0.5147058823529411,0.5147058823529411,0.5147058823529411,0.5147058823529411,0.5467808621447435,0.5253064479380268,0.4966395150150011,0.575961640612029,0.5147058823529411,0.5093202490115963
42,indolem_sentiment_seacrowd_text,0,eng,0.7270029673590505,0.7270029673590505,0.7270029673590505,0.7270029673590505,0.7384176778062066,0.7859432212882518,0.7179631276784992,0.8277970143263911,0.7270029673590505,0.7386898319184371
43,indolem_sentiment_seacrowd_text,1,eng,0.8249258160237388,0.8249258160237388,0.8249258160237388,0.8249258160237388,0.7886954524575104,0.795796191534023,0.7920471065650069,0.8273473827402478,0.8249258160237388,0.8259890578719069
44,indolem_sentiment_seacrowd_text,2,eng,0.7240356083086054,0.7240356083086054,0.7240356083086054,0.7240356083086054,0.7288232484201129,0.7750501237798507,0.713258548040317,0.8152089286929671,0.7240356083086054,0.7360773236083765
45,indommlu_mad_seacrowd_qa,0,eng,0.29194205220642233,0.29194205220642233,0.29194205220642233,0.29194205220642233,0.3055478985476183,0.29887044928388923,0.2737335991379337,0.3232157766412312,0.29194205220642233,0.27454896860247646
46,indommlu_mad_seacrowd_qa,1,eng,0.4922892048868416,0.4922892048868416,0.4922892048868416,0.4922892048868416,0.4978151896124355,0.5073086649176016,0.48006182103485057,0.5316061872612798,0.4922892048868416,0.4918216935738685
47,indommlu_mad_seacrowd_qa,2,eng,0.5150544095066426,0.5150544095066426,0.5150544095066426,0.5150544095066426,0.5022375970203455,0.5034029147851249,0.49928713757815046,0.5223438639128293,0.5150544095066426,0.5145567682824667
48,belebele_sun_latn_seacrowd_qa,0,eng,0.4088888888888889,0.4088888888888889,0.4088888888888889,0.4088888888888889,0.41393702925643155,0.4085168769016453,0.4059388934208389,0.4175604992905596,0.4088888888888889,0.40825162365526313
49,belebele_sun_latn_seacrowd_qa,1,eng,0.36444444444444446,0.36444444444444446,0.36444444444444446,0.36444444444444446,0.38251417078883276,0.36432507188834423,0.36089743350855313,0.3860694984110859,0.36444444444444446,0.36390891202665204
50,belebele_sun_latn_seacrowd_qa,2,eng,0.3844444444444444,0.3844444444444444,0.3844444444444444,0.3844444444444444,0.3839089940657347,0.38048191919673185,0.3805247948673109,0.38868268816484225,0.3844444444444444,0.3848429560520056
51,seaeval_cross_logiqa_zlm_seacrowd_qa,0,eng,0.3409090909090909,0.3409090909090909,0.3409090909090909,0.3409090909090909,0.38712274222401755,0.34631782945736433,0.31527197975964577,0.393799247451723,0.3409090909090909,0.3157547007072623
52,seaeval_cross_logiqa_zlm_seacrowd_qa,1,eng,0.35795454545454547,0.35795454545454547,0.35795454545454547,0.35795454545454547,0.45672488940931566,0.3563715490276078,0.3300939477026434,0.4638445712984648,0.35795454545454547,0.3330618032693132
53,seaeval_cross_logiqa_zlm_seacrowd_qa,2,eng,0.39204545454545453,0.39204545454545453,0.39204545454545453,0.39204545454545453,0.4537878787878788,0.38957840337277305,0.36037966438635094,0.4592803030303031,0.39204545454545453,0.36313320804596416
54,nusaparagraph_topic_mad_seacrowd_text,0,eng,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5142857142857142,0.5224755179924625,0.526103981719362,0.48748533278983885,0.6130351019300734,0.5142857142857142,0.5432145183250052
55,nusaparagraph_topic_mad_seacrowd_text,1,eng,0.31857142857142856,0.31857142857142856,0.31857142857142856,0.31857142857142856,0.4679342898783323,0.40082243210245216,0.35648308529063255,0.557407561910839,0.31857142857142856,0.3478857257979495
56,nusaparagraph_topic_mad_seacrowd_text,2,eng,0.46285714285714286,0.46285714285714286,0.46285714285714286,0.46285714285714286,0.4994460056115406,0.35177069373083303,0.36858933191287147,0.552469038823934,0.46285714285714286,0.4406449069173123
57,seaeval_sg_eval_eng_seacrowd_qa,0,eng,0.4174757281553398,0.4174757281553398,0.4174757281553398,0.4174757281553398,0.5641930618401206,0.37528735632183907,0.35625,0.5041397589655728,0.4174757281553398,0.388459841129744
58,seaeval_sg_eval_eng_seacrowd_qa,1,eng,0.5728155339805825,0.5728155339805825,0.5728155339805825,0.5728155339805825,0.5958523360697274,0.5606321839080459,0.5694947089066618,0.5908927571654461,0.5728155339805825,0.5736792468986435
59,seaeval_sg_eval_eng_seacrowd_qa,2,eng,0.6019417475728155,0.6019417475728155,0.6019417475728155,0.6019417475728155,0.6033561744768641,0.5859195402298851,0.5904339115546012,0.6065679196747158,0.6019417475728155,0.6003710421186149
60,emotes_3k_tgl_seacrowd_text,0,eng,0.7180722891566265,0.7180722891566265,0.7180722891566265,0.7180722891566265,0.7527603464734951,0.7468299797886424,0.7178583181393694,0.7792744874859469,0.7180722891566265,0.716470181164914
61,emotes_3k_tgl_seacrowd_text,1,eng,0.5762478485370052,0.5762478485370052,0.5762478485370052,0.5762478485370052,0.655280056971618,0.6231994363538085,0.5662982805616448,0.6845993680349232,0.5762478485370052,0.5545623128816175
62,emotes_3k_tgl_seacrowd_text,2,eng,0.5373493975903615,0.5373493975903615,0.5373493975903615,0.5373493975903615,0.5177762800132497,0.5173943506122161,0.5172327835381958,0.5330063370185285,0.5373493975903615,0.5348390612668197
63,xstorycloze_my_seacrowd_qa,0,eng,0.528127068166777,0.528127068166777,0.528127068166777,0.528127068166777,0.5826848249027237,0.5468343017431376,0.480844840339536,0.5873361883155176,0.528127068166777,0.4720312671699845
64,xstorycloze_my_seacrowd_qa,1,eng,0.5248180013236268,0.5248180013236268,0.5248180013236268,0.5248180013236268,0.5335091607510067,0.5316754368389417,0.5207624348440675,0.5355442807271151,0.5248180013236268,0.5182824121767111
65,xstorycloze_my_seacrowd_qa,2,eng,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5627005776636713,0.5618086239441521,0.5572786542402381,0.5647473724989784,0.5579086697551291,0.5563391574197866
66,nusaparagraph_topic_min_seacrowd_text,0,eng,0.56625,0.56625,0.56625,0.56625,0.5942860437008243,0.581409816823732,0.5734500012497896,0.6093122935510276,0.56625,0.5749965052883053
67,nusaparagraph_topic_min_seacrowd_text,1,eng,0.37,0.37,0.37,0.37,0.44147677409409003,0.4068059659872756,0.387953558069263,0.44028925745967695,0.37,0.36459648956056767
68,nusaparagraph_topic_min_seacrowd_text,2,eng,0.52375,0.52375,0.52375,0.52375,0.5337422846723727,0.5068884964124786,0.4939424727811669,0.5223955735227955,0.52375,0.4904001567869231
69,nusax_senti_jav_seacrowd_text,0,eng,0.715,0.715,0.715,0.715,0.7285938903863433,0.6868687688467587,0.6846583037426411,0.7391150606469004,0.715,0.7027228332635562
70,nusax_senti_jav_seacrowd_text,1,eng,0.77,0.77,0.77,0.77,0.7667273698523699,0.7353423617423424,0.7398600019718032,0.7725154611013986,0.77,0.7616409346347234
71,nusax_senti_jav_seacrowd_text,2,eng,0.6925,0.6925,0.6925,0.6925,0.7259759288330717,0.6310408821365191,0.6098159018171868,0.7274369701726845,0.6925,0.653629679382972
72,belebele_ind_latn_seacrowd_qa,0,eng,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7433333333333333,0.7447748932327142,0.7425813457691384,0.7430490525221609,0.7446993951246638,0.7433333333333333,0.7434109235089162
73,belebele_ind_latn_seacrowd_qa,1,eng,0.6566666666666666,0.6566666666666666,0.6566666666666666,0.6566666666666666,0.6563417977801539,0.6562825949404071,0.6549271522175053,0.659341862314465,0.6566666666666666,0.656636245109644
74,belebele_ind_latn_seacrowd_qa,2,eng,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.6555555555555556,0.6586957034865972,0.6526820452980187,0.6541441266770169,0.6569867559991912,0.6555555555555556,0.654788143483421
75,mabl_sun_seacrowd_qa,0,eng,0.5,0.5,0.5,0.5,0.5,0.5,0.4317033744190746,0.5,0.5,0.4317033744190745
76,mabl_sun_seacrowd_qa,1,eng,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5283333333333333,0.5439966182991425,0.5283333333333333,0.4822523547150711,0.5439966182991425,0.5283333333333333,0.4822523547150711
77,mabl_sun_seacrowd_qa,2,eng,0.5883333333333334,0.5883333333333334,0.5883333333333334,0.5883333333333334,0.5884995157573667,0.5883333333333334,0.5881399879387823,0.5884995157573667,0.5883333333333334,0.5881399879387823
78,uit_vion_seacrowd_text,0,eng,0.5027307692307692,0.5027307692307692,0.5027307692307692,0.5027307692307692,0.6138715621523936,0.5027307692307692,0.49716151990850066,0.6138715621523935,0.5027307692307692,0.49716151990850066
79,uit_vion_seacrowd_text,1,eng,0.32196153846153847,0.32196153846153847,0.32196153846153847,0.32196153846153847,0.5510876205003363,0.32196153846153847,0.34262380241136753,0.5510876205003362,0.32196153846153847,0.3426238024113675
80,uit_vion_seacrowd_text,2,eng,0.30065384615384616,0.30065384615384616,0.30065384615384616,0.30065384615384616,0.6077900052030955,0.3006538461538461,0.3007372332388806,0.6077900052030955,0.30065384615384616,0.30073723323888063
81,gklmip_sentiment_seacrowd_text,0,eng,0.04748603351955307,0.04748603351955307,0.04748603351955307,0.04748603351955307,0.2629423246990298,0.2208324654069335,0.07603762711740684,0.8070397513830793,0.04748603351955307,0.024612806109538254
82,gklmip_sentiment_seacrowd_text,1,eng,0.11871508379888268,0.11871508379888268,0.11871508379888268,0.11871508379888268,0.24045747108442656,0.2753117095670287,0.11606511662310044,0.7281786763247952,0.11871508379888268,0.12213192399595059
83,gklmip_sentiment_seacrowd_text,2,eng,0.11452513966480447,0.11452513966480447,0.11452513966480447,0.11452513966480447,0.21885673685585444,0.22555795268561227,0.07349772015523559,0.7164978252939301,0.11452513966480447,0.12137692807182804
84,okapi_m_arc_ind_seacrowd_qa,0,eng,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.2851671975412495,0.27296729346189574,0.2556348754564528,0.3565315247373563,0.34615384615384615,0.3241045828997228
85,okapi_m_arc_ind_seacrowd_qa,1,eng,0.5786324786324787,0.5786324786324787,0.5786324786324787,0.5786324786324787,0.5976346500986525,0.5763897342260094,0.573498721933277,0.5979449038896585,0.5786324786324787,0.5745109275863278
86,okapi_m_arc_ind_seacrowd_qa,2,eng,0.611965811965812,0.611965811965812,0.611965811965812,0.611965811965812,0.4932792153999001,0.48761892558541825,0.4881357253314576,0.6162269229492005,0.611965811965812,0.6111312074091084
87,lazada_review_filipino_seacrowd_text,0,eng,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.39895467430632675,0.3070348313096613,0.19342819408491693,0.4676645510434764,0.23076923076923078,0.17995768772485202
88,lazada_review_filipino_seacrowd_text,1,eng,0.3066933066933067,0.3066933066933067,0.3066933066933067,0.3066933066933067,0.3705108143933867,0.3453415708799918,0.2940062344382781,0.4374222476737221,0.3066933066933067,0.3107238816689949
89,lazada_review_filipino_seacrowd_text,2,eng,0.36663336663336665,0.36663336663336665,0.36663336663336665,0.36663336663336665,0.2899154739064775,0.3335303309111585,0.28453254507940884,0.3552335870454701,0.36663336663336665,0.3388379935799243
90,indommlu_nij_seacrowd_qa,0,eng,0.5062420722344616,0.5062420722344616,0.5062420722344616,0.5062420722344616,0.49804203069376507,0.506512556426046,0.4930626230424921,0.5241012348859284,0.5062420722344616,0.5059248949017886
91,indommlu_nij_seacrowd_qa,1,eng,0.4922892048868416,0.4922892048868416,0.4922892048868416,0.4922892048868416,0.4978151896124355,0.5073086649176016,0.48006182103485057,0.5316061872612798,0.4922892048868416,0.4918216935738685
92,indommlu_nij_seacrowd_qa,2,eng,0.5150544095066426,0.5150544095066426,0.5150544095066426,0.5150544095066426,0.5022375970203455,0.5034029147851249,0.49928713757815046,0.5223438639128293,0.5150544095066426,0.5145567682824667
93,nusax_senti_eng_seacrowd_text,0,eng,0.845,0.845,0.845,0.845,0.8397793207974399,0.8051019708840123,0.8095420908709484,0.8427499246750756,0.845,0.8338373919772657
94,nusax_senti_eng_seacrowd_text,1,eng,0.875,0.875,0.875,0.875,0.8688302907369844,0.8569440837409283,0.8609702787302295,0.8750091277890466,0.875,0.8732153733407731
95,nusax_senti_eng_seacrowd_text,2,eng,0.7675,0.7675,0.7675,0.7675,0.8472251585623679,0.6847293461166659,0.6308801302174166,0.8262722647991544,0.7675,0.6954899845532911
96,sib_200_jav_Latn_seacrowd_text,0,eng,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.8014237501903535,0.6760827201694075,0.662839818620944,0.7839074240737373,0.7401960784313726,0.7130211950938063
97,sib_200_jav_Latn_seacrowd_text,1,eng,0.6519607843137255,0.6519607843137255,0.6519607843137255,0.6519607843137255,0.7161411234975358,0.5954514628818035,0.5808885604185706,0.693419477320528,0.6519607843137255,0.6249799333751437
98,sib_200_jav_Latn_seacrowd_text,2,eng,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6617441698086859,0.6745794298580676,0.6523064707229007,0.720029597045726,0.6666666666666666,0.6750202755143084
99,sib_200_mya_Mymr_seacrowd_text,0,eng,0.28431372549019607,0.28431372549019607,0.28431372549019607,0.28431372549019607,0.33440997425983093,0.2950755230321794,0.25626494263022975,0.3518162861369639,0.28431372549019607,0.26163188920498254
100,sib_200_mya_Mymr_seacrowd_text,1,eng,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.24509803921568626,0.33159294340107925,0.2246947582860895,0.217162206247961,0.37004878067344893,0.24509803921568626,0.25237157781452607
101,sib_200_mya_Mymr_seacrowd_text,2,eng,0.28921568627450983,0.28921568627450983,0.28921568627450983,0.28921568627450983,0.3434991152446339,0.2903836462814791,0.2647000357366211,0.35335766133094615,0.28921568627450983,0.2580822781952624
102,nusaparagraph_topic_bug_seacrowd_text,0,eng,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5769239975305009,0.5648233824290163,0.5402261555439218,0.6643962031013547,0.5533333333333333,0.5849352490007378
103,nusaparagraph_topic_bug_seacrowd_text,1,eng,0.35,0.35,0.35,0.35,0.4274335635283862,0.3612683376767884,0.34676781677702095,0.5177570178465487,0.35,0.37989255320155424
