index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,wrete_seacrowd_pairs,0,eng,0.44,0.44,0.44,0.44,0.5,0.22,0.3055555555555556,1.0,0.44,0.6111111111111112
1,wrete_seacrowd_pairs,1,eng,0.28,0.28,0.28,0.28,0.5,0.14,0.21875,1.0,0.28,0.4375
2,wrete_seacrowd_pairs,2,eng,0.32,0.32,0.32,0.32,0.5,0.16,0.24242424242424243,1.0,0.32,0.48484848484848486
3,shopee_reviews_tagalog_seacrowd_text,0,eng,0.3431111111111111,0.3431111111111111,0.3431111111111111,0.3431111111111111,0.47537717594335327,0.34311111111111114,0.28099613426568215,0.4753771759433532,0.3431111111111111,0.28099613426568215
4,shopee_reviews_tagalog_seacrowd_text,1,eng,0.3662222222222222,0.3662222222222222,0.3662222222222222,0.3662222222222222,0.4429411656555417,0.36622222222222217,0.3268998683692785,0.44294116565554176,0.3662222222222222,0.32689986836927853
5,shopee_reviews_tagalog_seacrowd_text,2,eng,0.3382222222222222,0.3382222222222222,0.3382222222222222,0.3382222222222222,0.3339631709640342,0.33822222222222226,0.3031877194832614,0.3339631709640342,0.3382222222222222,0.3031877194832614
6,gklmip_newsclass_seacrowd_text,0,eng,0.5396935933147632,0.5396935933147632,0.5396935933147632,0.5396935933147632,0.5621935708546343,0.4968193313005928,0.48316613895944444,0.5882518861511694,0.5396935933147632,0.5070442672256588
7,gklmip_newsclass_seacrowd_text,1,eng,0.4157381615598886,0.4157381615598886,0.4157381615598886,0.4157381615598886,0.3957203026972861,0.4039544850376746,0.35621357324863634,0.42226994866548073,0.4157381615598886,0.36883028639304644
8,gklmip_newsclass_seacrowd_text,2,eng,0.43454038997214484,0.43454038997214484,0.43454038997214484,0.43454038997214484,0.45640914086221995,0.40962945928737954,0.3770799121802859,0.47924789735746437,0.43454038997214484,0.39494941867642813
9,m3exam_jav_seacrowd_qa,0,eng,0.4555256064690027,0.4555256064690027,0.4555256064690027,0.4555256064690027,0.4663499711175131,0.4650662776936858,0.45430628267155115,0.4733411417749335,0.4555256064690027,0.4529225849243709
10,m3exam_jav_seacrowd_qa,1,eng,0.4743935309973046,0.4743935309973046,0.4743935309973046,0.4743935309973046,0.484510095763627,0.4817062140424471,0.47287229240010153,0.4924478844648699,0.4743935309973046,0.47383282897677825
11,m3exam_jav_seacrowd_qa,2,eng,0.3719676549865229,0.3719676549865229,0.3719676549865229,0.3719676549865229,0.3947645398523705,0.37316106005190997,0.3722414488999024,0.40498404712869257,0.3719676549865229,0.37771864013875217
12,sib_200_kac_Latn_seacrowd_text,0,eng,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6543441938178781,0.5894102904319621,0.5708441845364007,0.6676241256736613,0.5882352941176471,0.5852036902993735
13,sib_200_kac_Latn_seacrowd_text,1,eng,0.4803921568627451,0.4803921568627451,0.4803921568627451,0.4803921568627451,0.5366312673348921,0.5137313202793079,0.47689012179924817,0.5674650618460978,0.4803921568627451,0.4802198664152475
14,sib_200_kac_Latn_seacrowd_text,2,eng,0.5784313725490197,0.5784313725490197,0.5784313725490197,0.5784313725490197,0.6609828252776736,0.5912908608419443,0.5644522561815795,0.6888139383475625,0.5784313725490197,0.5622903347942048
15,xcopa_vie_seacrowd_qa,0,eng,0.506,0.506,0.506,0.506,0.5060047076908296,0.506,0.5059031570187756,0.5060047076908296,0.506,0.5059031570187756
16,xcopa_vie_seacrowd_qa,1,eng,0.508,0.508,0.508,0.508,0.508150756390193,0.508,0.5057144234942373,0.508150756390193,0.508,0.5057144234942373
17,xcopa_vie_seacrowd_qa,2,eng,0.52,0.52,0.52,0.52,0.5209044083216269,0.52,0.514751552795031,0.5209044083216269,0.52,0.514751552795031
18,emotes_3k_eng_seacrowd_text,0,eng,0.9724612736660929,0.9724612736660929,0.9724612736660929,0.9724612736660929,0.9700826800629629,0.9734591287964842,0.9716582047789828,0.972772200934476,0.9724612736660929,0.9725105416959772
19,emotes_3k_eng_seacrowd_text,1,eng,0.9710843373493976,0.9710843373493976,0.9710843373493976,0.9710843373493976,0.9691092752080983,0.9714015166352006,0.9702052155158519,0.9712492694697565,0.9710843373493976,0.9711195726934274
