index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_khm_khmr_seacrowd_qa,0,eng,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.504696134617224,0.506919634600149,0.504670549391957,0.5081786864352327,0.5066666666666667,0.506374049541205
1,belebele_khm_khmr_seacrowd_qa,1,eng,0.5033333333333333,0.5033333333333333,0.5033333333333333,0.5033333333333333,0.5044080405395156,0.5044841870257836,0.5023910764237718,0.5098434432257559,0.5033333333333333,0.5045155788882147
2,belebele_khm_khmr_seacrowd_qa,2,eng,0.4111111111111111,0.4111111111111111,0.4111111111111111,0.4111111111111111,0.4134497192490551,0.4102448143560685,0.4092313756053859,0.42025884110930495,0.4111111111111111,0.4129835965808345
3,indommlu_sun_seacrowd_qa,0,eng,0.3281928032578944,0.3281928032578944,0.3281928032578944,0.3281928032578944,0.32791404818080533,0.33378901646839554,0.3178949658240197,0.3612469181257032,0.3281928032578944,0.33801966710394366
4,indommlu_sun_seacrowd_qa,1,eng,0.5097135990386541,0.5097135990386541,0.5097135990386541,0.5097135990386541,0.5022178798103656,0.4980373258309747,0.4967567840816427,0.5150045309493783,0.5097135990386541,0.5084698094736468
5,indommlu_sun_seacrowd_qa,2,eng,0.5050403898791641,0.5050403898791641,0.5050403898791641,0.5050403898791641,0.4954023979383759,0.4869869529219266,0.4905962171839158,0.5048179406856138,0.5050403898791641,0.5045695822374076
6,nusax_senti_ban_seacrowd_text,0,eng,0.235,0.235,0.235,0.235,0.20619341428247298,0.2142858431083986,0.20075043659737477,0.21856564126210393,0.235,0.21717406878918535
7,nusax_senti_ban_seacrowd_text,1,eng,0.2675,0.2675,0.2675,0.2675,0.24401702364569489,0.24275256460199976,0.22748723174533855,0.2527233250802762,0.2675,0.2461061979109801
8,nusax_senti_ban_seacrowd_text,2,eng,0.4025,0.4025,0.4025,0.4025,0.2744558571777941,0.35318645486156197,0.3087297248040824,0.31286913059427734,0.4025,0.35189447785675226
9,xcopa_vie_seacrowd_qa,0,eng,0.518,0.518,0.518,0.518,0.5325041171881773,0.518,0.4574784679732206,0.5325041171881771,0.518,0.4574784679732206
10,xcopa_vie_seacrowd_qa,1,eng,0.572,0.572,0.572,0.572,0.5721662710885881,0.5720000000000001,0.5717533299180328,0.572166271088588,0.572,0.5717533299180328
11,xcopa_vie_seacrowd_qa,2,eng,0.536,0.536,0.536,0.536,0.5405814876271553,0.536,0.5225237091675448,0.5405814876271554,0.536,0.5225237091675446
12,gklmip_sentiment_seacrowd_text,0,eng,0.15083798882681565,0.15083798882681565,0.15083798882681565,0.15083798882681565,0.24107757982289252,0.2868710013390865,0.1346147920327962,0.7138696359750766,0.15083798882681565,0.1770561381534226
13,gklmip_sentiment_seacrowd_text,1,eng,0.18854748603351956,0.18854748603351956,0.18854748603351956,0.18854748603351956,0.22889166927163224,0.2479778554778555,0.13887009234771353,0.7017110885164158,0.18854748603351956,0.24433942511511317
14,gklmip_sentiment_seacrowd_text,2,eng,0.15502793296089384,0.15502793296089384,0.15502793296089384,0.15502793296089384,0.24714002041514763,0.2727358280017855,0.12344614014860453,0.738078991954594,0.15502793296089384,0.18187608449830373
15,nusatranslation_senti_btk_seacrowd_text,0,eng,0.49916666666666665,0.49916666666666665,0.49916666666666665,0.49916666666666665,0.4810994415270484,0.2792425190055888,0.3427626118708116,0.7564565620571809,0.49916666666666665,0.5894406412583862
16,nusatranslation_senti_btk_seacrowd_text,1,eng,0.48,0.48,0.48,0.48,0.4135057471264368,0.3142502617135633,0.351735534480692,0.6937789750957855,0.48,0.5611955061843239
17,nusatranslation_senti_btk_seacrowd_text,2,eng,0.49583333333333335,0.49583333333333335,0.49583333333333335,0.49583333333333335,0.3532314984828951,0.3283365274094092,0.32729120312083465,0.6168783125626701,0.49583333333333335,0.5348481113724124
18,nusaparagraph_topic_rej_seacrowd_text,0,eng,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5457142857142857,0.5260964097511831,0.5465952737288148,0.5048810972872515,0.5865604222811828,0.5457142857142857,0.5258921597199938
19,nusaparagraph_topic_rej_seacrowd_text,1,eng,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.43142857142857144,0.46350632782594803,0.42633652835204006,0.40053376485236986,0.5288816762234484,0.43142857142857144,0.4191793927995414
20,nusaparagraph_topic_rej_seacrowd_text,2,eng,0.40285714285714286,0.40285714285714286,0.40285714285714286,0.40285714285714286,0.41657590095090097,0.4588923130998867,0.3810561273326978,0.4294581476724334,0.40285714285714286,0.37682158584943704
21,prdect_id_sentiment_seacrowd_text,0,eng,0.06277777777777778,0.06277777777777778,0.06277777777777778,0.06277777777777778,0.0628714880307237,0.06294569106486704,0.06277697426009453,0.06296147962283843,0.06277777777777778,0.06273808400422534
22,prdect_id_sentiment_seacrowd_text,1,eng,0.060925925925925925,0.060925925925925925,0.060925925925925925,0.060925925925925925,0.06098846409625544,0.060108855109417964,0.06051453052264209,0.06193435392248934,0.06092592592592592,0.06139557200578091
23,prdect_id_sentiment_seacrowd_text,2,eng,0.3433333333333333,0.3433333333333333,0.3433333333333333,0.3433333333333333,0.33376096391517623,0.33893502712374746,0.33478906847958223,0.33611993886343894,0.3433333333333333,0.338167683013255
24,nusatranslation_senti_rej_seacrowd_text,0,eng,0.406,0.406,0.406,0.406,0.4230862227380434,0.2327638708381207,0.2966895554359468,0.6836851878717539,0.406,0.5052964394643702
25,nusatranslation_senti_rej_seacrowd_text,1,eng,0.442,0.442,0.442,0.442,0.40487604869740745,0.30121238376874926,0.33595537479654897,0.672325427363906,0.442,0.5218791530223398
26,nusatranslation_senti_rej_seacrowd_text,2,eng,0.468,0.468,0.468,0.468,0.35750081670385275,0.31004627275181607,0.3186306114966941,0.6214207727756115,0.468,0.5181482914248872
