index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_sun_Latn_seacrowd_text,0,eng,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.6862745098039216,0.7304125064711984,0.6947799311112004,0.6854266387002496,0.7688094923978548,0.6862745098039216,0.6910545341185378
1,sib_200_sun_Latn_seacrowd_text,1,eng,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7841146426672742,0.777382091592618,0.7686424144237242,0.8157447754487229,0.7843137254901961,0.7829751219116959
2,sib_200_sun_Latn_seacrowd_text,2,eng,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7867431016825198,0.7646891962526637,0.7644413292144516,0.811106221404687,0.7794117647058824,0.7801099338666868
3,xcopa_vie_seacrowd_qa,0,eng,0.536,0.536,0.536,0.536,0.5383592471358429,0.536,0.5287541234014203,0.5383592471358429,0.536,0.5287541234014203
4,xcopa_vie_seacrowd_qa,1,eng,0.53,0.53,0.53,0.53,0.5350631136044881,0.53,0.5123975516132379,0.5350631136044881,0.53,0.5123975516132379
5,xcopa_vie_seacrowd_qa,2,eng,0.548,0.548,0.548,0.548,0.5505356781888013,0.548,0.542258085423553,0.5505356781888013,0.548,0.542258085423553
6,seaeval_cross_logiqa_ind_seacrowd_qa,0,eng,0.32386363636363635,0.32386363636363635,0.32386363636363635,0.32386363636363635,0.3170965730176256,0.32346185230518154,0.31205464527116367,0.32021268537416864,0.32386363636363635,0.31379098804027666
7,seaeval_cross_logiqa_ind_seacrowd_qa,1,eng,0.3977272727272727,0.3977272727272727,0.3977272727272727,0.3977272727272727,0.3998695979662932,0.39836937304501563,0.3907242580177276,0.40210848362164153,0.3977272727272727,0.3915853582917137
8,seaeval_cross_logiqa_ind_seacrowd_qa,2,eng,0.3977272727272727,0.3977272727272727,0.3977272727272727,0.3977272727272727,0.41578513198757766,0.39681082551339586,0.3694872179486886,0.42050913590485606,0.3977272727272727,0.37177051339516676
9,gklmip_sentiment_seacrowd_text,0,eng,0.09636871508379888,0.09636871508379888,0.09636871508379888,0.09636871508379888,0.06469530348137797,0.3811655011655012,0.09537568381406067,0.014593007646221644,0.09636871508379888,0.02200340893496665
10,gklmip_sentiment_seacrowd_text,1,eng,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.10335195530726257,0.16711197473888756,0.38301864801864804,0.15769410214482366,0.04919033586615319,0.10335195530726257,0.042502547072363
11,gklmip_sentiment_seacrowd_text,2,eng,0.09776536312849161,0.09776536312849161,0.09776536312849161,0.09776536312849161,0.19210045662100456,0.38283216783216784,0.10503873955763321,0.05795770516058264,0.09776536312849161,0.025863923208115615
12,indolem_sentiment_seacrowd_text,0,eng,0.8694362017804155,0.8694362017804155,0.8694362017804155,0.8694362017804155,0.8459204331906155,0.836142304470194,0.8407646048109966,0.8679498778063421,0.8694362017804155,0.8685005319492456
13,indolem_sentiment_seacrowd_text,1,eng,0.8625123639960435,0.8625123639960435,0.8625123639960435,0.8625123639960435,0.83162893081761,0.8722502517955137,0.8452114107968369,0.8807347728446212,0.8625123639960435,0.8664537054053302
14,indolem_sentiment_seacrowd_text,2,eng,0.8466864490603363,0.8466864490603363,0.8466864490603363,0.8466864490603363,0.8202049809978167,0.87274913636492,0.832098847444116,0.8809221591522123,0.8466864490603363,0.8524137960036174
15,seaeval_sg_eval_eng_seacrowd_qa,0,eng,0.2912621359223301,0.2912621359223301,0.2912621359223301,0.2912621359223301,0.2687907734597038,0.2732758620689655,0.26638551972513147,0.28585327782584935,0.2912621359223301,0.2832404605632009
16,seaeval_sg_eval_eng_seacrowd_qa,1,eng,0.5145631067961165,0.5145631067961165,0.5145631067961165,0.5145631067961165,0.5337941628264209,0.5339080459770115,0.5120915032679738,0.5614066484721041,0.5145631067961165,0.520883304778222
17,seaeval_sg_eval_eng_seacrowd_qa,2,eng,0.5436893203883495,0.5436893203883495,0.5436893203883495,0.5436893203883495,0.5537117452440034,0.5344827586206897,0.5411523509884166,0.5493206292611241,0.5436893203883495,0.5440679963041891
18,gklmip_newsclass_seacrowd_text,0,eng,0.5389972144846796,0.5389972144846796,0.5389972144846796,0.5389972144846796,0.6925245304595129,0.5266827788356193,0.5157152292254001,0.6844166412423024,0.5389972144846796,0.49864935462902527
19,gklmip_newsclass_seacrowd_text,1,eng,0.5487465181058496,0.5487465181058496,0.5487465181058496,0.5487465181058496,0.6406663422113897,0.5422846543657844,0.5214220148392461,0.6537139133894541,0.5487465181058496,0.511029458841744
20,gklmip_newsclass_seacrowd_text,2,eng,0.5355153203342619,0.5355153203342619,0.5355153203342619,0.5355153203342619,0.7003868582517495,0.5560132972830205,0.5116942933649683,0.7279901679054693,0.5355153203342619,0.48700474149993617
21,karonese_sentiment_seacrowd_text,0,eng,0.475,0.475,0.475,0.475,0.47559104253424983,0.47104174343000055,0.46476631719778033,0.485133317679675,0.475,0.47173078290008336
22,karonese_sentiment_seacrowd_text,1,eng,0.417,0.417,0.417,0.417,0.5350970348159253,0.4163075084524437,0.361413722889892,0.5347722388805597,0.417,0.35734852141857665
23,karonese_sentiment_seacrowd_text,2,eng,0.448,0.448,0.448,0.448,0.520624897748581,0.4599007181657275,0.4227986691054438,0.5366014365537811,0.448,0.41493648530192345
24,seaeval_cross_mmlu_fil_seacrowd_qa,0,eng,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30666666666666664,0.30642543859649124,0.2971069580825678,0.2916058461171243,0.3068380116959064,0.30666666666666664,0.2968340876611553
25,seaeval_cross_mmlu_fil_seacrowd_qa,1,eng,0.52,0.52,0.52,0.52,0.5264887244538408,0.5185091331432795,0.519332195802784,0.5295914963589382,0.52,0.5215842345254109
26,seaeval_cross_mmlu_fil_seacrowd_qa,2,eng,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.5396031746031746,0.5084837926301341,0.5005005346620254,0.5346222222222222,0.5133333333333333,0.5016021659499921
27,belebele_tha_thai_seacrowd_qa,0,eng,0.39444444444444443,0.39444444444444443,0.39444444444444443,0.39444444444444443,0.42681736415452187,0.40249352446951114,0.39250495154595405,0.43608726792817337,0.39444444444444443,0.3925543582306384
28,belebele_tha_thai_seacrowd_qa,1,eng,0.7722222222222223,0.7722222222222223,0.7722222222222223,0.7722222222222223,0.7722318288343326,0.7752299266416681,0.7716738849997413,0.7775512304708697,0.7722222222222223,0.7728542313638456
29,belebele_tha_thai_seacrowd_qa,2,eng,0.7711111111111111,0.7711111111111111,0.7711111111111111,0.7711111111111111,0.7712933072286983,0.772944321062049,0.7705899022361036,0.7748643798043958,0.7711111111111111,0.7715466571912265
30,nusax_senti_eng_seacrowd_text,0,eng,0.845,0.845,0.845,0.845,0.8741580273352848,0.7974559581006796,0.8028460618785175,0.8629000966492606,0.845,0.828670282564955
31,nusax_senti_eng_seacrowd_text,1,eng,0.8725,0.8725,0.8725,0.8725,0.8829999888139423,0.8395022652180814,0.8486087582997449,0.8778950342293367,0.8725,0.8653890414159704
32,nusax_senti_eng_seacrowd_text,2,eng,0.8225,0.8225,0.8225,0.8225,0.8525201777254373,0.767499531085429,0.7664553140096618,0.8430171021952921,0.8225,0.7993335597826088
33,sib_200_khm_Khmr_seacrowd_text,0,eng,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.753335366780745,0.7088201787892191,0.71125482386321,0.7724960224960224,0.7450980392156863,0.7353018733384983
34,sib_200_khm_Khmr_seacrowd_text,1,eng,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.8101380244099626,0.7430358650637289,0.7582213904820964,0.8075485029736548,0.7843137254901961,0.7799115948882555
35,sib_200_khm_Khmr_seacrowd_text,2,eng,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.7859480039230046,0.6991126881374559,0.7158492387972487,0.7910250998004379,0.7401960784313726,0.739462741594175
36,nusaparagraph_topic_min_seacrowd_text,0,eng,0.59375,0.59375,0.59375,0.59375,0.6678021806682295,0.6231232772630144,0.5967186625350024,0.6614096568101757,0.59375,0.5777878669620126
37,nusaparagraph_topic_min_seacrowd_text,1,eng,0.63875,0.63875,0.63875,0.63875,0.6668235675567067,0.6447169049157756,0.6190457389246087,0.6422599904387293,0.63875,0.6092811363359143
38,nusaparagraph_topic_min_seacrowd_text,2,eng,0.6275,0.6275,0.6275,0.6275,0.7202492192272614,0.6411452572818095,0.6159259475602998,0.7172639424255004,0.6275,0.6039403445443458
39,nusatranslation_senti_mak_seacrowd_text,0,eng,0.5341666666666667,0.5341666666666667,0.5341666666666667,0.5341666666666667,0.42189437877468755,0.35084556614301654,0.37489159198559,0.7174942030617651,0.5341666666666666,0.6029305280674836
40,nusatranslation_senti_mak_seacrowd_text,1,eng,0.24666666666666667,0.24666666666666667,0.24666666666666667,0.24666666666666667,0.4480105549221646,0.1671577628312112,0.23670580264413008,0.7620942055485046,0.24666666666666667,0.3649895251085377
41,nusatranslation_senti_mak_seacrowd_text,2,eng,0.3908333333333333,0.3908333333333333,0.3908333333333333,0.3908333333333333,0.4435245331168078,0.29802569308106264,0.3210816596643368,0.7571817968719792,0.3908333333333333,0.4728004672492862
42,nusax_senti_nij_seacrowd_text,0,eng,0.7125,0.7125,0.7125,0.7125,0.767170108431705,0.6619491155549784,0.6589962121212121,0.7475776069697601,0.7125,0.6878153409090909
43,nusax_senti_nij_seacrowd_text,1,eng,0.7475,0.7475,0.7475,0.7475,0.7396485754255963,0.7454001284104518,0.738923236680246,0.7602195534051828,0.7475,0.750723448358495
44,nusax_senti_nij_seacrowd_text,2,eng,0.7225,0.7225,0.7225,0.7225,0.7194809571958207,0.7070568937656004,0.708511687668905,0.7276784630940344,0.7225,0.7199380243194389
45,xnli.tha_seacrowd_pairs,0,eng,0.43952095808383235,0.43952095808383235,0.43952095808383235,0.43952095808383235,0.541138892506258,0.43952095808383235,0.34512141603019303,0.541138892506258,0.43952095808383235,0.3451214160301931
46,xnli.tha_seacrowd_pairs,1,eng,0.33812375249501,0.33812375249501,0.33812375249501,0.33812375249501,0.5148507930116547,0.33812375249501,0.17721370765137148,0.5148507930116547,0.33812375249501,0.1772137076513715
47,xnli.tha_seacrowd_pairs,2,eng,0.3341317365269461,0.3341317365269461,0.3341317365269461,0.3341317365269461,0.21666367883242468,0.3341317365269461,0.1693101658612307,0.21666367883242468,0.3341317365269461,0.1693101658612307
48,nusaparagraph_topic_jav_seacrowd_text,0,eng,0.58875,0.58875,0.58875,0.58875,0.6923684925885174,0.5872263377185544,0.5840699105334309,0.6795409701718242,0.58875,0.5769527644342743
49,nusaparagraph_topic_jav_seacrowd_text,1,eng,0.63875,0.63875,0.63875,0.63875,0.699580538016235,0.620534440856666,0.617282844307323,0.6849869416445666,0.63875,0.6215845517702953
50,nusaparagraph_topic_jav_seacrowd_text,2,eng,0.645,0.645,0.645,0.645,0.6982913509011506,0.6296971209117577,0.6228062820907158,0.673599913569145,0.645,0.6233292172800725
51,myxnli_seacrowd_pairs,0,eng,0.47365269461077847,0.47365269461077847,0.47365269461077847,0.47365269461077847,0.5722984916383,0.4736526946107784,0.38558327539836346,0.5722984916383,0.47365269461077847,0.38558327539836346
52,myxnli_seacrowd_pairs,1,eng,0.36107784431137724,0.36107784431137724,0.36107784431137724,0.36107784431137724,0.5177360412218607,0.3610778443113773,0.22252881858048787,0.5177360412218606,0.36107784431137724,0.22252881858048784
53,myxnli_seacrowd_pairs,2,eng,0.3401197604790419,0.3401197604790419,0.3401197604790419,0.3401197604790419,0.5745120238170115,0.34011976047904197,0.18563145530434244,0.5745120238170115,0.3401197604790419,0.1856314553043424
54,m3exam_vie_seacrowd_qa,0,eng,0.2870733072188025,0.2870733072188025,0.2870733072188025,0.2870733072188025,0.28947161404498584,0.2933028375304207,0.2778772553664141,0.2901585462621929,0.2870733072188025,0.27501015296210196
55,m3exam_vie_seacrowd_qa,1,eng,0.45551203133743706,0.45551203133743706,0.45551203133743706,0.45551203133743706,0.45625978528615746,0.45693753826347727,0.45540919106809724,0.45742594929572566,0.45551203133743706,0.45527525812071107
56,m3exam_vie_seacrowd_qa,2,eng,0.43984331281477335,0.43984331281477335,0.43984331281477335,0.43984331281477335,0.4749592468596731,0.4456534432116355,0.43273491500103417,0.479433126280718,0.43984331281477335,0.4314836337671596
57,nusatranslation_senti_mui_seacrowd_text,0,eng,0.746,0.746,0.746,0.746,0.5541394698810488,0.48666266296324096,0.5169503993274485,0.8808306255657726,0.746,0.806277553593947
58,nusatranslation_senti_mui_seacrowd_text,1,eng,0.576,0.576,0.576,0.576,0.5578457730550932,0.3675399744763907,0.4428983148543722,0.8889289463577006,0.576,0.698767246465263
59,nusatranslation_senti_mui_seacrowd_text,2,eng,0.71,0.71,0.71,0.71,0.5472038387839556,0.47532717763931637,0.5045495969155275,0.8744982368001545,0.71,0.7785238275499474
60,belebele_mya_mymr_seacrowd_qa,0,eng,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.38411630835714605,0.36982649382460486,0.35770892557850215,0.3889784156248379,0.3611111111111111,0.35566930716047074
61,belebele_mya_mymr_seacrowd_qa,1,eng,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7321992345206526,0.7343157090648558,0.7325498651970817,0.7343395750607772,0.7333333333333333,0.7330829184521932
