index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_khm_Khmr_seacrowd_text,0,eng,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.5558155080213903,0.19751591545709196,0.11783581248035045,0.6392487810632275,0.14705882352941177,0.12159308451279148
1,sib_200_khm_Khmr_seacrowd_text,1,eng,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.30262053562034624,0.17510695187165773,0.13680296449769305,0.37102633069725166,0.19117647058823528,0.16368880318757675
2,sib_200_khm_Khmr_seacrowd_text,2,eng,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.2746806039488966,0.1959590821974723,0.15284287685225445,0.29354446226123165,0.17647058823529413,0.16559339978684307
3,belebele_shn_mymr_seacrowd_qa,0,eng,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.27251284997803643,0.27070477226965983,0.2618518415884247,0.2754526311759899,0.26666666666666666,0.26143095209448497
4,belebele_shn_mymr_seacrowd_qa,1,eng,0.2588888888888889,0.2588888888888889,0.2588888888888889,0.2588888888888889,0.2642210440359303,0.26115002481554445,0.2596385649754721,0.26715914614142333,0.2588888888888889,0.25994796449068297
5,belebele_shn_mymr_seacrowd_qa,2,eng,0.2544444444444444,0.2544444444444444,0.2544444444444444,0.2544444444444444,0.25261957917813815,0.25656063386015787,0.23744803312385665,0.2563964717738291,0.2544444444444444,0.2392394772127762
6,belebele_vie_latn_seacrowd_qa,0,eng,0.7155555555555555,0.7155555555555555,0.7155555555555555,0.7155555555555555,0.7162507446605654,0.7162481737415133,0.7147709830283755,0.716829873205928,0.7155555555555555,0.7147966511783785
7,belebele_vie_latn_seacrowd_qa,1,eng,0.6544444444444445,0.6544444444444445,0.6544444444444445,0.6544444444444445,0.6652197770151796,0.6522276689204625,0.6509326924437189,0.6639809163336822,0.6544444444444445,0.6517651561360523
8,belebele_vie_latn_seacrowd_qa,2,eng,0.6955555555555556,0.6955555555555556,0.6955555555555556,0.6955555555555556,0.699705734710556,0.695825147306892,0.6959332375896895,0.7005294622331563,0.6955555555555556,0.6962114369438442
9,nusax_senti_ban_seacrowd_text,0,eng,0.3675,0.3675,0.3675,0.3675,0.5058464503694186,0.4206745336103537,0.35491452080256414,0.538186716993254,0.3675,0.3478960693643701
10,nusax_senti_ban_seacrowd_text,1,eng,0.3225,0.3225,0.3225,0.3225,0.42210075676689024,0.3738705471150933,0.3085527462004016,0.44632111990368684,0.3225,0.2996276045077314
11,nusax_senti_ban_seacrowd_text,2,eng,0.27,0.27,0.27,0.27,0.38784109149277685,0.3520042490874202,0.20212945253091333,0.40589737158908507,0.27,0.174596956773394
12,belebele_zsm_latn_seacrowd_qa,0,eng,0.6988888888888889,0.6988888888888889,0.6988888888888889,0.6988888888888889,0.701944292029722,0.6989506593646607,0.6993162443603178,0.7005015454810808,0.6988888888888889,0.6986220232396151
13,belebele_zsm_latn_seacrowd_qa,1,eng,0.6277777777777778,0.6277777777777778,0.6277777777777778,0.6277777777777778,0.6288104493450339,0.6263944442028151,0.6265107237822668,0.6301661611737176,0.6277777777777778,0.627824819970118
14,belebele_zsm_latn_seacrowd_qa,2,eng,0.6577777777777778,0.6577777777777778,0.6577777777777778,0.6577777777777778,0.6668453326730086,0.6558911908656081,0.6570649423613661,0.6664494350936646,0.6577777777777778,0.6578148569441372
15,nusaparagraph_topic_sun_seacrowd_text,0,eng,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.3933333333333333,0.40260292826968636,0.3718486167180812,0.32383122479174453,0.42511974006486625,0.3933333333333333,0.3443725818382497
16,nusaparagraph_topic_sun_seacrowd_text,1,eng,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.2962538332473136,0.2929847886130563,0.2513009376611588,0.3138193579095863,0.28888888888888886,0.26176622739895844
17,nusaparagraph_topic_sun_seacrowd_text,2,eng,0.35888888888888887,0.35888888888888887,0.35888888888888887,0.35888888888888887,0.4565068436016529,0.35108724755158677,0.31849109842836515,0.4774530371202963,0.35888888888888887,0.32773931735751666
18,wrete_seacrowd_pairs,0,eng,0.08,0.08,0.08,0.08,0.5,0.04,0.07407407407407407,1.0,0.08,0.14814814814814814
19,wrete_seacrowd_pairs,1,eng,0.07,0.07,0.07,0.07,0.5,0.035,0.06542056074766354,1.0,0.07,0.1308411214953271
20,wrete_seacrowd_pairs,2,eng,0.13,0.13,0.13,0.13,0.5,0.065,0.11504424778761062,1.0,0.13,0.23008849557522124
21,xstorycloze_my_seacrowd_qa,0,eng,0.5420251489080079,0.5420251489080079,0.5420251489080079,0.5420251489080079,0.5387399967774853,0.5380316148013793,0.5372808570295684,0.5400035168276863,0.5420251489080079,0.5399165747398125
22,xstorycloze_my_seacrowd_qa,1,eng,0.5188616810059563,0.5188616810059563,0.5188616810059563,0.5188616810059563,0.507226597659766,0.5056443703930232,0.4829913819110969,0.5086175710555834,0.5188616810059563,0.4906521241800995
23,xstorycloze_my_seacrowd_qa,2,eng,0.5354070152217075,0.5354070152217075,0.5354070152217075,0.5354070152217075,0.5324581128574462,0.5145112078935066,0.4467037644437212,0.5326809188138569,0.5354070152217075,0.45916620463566965
24,seaeval_cross_mmlu_zlm_seacrowd_qa,0,eng,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4810057277628032,0.46518847006651887,0.44965842502236675,0.4825662623539982,0.4666666666666667,0.4525436522748953
25,seaeval_cross_mmlu_zlm_seacrowd_qa,1,eng,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.45251914304333657,0.4412258473234083,0.41360442622457877,0.4577454654067557,0.43333333333333335,0.4126285586371184
26,seaeval_cross_mmlu_zlm_seacrowd_qa,2,eng,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.46250207688886935,0.4470752824411361,0.4409617411585297,0.4711648251585359,0.44666666666666666,0.445437524762097
27,nusaparagraph_topic_btk_seacrowd_text,0,eng,0.352,0.352,0.352,0.352,0.40749872913233637,0.35586523652054924,0.29698650838124624,0.4291767365541998,0.352,0.292082182654507
28,nusaparagraph_topic_btk_seacrowd_text,1,eng,0.262,0.262,0.262,0.262,0.2658507242176597,0.25197317968089095,0.21986564057164085,0.2548773261031326,0.262,0.22507455239376753
29,nusaparagraph_topic_btk_seacrowd_text,2,eng,0.328,0.328,0.328,0.328,0.2740862003749457,0.3182910044756809,0.2826619546628544,0.27299412698080755,0.328,0.28568214158154615
30,sib_200_kac_Latn_seacrowd_text,0,eng,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.5874069627851141,0.27280339887151034,0.20921566787250015,0.622642527599275,0.19607843137254902,0.17553641788376442
31,sib_200_kac_Latn_seacrowd_text,1,eng,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.1960204081632653,0.3257799579161808,0.22554129742932602,0.15838235294117647,0.25980392156862747,0.1815517635333352
32,sib_200_kac_Latn_seacrowd_text,2,eng,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.1715686274509804,0.3951515151515151,0.2023596424215619,0.1424527603501564,0.3019756387403446,0.1715686274509804,0.11774587280177001
33,indommlu_abl_seacrowd_qa,0,eng,0.4465585152546899,0.4465585152546899,0.4465585152546899,0.4465585152546899,0.44470277000741987,0.43216588803549794,0.4316958976179725,0.4576308022421321,0.4465585152546899,0.44423527034115917
34,indommlu_abl_seacrowd_qa,1,eng,0.4332732492155685,0.4332732492155685,0.4332732492155685,0.4332732492155685,0.4294788598619851,0.41536029436204513,0.41476899138428125,0.4448388875318468,0.4332732492155685,0.4299876373740132
35,indommlu_abl_seacrowd_qa,2,eng,0.4306028439815742,0.4306028439815742,0.4306028439815742,0.4306028439815742,0.4397012369457986,0.39543504787533595,0.4020385822870297,0.4407686533751603,0.4306028439815742,0.42372214689503684
