index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,mabl_sun_seacrowd_qa,0,eng,0.5,0.5,0.5,0.5,0.5,0.5,0.36079545454545453,0.5,0.5,0.36079545454545453
1,mabl_sun_seacrowd_qa,1,eng,0.45,0.45,0.45,0.45,0.4301242236024845,0.45,0.40789473684210525,0.4301242236024845,0.45,0.40789473684210525
2,mabl_sun_seacrowd_qa,2,eng,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.44166666666666665,0.43897548558077903,0.44166666666666665,0.4354424193398889,0.43897548558077903,0.44166666666666665,0.4354424193398889
3,nusax_senti_ind_seacrowd_text,0,eng,0.5225,0.5225,0.5225,0.5225,0.5552701517891392,0.519304852183699,0.5157643254741986,0.590188178119349,0.5225,0.5352616304931409
4,nusax_senti_ind_seacrowd_text,1,eng,0.395,0.395,0.395,0.395,0.4078742608154373,0.3560130177898974,0.2552224736048265,0.4275373482726424,0.395,0.2728245192307692
5,nusax_senti_ind_seacrowd_text,2,eng,0.4925,0.4925,0.4925,0.4925,0.5448193111236589,0.5046877930716068,0.4935592527417835,0.5774051853943158,0.4925,0.5057456406974884
6,nusax_senti_nij_seacrowd_text,0,eng,0.3675,0.3675,0.3675,0.3675,0.4698094809480948,0.3802274957076282,0.3340265439400542,0.498225697569757,0.3675,0.33417207426811807
7,nusax_senti_nij_seacrowd_text,1,eng,0.3675,0.3675,0.3675,0.3675,0.5068226120857701,0.3267870153948261,0.2155265411276378,0.5578289473684211,0.3675,0.23655165863150707
8,nusax_senti_nij_seacrowd_text,2,eng,0.3425,0.3425,0.3425,0.3425,0.40030395136778113,0.3817253170583907,0.3200572450733414,0.41804027355623097,0.3425,0.31128563160049966
9,nusax_senti_sun_seacrowd_text,0,eng,0.3575,0.3575,0.3575,0.3575,0.433554292929293,0.37550904283714953,0.3362350123555216,0.4580113636363636,0.3575,0.3362471971697643
10,nusax_senti_sun_seacrowd_text,1,eng,0.385,0.385,0.385,0.385,0.5375510204081633,0.3484765686995917,0.23989246613483048,0.5827581632653062,0.385,0.25555564300224065
11,nusax_senti_sun_seacrowd_text,2,eng,0.2775,0.2775,0.2775,0.2775,0.3269241417497231,0.3197907198199368,0.25530645285728,0.34000591777408645,0.2775,0.24399608648255172
12,xnli.tha_seacrowd_pairs,0,eng,0.33712574850299404,0.33712574850299404,0.33712574850299404,0.33712574850299404,0.34637721621600764,0.337125748502994,0.24230805623077276,0.3463772162160076,0.33712574850299404,0.24230805623077276
13,xnli.tha_seacrowd_pairs,1,eng,0.3331337325349301,0.3331337325349301,0.3331337325349301,0.3331337325349301,0.21618876186867095,0.33313373253493017,0.2324108256676487,0.21618876186867092,0.3331337325349301,0.2324108256676487
14,xnli.tha_seacrowd_pairs,2,eng,0.3405189620758483,0.3405189620758483,0.3405189620758483,0.3405189620758483,0.223211105679317,0.34051896207584825,0.21523710368895052,0.223211105679317,0.3405189620758483,0.21523710368895052
15,belebele_lao_laoo_seacrowd_qa,0,eng,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.2504133774157856,0.240492278094821,0.21403533494213595,0.2518561053184623,0.2511111111111111,0.21825030646189336
16,belebele_lao_laoo_seacrowd_qa,1,eng,0.26222222222222225,0.26222222222222225,0.26222222222222225,0.26222222222222225,0.255980162613612,0.25402704663439507,0.239975968981959,0.25961421687647973,0.26222222222222225,0.24454917224935765
17,belebele_lao_laoo_seacrowd_qa,2,eng,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.25064366126209936,0.2519535441970832,0.24776191465811548,0.2538444150343446,0.25333333333333335,0.2497869618265296
18,sib_200_lao_Laoo_seacrowd_text,0,eng,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.4413104768428198,0.2477126640129736,0.22748817279717418,0.41126924248872454,0.25980392156862747,0.24665988789283091
19,sib_200_lao_Laoo_seacrowd_text,1,eng,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.25785714285714284,0.17693149987267634,0.12655666724440942,0.28566993464052287,0.13725490196078433,0.12137948248063657
20,sib_200_lao_Laoo_seacrowd_text,2,eng,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.19607843137254902,0.2526404501194417,0.21717756959243026,0.16752552956438724,0.28875923512601714,0.19607843137254902,0.16187447843474853
21,belebele_vie_latn_seacrowd_qa,0,eng,0.28555555555555556,0.28555555555555556,0.28555555555555556,0.28555555555555556,0.2813678049333787,0.2812303237114508,0.2794474002604995,0.28411019721356695,0.28555555555555556,0.2828428812197548
22,belebele_vie_latn_seacrowd_qa,1,eng,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.25333333333333335,0.25326834082227734,0.24939753437802265,0.24988543673759359,0.2540085959269662,0.25333333333333335,0.25234691622412087
23,belebele_vie_latn_seacrowd_qa,2,eng,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2628922155822197,0.2643777580386378,0.25633527624679087,0.26508068869640566,0.26666666666666666,0.2578691345864968
24,indonglish_seacrowd_text,0,eng,0.2344213649851632,0.2344213649851632,0.2344213649851632,0.2344213649851632,0.24401987849086826,0.23555846074080786,0.22144275273438116,0.25398828043828603,0.2344213649851632,0.22630093047583016
25,indonglish_seacrowd_text,1,eng,0.29277942631058357,0.29277942631058357,0.29277942631058357,0.29277942631058357,0.16472556894243642,0.3235742839329593,0.1565306936009738,0.1476992043346482,0.29277942631058357,0.14153451962549618
26,indonglish_seacrowd_text,2,eng,0.3877349159248269,0.3877349159248269,0.3877349159248269,0.3877349159248269,0.27191144166508807,0.3296934741916718,0.24096262194809484,0.28647055800745697,0.3877349159248269,0.2741940777985253
27,nusaparagraph_topic_min_seacrowd_text,0,eng,0.34125,0.34125,0.34125,0.34125,0.4247714103947799,0.3255431038865018,0.3442115339368188,0.4270946965521443,0.34125,0.35357958601767936
28,nusaparagraph_topic_min_seacrowd_text,1,eng,0.15625,0.15625,0.15625,0.15625,0.23175720104847947,0.14942340619778055,0.1122119816519605,0.23929165583344855,0.15625,0.12280035124262483
29,nusaparagraph_topic_min_seacrowd_text,2,eng,0.16125,0.16125,0.16125,0.16125,0.2782792355100242,0.16036791575132062,0.11713132669547938,0.29971601726130287,0.16125,0.1271075601358157
30,indommlu_nij_seacrowd_qa,0,eng,0.2468789638827692,0.2468789638827692,0.2468789638827692,0.2468789638827692,0.2381456710077919,0.24206716014945973,0.2369921647740753,0.24727743949899017,0.2468789638827692,0.24350626030774564
31,indommlu_nij_seacrowd_qa,1,eng,0.2597636691367915,0.2597636691367915,0.2597636691367915,0.2597636691367915,0.24442539746921507,0.24055711035835237,0.23862771376619718,0.25643703233584736,0.2597636691367915,0.25381156369278635
32,indommlu_nij_seacrowd_qa,2,eng,0.25662594298684827,0.25662594298684827,0.25662594298684827,0.25662594298684827,0.2444821042517939,0.2469708058324236,0.24118937822138237,0.2582569642065809,0.25662594298684827,0.2521194529408429
33,shopee_reviews_tagalog_seacrowd_text,0,eng,0.24133333333333334,0.24133333333333334,0.24133333333333334,0.24133333333333334,0.3454233451182863,0.24133333333333332,0.19228293419456272,0.34542334511828626,0.24133333333333334,0.19228293419456272
34,shopee_reviews_tagalog_seacrowd_text,1,eng,0.21777777777777776,0.21777777777777776,0.21777777777777776,0.21777777777777776,0.39585036678987395,0.2177777777777778,0.14760285840991538,0.395850366789874,0.21777777777777776,0.14760285840991538
35,shopee_reviews_tagalog_seacrowd_text,2,eng,0.2088888888888889,0.2088888888888889,0.2088888888888889,0.2088888888888889,0.281906232781205,0.2088888888888889,0.16595695926186688,0.28190623278120497,0.2088888888888889,0.16595695926186688
36,sib_200_ind_Latn_seacrowd_text,0,eng,0.6127450980392157,0.6127450980392157,0.6127450980392157,0.6127450980392157,0.6812987263871066,0.5839580234007479,0.5897728889501864,0.7001554441925519,0.6127450980392157,0.6222266106021831
37,sib_200_ind_Latn_seacrowd_text,1,eng,0.27450980392156865,0.27450980392156865,0.27450980392156865,0.27450980392156865,0.5654872338545808,0.3286608901933979,0.29635831633886983,0.5069164029248063,0.27450980392156865,0.2837072638126191
38,sib_200_ind_Latn_seacrowd_text,2,eng,0.2696078431372549,0.2696078431372549,0.2696078431372549,0.2696078431372549,0.40465199976780625,0.28649893450203046,0.22856788011995874,0.44189453514034627,0.2696078431372549,0.21802657814261914
39,belebele_kac_latn_seacrowd_qa,0,eng,0.2388888888888889,0.2388888888888889,0.2388888888888889,0.2388888888888889,0.23702060046265203,0.23789086025544864,0.23645661426756132,0.23897992954479944,0.2388888888888889,0.23784717894955848
40,belebele_kac_latn_seacrowd_qa,1,eng,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.24534793404919514,0.24905046063031014,0.24046467989868406,0.24681796013520138,0.24888888888888888,0.24168003365839502
41,belebele_kac_latn_seacrowd_qa,2,eng,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.24172949185177767,0.23718631086535008,0.22947310257558484,0.24497723513736883,0.23333333333333334,0.2292272931405188
42,seaeval_cross_logiqa_vie_seacrowd_qa,0,eng,0.2159090909090909,0.2159090909090909,0.2159090909090909,0.2159090909090909,0.1986734253666954,0.2154453964368285,0.20325552825552828,0.19591079038878867,0.2159090909090909,0.2022290782518055
