index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_zsm_latn_seacrowd_qa,0,eng,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.3199152773153892,0.2955658886327227,0.26502624587896795,0.3245571954544491,0.2866666666666667,0.26395115459656293
1,belebele_zsm_latn_seacrowd_qa,1,eng,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5111111111111111,0.5265219850153945,0.5183456413626616,0.508213531559429,0.5328798935453377,0.5111111111111111,0.5078407092736623
2,belebele_zsm_latn_seacrowd_qa,2,eng,0.5177777777777778,0.5177777777777778,0.5177777777777778,0.5177777777777778,0.5284778696156165,0.5219523313682011,0.5158263924044885,0.5343647704128943,0.5177777777777778,0.516723349899438
3,indonglish_seacrowd_text,0,eng,0.2443125618199802,0.2443125618199802,0.2443125618199802,0.2443125618199802,0.15120682764854346,0.2749770785198225,0.1940805780371322,0.13454488178217494,0.24431256181998023,0.1725916469431816
4,indonglish_seacrowd_text,1,eng,0.2433234421364985,0.2433234421364985,0.2433234421364985,0.2433234421364985,0.3124731729588894,0.27301162002190393,0.19479457865831587,0.33133196883282034,0.24332344213649848,0.17505656082938273
5,indonglish_seacrowd_text,2,eng,0.2443125618199802,0.2443125618199802,0.2443125618199802,0.2443125618199802,0.13322382125724624,0.2756702240803902,0.176822502749717,0.11831284997619125,0.2443125618199802,0.15688439480262195
6,uit_vion_seacrowd_text,0,eng,0.26784615384615384,0.26784615384615384,0.26784615384615384,0.26784615384615384,0.5107160806106874,0.26784615384615384,0.23845415189810812,0.5107160806106874,0.26784615384615384,0.2384541518981081
7,uit_vion_seacrowd_text,1,eng,0.23861538461538462,0.23861538461538462,0.23861538461538462,0.23861538461538462,0.488757334832462,0.23861538461538462,0.21120076150956424,0.4887573348324621,0.23861538461538462,0.21120076150956424
8,uit_vion_seacrowd_text,2,eng,0.2459230769230769,0.2459230769230769,0.2459230769230769,0.2459230769230769,0.4927734956443429,0.24592307692307697,0.1899284031073367,0.49277349564434286,0.2459230769230769,0.18992840310733666
9,wrete_seacrowd_pairs,0,eng,0.26,0.26,0.26,0.26,0.5,0.13,0.20634920634920634,1.0,0.26,0.4126984126984127
10,wrete_seacrowd_pairs,1,eng,0.13,0.13,0.13,0.13,0.5,0.065,0.11504424778761062,1.0,0.13,0.23008849557522124
11,wrete_seacrowd_pairs,2,eng,0.67,0.67,0.67,0.67,0.5,0.335,0.40119760479041916,1.0,0.67,0.8023952095808383
12,belebele_war_latn_seacrowd_qa,0,eng,0.2644444444444444,0.2644444444444444,0.2644444444444444,0.2644444444444444,0.28068538784087255,0.2760402947115262,0.24314411990865303,0.28212266031536726,0.2644444444444444,0.23865543785562124
13,belebele_war_latn_seacrowd_qa,1,eng,0.31555555555555553,0.31555555555555553,0.31555555555555553,0.31555555555555553,0.3326390455040534,0.32236076930018787,0.3081540428793396,0.3368168860662349,0.31555555555555553,0.3071371598728148
14,belebele_war_latn_seacrowd_qa,2,eng,0.27,0.27,0.27,0.27,0.28443075318733396,0.2807032305437694,0.2594011797480745,0.2881002361454769,0.27,0.25559859937188867
15,m3exam_tha_seacrowd_qa,0,eng,0.21171586715867158,0.21171586715867158,0.21171586715867158,0.21171586715867158,0.16447640773860286,0.19278730850896633,0.14483821374502776,0.18604996389624237,0.21171586715867158,0.16079340632442582
16,m3exam_tha_seacrowd_qa,1,eng,0.22647601476014761,0.22647601476014761,0.22647601476014761,0.22647601476014761,0.18251540463494562,0.20396319848967615,0.1721951589415631,0.20766568289179657,0.22647601476014761,0.1934723596592602
17,m3exam_tha_seacrowd_qa,2,eng,0.22001845018450183,0.22001845018450183,0.22001845018450183,0.22001845018450183,0.17870060607627383,0.19805383019602701,0.17554793043719757,0.20337552236938494,0.22001845018450183,0.19721334134764437
18,sib_200_zsm_Latn_seacrowd_text,0,eng,0.4803921568627451,0.4803921568627451,0.4803921568627451,0.4803921568627451,0.6618972226571788,0.4972689745754761,0.46177633088684306,0.7131494257265284,0.4803921568627451,0.4392104294768002
