index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_ace_Arab_seacrowd_text,0,eng,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.19117647058823528,0.1246380308880309,0.13891010949834479,0.09960991655176867,0.11257121091679916,0.19117647058823528,0.11624597726676748
1,sib_200_ace_Arab_seacrowd_text,1,eng,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.16176470588235295,0.08843066871017181,0.1411064425770308,0.09754488680718189,0.11374431195403063,0.16176470588235295,0.11983419050680383
2,sib_200_ace_Arab_seacrowd_text,2,eng,0.12254901960784313,0.12254901960784313,0.12254901960784313,0.12254901960784313,0.0875055187637969,0.13456743462935414,0.07252258211511184,0.08933071462580618,0.12254901960784313,0.07177057451575579
3,nusaparagraph_topic_bew_seacrowd_text,0,eng,0.24125,0.24125,0.24125,0.24125,0.31184407096171807,0.21117523263899593,0.1898453684929003,0.31020809990662934,0.24125,0.2025809355877982
4,nusaparagraph_topic_bew_seacrowd_text,1,eng,0.21375,0.21375,0.21375,0.21375,0.19327787220307435,0.18543509754251059,0.15053208560278641,0.20182353023727687,0.21375,0.1677277517256224
5,nusaparagraph_topic_bew_seacrowd_text,2,eng,0.13375,0.13375,0.13375,0.13375,0.11206541538878645,0.11271211886677342,0.08928092648320424,0.11646241634746113,0.13375,0.09911843680552643
6,nusax_senti_bjn_seacrowd_text,0,eng,0.81,0.81,0.81,0.81,0.8168238075371992,0.7590202931798179,0.7592967268306466,0.8175827492699207,0.81,0.7910192546196907
7,nusax_senti_bjn_seacrowd_text,1,eng,0.755,0.755,0.755,0.755,0.7548523313229195,0.6965432880289718,0.6856561168762125,0.7580562369091781,0.755,0.7247556196793637
8,nusax_senti_bjn_seacrowd_text,2,eng,0.4175,0.4175,0.4175,0.4175,0.4448325077659307,0.3853972788526742,0.3512957433360215,0.4784569305683821,0.4175,0.3756563828164164
9,nusax_senti_eng_seacrowd_text,0,eng,0.7375,0.7375,0.7375,0.7375,0.7032755025941357,0.6941130480889929,0.6926448469530526,0.7303581513978559,0.7375,0.7281721328641411
