index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_war_latn_seacrowd_qa,0,eng,0.5122222222222222,0.5122222222222222,0.5122222222222222,0.5122222222222222,0.5160443037974684,0.5078881197454375,0.5078282826895423,0.5174538677918424,0.5122222222222222,0.5104752129227229
1,nusatranslation_senti_min_seacrowd_text,0,eng,0.6925,0.6925,0.6925,0.6925,0.40257079806729257,0.319627513871655,0.35482558249578866,0.8291226735419396,0.6925,0.752295945084827
2,nusatranslation_senti_rej_seacrowd_text,0,eng,0.608,0.608,0.608,0.608,0.36953315141234605,0.2738317228908855,0.31209810649383657,0.7699998524964968,0.608,0.6755646714957428
3,indonli_seacrowd_pairs,0,eng,0.535597144510901,0.535597144510901,0.535597144510901,0.535597144510901,0.45394955908445117,0.3923123116092108,0.35660258849936727,0.6060642454655943,0.535597144510901,0.48537279788210086
4,prdect_id_sentiment_seacrowd_text,0,eng,0.02,0.02,0.02,0.02,0.02338445420350198,0.013737145708777626,0.015452215150221611,0.03507993950274997,0.02,0.022668378860074674
5,seaeval_cross_logiqa_fil_seacrowd_qa,0,eng,0.32386363636363635,0.32386363636363635,0.32386363636363635,0.32386363636363635,0.28209211986681465,0.2597475860193118,0.2627076703442291,0.3559600759257391,0.32386363636363635,0.32993931424898704
6,xcopa_vie_seacrowd_qa,0,eng,0.41,0.41,0.41,0.41,0.37293577981651377,0.2733333333333333,0.30206273781564624,0.5594036697247706,0.41,0.4530941067234693
7,nusax_senti_ind_seacrowd_text,0,eng,0.7525,0.7525,0.7525,0.7525,0.5866351271437019,0.5094126709734667,0.4910397903262401,0.7813675340035482,0.7525,0.7100113943081618
8,indonglish_seacrowd_text,0,eng,0.16913946587537093,0.16913946587537093,0.16913946587537093,0.16913946587537093,0.1572373022203188,0.14245051387261914,0.12281046366938142,0.20903600722021268,0.16913946587537093,0.14670203349576286
9,sib_200_zsm_Latn_seacrowd_text,0,eng,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7703304474941272,0.7043270358382587,0.7335763465949094,0.8781805423456299,0.8235294117647058,0.8467335682716309
10,nusaparagraph_topic_jav_seacrowd_text,0,eng,0.77625,0.77625,0.77625,0.77625,0.7991711472667216,0.7689221444203035,0.7726221214730182,0.8048694579150006,0.77625,0.7786064426738202
11,sib_200_bjn_Latn_seacrowd_text,0,eng,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.7401960784313726,0.7476740377982771,0.6395587062576227,0.6796483659039776,0.8540101107291777,0.7401960784313726,0.7832087957036266
12,mabl_sun_seacrowd_qa,0,eng,0.56,0.56,0.56,0.56,0.4287913534632862,0.37333333333333335,0.3834412444196664,0.6431870301949293,0.56,0.5751618666294996
13,sib_200_min_Latn_seacrowd_text,0,eng,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7727523402523402,0.6547631696219158,0.702056277056277,0.8883154971390265,0.7647058823529411,0.8134559884559885
14,sib_200_ilo_Latn_seacrowd_text,0,eng,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7156862745098039,0.7084192777004233,0.6136916572849236,0.6468772389910882,0.8211460111968848,0.7156862745098039,0.7541718021800927
15,seaeval_cross_logiqa_ind_seacrowd_qa,0,eng,0.3806818181818182,0.3806818181818182,0.3806818181818182,0.3806818181818182,0.3277985302375546,0.2972724058207534,0.3098677745019208,0.41409993696579067,0.3806818181818182,0.39432188746213137
16,nusaparagraph_topic_rej_seacrowd_text,0,eng,0.7457142857142857,0.7457142857142857,0.7457142857142857,0.7457142857142857,0.6835839856090786,0.657455982302396,0.6522541047304535,0.7900572664247112,0.7457142857142857,0.7444912187686484
17,nusax_senti_min_seacrowd_text,0,eng,0.505,0.505,0.505,0.505,0.5573013639315869,0.33986116521663856,0.37420785387297945,0.7348807642346828,0.505,0.5476104006452125
18,belebele_vie_latn_seacrowd_qa,0,eng,0.83,0.83,0.83,0.83,0.6683365056346113,0.6641733885878774,0.6648418790483163,0.8355929215719844,0.83,0.8311635119515254
19,seaeval_cross_logiqa_zlm_seacrowd_qa,0,eng,0.30113636363636365,0.30113636363636365,0.30113636363636365,0.30113636363636365,0.26665393430099316,0.23504583163334694,0.2489031567683253,0.3380280314605181,0.30113636363636365,0.31736377344140365
20,sib_200_lus_Latn_seacrowd_text,0,eng,0.5098039215686274,0.5098039215686274,0.5098039215686274,0.5098039215686274,0.6286950386215092,0.43051288816962197,0.49018392141162076,0.761761938881316,0.5098039215686274,0.5845718300724932
21,nusaparagraph_topic_btk_seacrowd_text,0,eng,0.642,0.642,0.642,0.642,0.637112783253134,0.5701861062145885,0.5640568250337674,0.7335498127019179,0.642,0.6382010591557066
22,sib_200_ceb_Latn_seacrowd_text,0,eng,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.7745098039215687,0.7581597621978746,0.6621960315226569,0.6982421641691514,0.867457550456376,0.7745098039215687,0.8089624082665677
23,belebele_ceb_latn_seacrowd_qa,0,eng,0.5422222222222223,0.5422222222222223,0.5422222222222223,0.5422222222222223,0.4450647673567197,0.4320528312534373,0.4331241704696659,0.5591976184664995,0.5422222222222223,0.5436813562898607
24,nusax_senti_sun_seacrowd_text,0,eng,0.675,0.675,0.675,0.675,0.5415050635638871,0.4486893612301433,0.4198836182126703,0.7230993859082093,0.675,0.6247552087081403
25,nusaparagraph_topic_bew_seacrowd_text,0,eng,0.625,0.625,0.625,0.625,0.7055627344179581,0.5529521441665085,0.6154190274466605,0.8159605745202476,0.625,0.7033495630597463
26,m3exam_tha_seacrowd_qa,0,eng,0.3030442804428044,0.3030442804428044,0.3030442804428044,0.3030442804428044,0.2623429722407868,0.21990213551531168,0.23044346623113962,0.3560927219743883,0.3030442804428044,0.3155227733114003
27,mabl_ind_seacrowd_qa,0,eng,0.65,0.65,0.65,0.65,0.5784722534430308,0.43333333333333335,0.49398477598045076,0.8677083801645461,0.65,0.7409771639706761
28,nusax_senti_jav_seacrowd_text,0,eng,0.7175,0.7175,0.7175,0.7175,0.5852333822091886,0.4796157425442583,0.4564931222021208,0.7776002565982404,0.7175,0.6728271836797636
29,gklmip_newsclass_seacrowd_text,0,eng,0.5584958217270195,0.5584958217270195,0.5584958217270195,0.5584958217270195,0.6056777172205351,0.4704924026732448,0.4881384111019897,0.6530593058076456,0.5584958217270195,0.5462889915781367
30,nusax_senti_ace_seacrowd_text,0,eng,0.575,0.575,0.575,0.575,0.6014784946236559,0.3809999648314072,0.3755048892353883,0.7740120967741936,0.575,0.5622778694711
31,id_sentiment_analysis_seacrowd_text,0,eng,0.23274106977605033,0.23274106977605033,0.23274106977605033,0.23274106977605033,0.2046363783833824,0.14976921652926756,0.1641475709683928,0.31339214648604263,0.23274106977605033,0.25846526387460583
32,sib_200_lao_Laoo_seacrowd_text,0,eng,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.2549019607843137,0.5219361504723347,0.2584696031522657,0.3180478975215817,0.5465479545394406,0.2549019607843137,0.32149731627543804
