index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,indommlu_mak_seacrowd_qa,0,eng,0.4826089859136124,0.4826089859136124,0.4826089859136124,0.4826089859136124,0.5116667448569135,0.3921534252687657,0.4431830552345917,0.6359090601824421,0.4826089859136124,0.5476856937481437
1,sib_200_mya_Mymr_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,nusatranslation_senti_mui_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,sib_200_khm_Khmr_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,m3exam_tha_seacrowd_qa,0,eng,0.3362546125461255,0.3362546125461255,0.3362546125461255,0.3362546125461255,0.27953844424432656,0.2482842435078733,0.2555889626735736,0.3832563471156916,0.3362546125461255,0.3481202836550617
5,belebele_tha_thai_seacrowd_qa,0,eng,0.7322222222222222,0.7322222222222222,0.7322222222222222,0.7322222222222222,0.5857145478915102,0.5878162586342928,0.5858616249295965,0.7350216836250514,0.7322222222222222,0.7325473054140288
6,nusaparagraph_topic_rej_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,indommlu_nij_seacrowd_qa,0,eng,0.4827425061753121,0.4827425061753121,0.4827425061753121,0.4827425061753121,0.5118103909958754,0.39216120863586273,0.443241331014808,0.636104061787874,0.4827425061753121,0.5478431898854198
8,mabl_sun_seacrowd_qa,0,eng,0.52,0.52,0.52,0.52,0.418210130385674,0.3466666666666667,0.3783882514628871,0.6273151955785111,0.52,0.5675823771943307
9,seaeval_cross_logiqa_ind_seacrowd_qa,0,eng,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.3,0.012651162790697673,0.024273504273504276,0.40625,0.017045454545454544,0.032711732711732715
10,karonese_sentiment_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,seaeval_cross_logiqa_zlm_seacrowd_qa,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,sib_200_ban_Latn_seacrowd_text,0,eng,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.25,0.016578947368421054,0.031018518518518518,0.21568627450980393,0.014705882352941176,0.027469135802469135
13,gklmip_sentiment_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,nusaparagraph_topic_mui_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,xnli.tha_seacrowd_pairs,0,eng,0.12415169660678643,0.12415169660678643,0.12415169660678643,0.12415169660678643,0.3893213506005634,0.09311377245508981,0.14784036830836983,0.5190951341340845,0.12415169660678643,0.19712049107782642
16,indommlu_sun_seacrowd_qa,0,eng,0.48287602643701183,0.48287602643701183,0.48287602643701183,0.48287602643701183,0.5116989693484374,0.39235920210393554,0.44332971514030345,0.6359401856031007,0.48287602643701183,0.5478740121133574
