index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,indonli_seacrowd_pairs,0,eng,0.6228053251012927,0.6228053251012927,0.6228053251012927,0.6228053251012927,0.5010906094289427,0.45058556052003584,0.407265389266147,0.6633019216143741,0.6228053251012927,0.558032643110198
1,nusaparagraph_topic_bew_seacrowd_text,0,eng,0.78625,0.78625,0.78625,0.78625,0.7836903707592536,0.7695206751113381,0.7693121566344576,0.8043670591801718,0.78625,0.7875991921910926
2,xnli.vie_seacrowd_pairs,0,eng,0.45888223552894214,0.45888223552894214,0.45888223552894214,0.45888223552894214,0.3985565678348571,0.3441616766467066,0.3031145242075292,0.5314087571131427,0.45888223552894214,0.4041526989433723
3,indommlu_jav_seacrowd_qa,0,eng,0.5013018225515722,0.5013018225515722,0.5013018225515722,0.5013018225515722,0.42792262211344184,0.39624051139539246,0.4042886090949876,0.5203486917710358,0.5013018225515722,0.5021310152965542
4,karonese_sentiment_seacrowd_text,0,eng,0.394,0.394,0.394,0.394,0.42474560836494174,0.3938253646399639,0.3139689809400004,0.43558334248045566,0.394,0.3188767256887525
5,seaeval_cross_logiqa_vie_seacrowd_qa,0,eng,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.30204587207036687,0.23512416700666394,0.2343662273767856,0.3834924409012465,0.3068181818181818,0.3014908580790406
6,sib_200_ace_Arab_seacrowd_text,0,eng,0.44607843137254904,0.44607843137254904,0.44607843137254904,0.44607843137254904,0.5928883281262517,0.38415927854395343,0.39139021089328396,0.6621397453477906,0.44607843137254904,0.45965442134357526
7,indommlu_mak_seacrowd_qa,0,eng,0.5015688630749716,0.5015688630749716,0.5015688630749716,0.5015688630749716,0.4274146943181531,0.3963039780949779,0.4041588006034509,0.5203376970624394,0.5015688630749716,0.5023072944382171
8,sib_200_sun_Latn_seacrowd_text,0,eng,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7794117647058824,0.7636002042272728,0.7454512618444508,0.7517461586462869,0.7812441505355543,0.7794117647058824,0.7778227658668126
9,id_sentiment_analysis_seacrowd_text,0,eng,0.27401443642420875,0.27401443642420875,0.27401443642420875,0.27401443642420875,0.3470362581468859,0.14248814417813271,0.13943898863256413,0.47476458974940394,0.27401443642420875,0.2627362364546712
10,sib_200_bug_Latn_seacrowd_text,0,eng,0.6127450980392157,0.6127450980392157,0.6127450980392157,0.6127450980392157,0.577160234407088,0.530914544047284,0.5316278185464232,0.6809207865801956,0.6127450980392157,0.6248430768608607
11,seaeval_cross_logiqa_fil_seacrowd_qa,0,eng,0.23863636363636365,0.23863636363636365,0.23863636363636365,0.23863636363636365,0.20160363745269402,0.18008703930368558,0.16925381417310983,0.2566528430593611,0.23863636363636365,0.22192160561680918
12,belebele_kac_latn_seacrowd_qa,0,eng,0.33444444444444443,0.33444444444444443,0.33444444444444443,0.33444444444444443,0.2675921925622432,0.2647137442250699,0.2569445411710881,0.3356274534523744,0.33444444444444443,0.3229791814165248
