index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,nusax_senti_min_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,sib_200_ilo_Latn_seacrowd_text,0,eng,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.125,0.025,0.041666666666666664,0.14705882352941177,0.029411764705882353,0.049019607843137254
2,id_sentiment_analysis_seacrowd_text,0,eng,0.2670738478622987,0.2670738478622987,0.2670738478622987,0.2670738478622987,0.08903285515964832,0.33321787322480084,0.14052001168565587,0.0713597592576082,0.2670738478622987,0.11262667233106288
3,belebele_tgl_latn_seacrowd_qa,0,eng,0.6288888888888889,0.6288888888888889,0.6288888888888889,0.6288888888888889,0.5048409851745576,0.5029990764873472,0.5021715105936057,0.6347280275253733,0.6288888888888889,0.62941106669654
4,indommlu_mak_seacrowd_qa,0,eng,0.47319580746378265,0.47319580746378265,0.47319580746378265,0.47319580746378265,0.4428046358641835,0.37097483516337054,0.3948439027697506,0.5201558122494764,0.47319580746378265,0.49038217930017086
5,nusatranslation_senti_abs_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,belebele_ceb_latn_seacrowd_qa,0,eng,0.46111111111111114,0.46111111111111114,0.46111111111111114,0.46111111111111114,0.3720520304935203,0.3707243859927646,0.369260471048482,0.4676947222526557,0.46111111111111114,0.46164483758882374
7,nusatranslation_senti_bew_seacrowd_text,0,eng,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.5833333333333334,0.0032264070378930023,0.006388404418371122,0.9264583333333334,0.0033333333333333335,0.00660867884889805
8,okapi_m_arc_ind_seacrowd_qa,0,eng,0.6581196581196581,0.6581196581196581,0.6581196581196581,0.6581196581196581,0.5824027824027824,0.524659640580453,0.5508166792215585,0.7282087175249569,0.6581196581196581,0.6898320828422491
9,seaeval_cross_logiqa_zlm_seacrowd_qa,0,eng,0.30113636363636365,0.30113636363636365,0.30113636363636365,0.30113636363636365,0.2898261065943993,0.28953828369373047,0.28856822580451275,0.30096724357395094,0.30113636363636365,0.29990247533760195
10,nusaparagraph_topic_rej_seacrowd_text,0,eng,0.04857142857142857,0.04857142857142857,0.04857142857142857,0.04857142857142857,0.2685185185185185,0.05836158739384546,0.09382271427089355,0.20690476190476187,0.04857142857142857,0.07710874826120924
11,belebele_war_latn_seacrowd_qa,0,eng,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.49333333333333335,0.3992455547947367,0.3939656069169454,0.3934686378309521,0.5051339158191392,0.49333333333333335,0.4950695890863665
12,xstorycloze_id_seacrowd_qa,0,eng,0.8623428193249504,0.8623428193249504,0.8623428193249504,0.8623428193249504,0.6224805051965546,0.5750022555219277,0.5977817067342662,0.9341310941060923,0.8623428193249504,0.896775011177979
13,indommlu_jav_seacrowd_qa,0,eng,0.4713932839308365,0.4713932839308365,0.4713932839308365,0.4713932839308365,0.44480288159820985,0.37005637678445363,0.3952407158060665,0.5222387271953434,0.4713932839308365,0.4903589255664565
14,nusaparagraph_topic_jav_seacrowd_text,0,eng,0.09,0.09,0.09,0.09,0.4080687830687831,0.07745506547423951,0.12224911724515729,0.4638095238095239,0.09,0.14028124667859798
15,wisesight_thai_sentiment_seacrowd_text,0,eng,0.014601272931486334,0.014601272931486334,0.014601272931486334,0.014601272931486334,0.1625,0.011420204978038067,0.0213406292749658,0.20776394608760765,0.014601272931486334,0.02728500523175148
16,seaeval_cross_mmlu_ind_seacrowd_qa,0,eng,0.5933333333333334,0.5933333333333334,0.5933333333333334,0.5933333333333334,0.4775814275814277,0.4753584626755359,0.47567249651756693,0.6005324555324556,0.5933333333333334,0.5959475829334984
17,indommlu_ind_seacrowd_qa,0,eng,0.4850123506242072,0.4850123506242072,0.4850123506242072,0.4850123506242072,0.44313170561988585,0.3796905275632205,0.3997685755857722,0.5208268317959475,0.4850123506242072,0.49693222394368897
18,shopee_reviews_tagalog_seacrowd_text,0,eng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
