index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_jav_latn_seacrowd_qa,0,eng,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.24123706599423525,0.24214443104697222,0.21353225844917814,0.2441838306523783,0.2511111111111111,0.2197657033822558
1,belebele_jav_latn_seacrowd_qa,1,eng,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.24888888888888888,0.20272850871111503,0.24187421617001476,0.19456086777307768,0.20537795356294414,0.24888888888888888,0.19932776586172557
2,belebele_jav_latn_seacrowd_qa,2,eng,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.26846052967878437,0.26271632851970467,0.22846611872280526,0.26929750942258157,0.25666666666666665,0.22739419410982079
3,indonli_seacrowd_pairs,0,eng,0.3071580165927069,0.3071580165927069,0.3071580165927069,0.3071580165927069,0.22724532553267185,0.33524568851160536,0.18440750237132078,0.22068722953904565,0.3071580165927069,0.1712764761338639
4,indonli_seacrowd_pairs,1,eng,0.33957167663515336,0.33957167663515336,0.33957167663515336,0.33957167663515336,0.34898808893061756,0.3449868445224961,0.32257565210594613,0.3506532048758757,0.33957167663515336,0.32108710184398837
5,indonli_seacrowd_pairs,2,eng,0.3297318155508393,0.3297318155508393,0.3297318155508393,0.3297318155508393,0.34522378360040956,0.3425744490779059,0.29044992569279776,0.3475087761203705,0.3297318155508393,0.28644607673834654
6,nusax_senti_nij_seacrowd_text,0,eng,0.3825,0.3825,0.3825,0.3825,0.12846347607052896,0.3333333333333333,0.18545454545454546,0.147411838790932,0.3825,0.21280909090909092
7,nusax_senti_nij_seacrowd_text,1,eng,0.3825,0.3825,0.3825,0.3825,0.12781954887218044,0.3333333333333333,0.1847826086956522,0.14667293233082707,0.3825,0.21203804347826086
8,nusax_senti_nij_seacrowd_text,2,eng,0.4325,0.4325,0.4325,0.4325,0.36595441595441597,0.37768543767764645,0.28447043534762834,0.41647115384615385,0.4325,0.3250087719298245
9,mabl_sun_seacrowd_qa,0,eng,0.5,0.5,0.5,0.5,0.5,0.5,0.44027066023185235,0.5,0.5,0.44027066023185235
10,mabl_sun_seacrowd_qa,1,eng,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.4386854153041203,0.48333333333333334,0.3683438382960226,0.43868541530412036,0.48333333333333334,0.3683438382960226
11,mabl_sun_seacrowd_qa,2,eng,0.585,0.585,0.585,0.585,0.5913334686421758,0.585,0.5776785890959664,0.5913334686421757,0.585,0.5776785890959664
12,nusax_senti_ace_seacrowd_text,0,eng,0.3875,0.3875,0.3875,0.3875,0.29545454545454547,0.34027777777777773,0.19912568306010928,0.2677840909090909,0.3875,0.22279672131147538
13,nusax_senti_ace_seacrowd_text,1,eng,0.3825,0.3825,0.3825,0.3825,0.12846347607052896,0.3333333333333333,0.18545454545454546,0.147411838790932,0.3825,0.21280909090909092
14,nusax_senti_ace_seacrowd_text,2,eng,0.425,0.425,0.425,0.425,0.35329419439008475,0.37103406484006407,0.2716264651748523,0.40211937377690804,0.425,0.31045480964835803
15,belebele_lao_laoo_seacrowd_qa,0,eng,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.2511111111111111,0.24137030869374054,0.2546934581114693,0.21341783332851885,0.2477697120307634,0.2511111111111111,0.2160681189143807
16,belebele_lao_laoo_seacrowd_qa,1,eng,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.21707410731090854,0.24731742380859384,0.18392086053565002,0.2293062800438577,0.24444444444444444,0.18841055173818758
17,belebele_lao_laoo_seacrowd_qa,2,eng,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.24444444444444444,0.2600552825266145,0.2546479033642914,0.176289793530254,0.25921741193455394,0.24444444444444444,0.17523224018571687
18,sib_200_ceb_Latn_seacrowd_text,0,eng,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.22549019607843138,0.4744761904761905,0.24258848994143115,0.2181247070583087,0.5014509803921569,0.22549019607843138,0.22671302663017662
19,sib_200_ceb_Latn_seacrowd_text,1,eng,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.25980392156862747,0.4956019857335647,0.337563025210084,0.28025769695224667,0.5115826188775106,0.25980392156862747,0.2511492518237809
20,sib_200_ceb_Latn_seacrowd_text,2,eng,0.11274509803921569,0.11274509803921569,0.11274509803921569,0.11274509803921569,0.26245421245421247,0.1794805194805195,0.0867534157449577,0.20701985922574156,0.11274509803921569,0.06460210238942682
21,nusatranslation_senti_mad_seacrowd_text,0,eng,0.7008333333333333,0.7008333333333333,0.7008333333333333,0.7008333333333333,0.23478503629257397,0.33097205824478554,0.2747019434917524,0.49715731434952537,0.7008333333333333,0.5816813653437857
22,nusatranslation_senti_mad_seacrowd_text,1,eng,0.6991666666666667,0.6991666666666667,0.6991666666666667,0.6991666666666667,0.3015151515151515,0.33128644897895476,0.2778745687836597,0.556125,0.6991666666666667,0.5838631275904003
