index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,nusatranslation_senti_bew_seacrowd_text,0,eng,0.6816666666666666,0.6816666666666666,0.6816666666666666,0.6816666666666666,0.5207332692923471,0.44528653593809403,0.47821627647714604,0.8369082212616074,0.6816666666666666,0.74915629877369
1,nusatranslation_senti_bew_seacrowd_text,1,eng,0.7591666666666667,0.7591666666666667,0.7591666666666667,0.7591666666666667,0.5189454870420018,0.4934518653292797,0.5047502000586723,0.8284693923145666,0.7591666666666667,0.7909619003230449
2,nusatranslation_senti_bew_seacrowd_text,2,eng,0.49833333333333335,0.49833333333333335,0.49833333333333335,0.49833333333333335,0.5243811028726552,0.3432856953330814,0.4082588153221715,0.8449603186661805,0.49833333333333335,0.6188665295218163
3,nusaparagraph_topic_mak_seacrowd_text,0,eng,0.4614285714285714,0.4614285714285714,0.4614285714285714,0.4614285714285714,0.5745054387038082,0.49287950015023735,0.4699287452539835,0.6689709192636211,0.4614285714285714,0.481479945729131
4,nusaparagraph_topic_mak_seacrowd_text,1,eng,0.37,0.37,0.37,0.37,0.471108360713804,0.3976486850905848,0.36775010713707557,0.5463672422440701,0.37,0.3840642348708155
5,nusaparagraph_topic_mak_seacrowd_text,2,eng,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.2714285714285714,0.487809005193006,0.3585357201196032,0.28998528383785366,0.5748500549408699,0.2714285714285714,0.27414171393092834
6,belebele_tha_thai_seacrowd_qa,0,eng,0.78,0.78,0.78,0.78,0.7824195072041586,0.7773236186316484,0.7788252692831911,0.7819647929416738,0.78,0.7799773580767398
7,belebele_tha_thai_seacrowd_qa,1,eng,0.7355555555555555,0.7355555555555555,0.7355555555555555,0.7355555555555555,0.7426022422927475,0.7304835078462069,0.7331689069818272,0.7406918259383206,0.7355555555555555,0.7349443339617328
8,belebele_tha_thai_seacrowd_qa,2,eng,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.5966666666666667,0.6215947939235698,0.5958429442675697,0.5941396518555122,0.6229354424488269,0.5966666666666667,0.5952930071178694
9,xnli.tha_seacrowd_pairs,0,eng,0.4654690618762475,0.4654690618762475,0.4654690618762475,0.4654690618762475,0.4541701543486516,0.46546906187624754,0.4205209281488817,0.4541701543486516,0.4654690618762475,0.42052092814888176
10,xnli.tha_seacrowd_pairs,1,eng,0.34810379241516964,0.34810379241516964,0.34810379241516964,0.34810379241516964,0.4411446038878051,0.3481037924151697,0.2468573372183297,0.441144603887805,0.34810379241516964,0.24685733721832973
11,xnli.tha_seacrowd_pairs,2,eng,0.42734530938123755,0.42734530938123755,0.42734530938123755,0.42734530938123755,0.4690139469681709,0.42734530938123755,0.4213082493386047,0.46901394696817095,0.42734530938123755,0.42130824933860467
12,copal_colloquial_seacrowd_qa,0,eng,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5223613595706619,0.5402629708599858,0.5217549923195085,0.45997373191355406,0.5402157370571116,0.5223613595706619,0.46030208784859145
13,copal_colloquial_seacrowd_qa,1,eng,0.556350626118068,0.556350626118068,0.556350626118068,0.556350626118068,0.5563508322663253,0.5563364055299539,0.5563151291701871,0.5563508093609634,0.556350626118068,0.5563222285597634
14,copal_colloquial_seacrowd_qa,2,eng,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.5241502683363148,0.526925856337621,0.523847926267281,0.5099981545924286,0.5269111706868205,0.5241502683363148,0.5101471242107852
15,seaeval_cross_mmlu_vie_seacrowd_qa,0,eng,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5384920634920636,0.5227536690951325,0.4910946196660483,0.5445608465608466,0.5066666666666667,0.48577365491651203
16,seaeval_cross_mmlu_vie_seacrowd_qa,1,eng,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.4638569990963608,0.38958927251610176,0.35496203290431294,0.4759676469782853,0.37333333333333335,0.3492783669845565
