index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,gklmip_newsclass_seacrowd_text,0,eng,0.3530640668523677,0.3530640668523677,0.3530640668523677,0.3530640668523677,0.3592911911667933,0.3552832928428872,0.328665276612631,0.3981970295471808,0.3530640668523677,0.34702674713920345
1,gklmip_newsclass_seacrowd_text,1,eng,0.1796657381615599,0.1796657381615599,0.1796657381615599,0.1796657381615599,0.18672151879510376,0.19552412762646587,0.1674534938216486,0.2114287743885284,0.1796657381615599,0.17755150021596205
2,gklmip_newsclass_seacrowd_text,2,eng,0.33774373259052926,0.33774373259052926,0.33774373259052926,0.33774373259052926,0.32954087161171003,0.3360047227355325,0.3162339074946053,0.36554427410479,0.33774373259052926,0.3409263707639312
3,nusatranslation_senti_min_seacrowd_text,0,eng,0.7141666666666666,0.7141666666666666,0.7141666666666666,0.7141666666666666,0.5534512849781219,0.45512741186189554,0.49946274084205117,0.862821984830062,0.7141666666666666,0.7814472544644959
4,nusatranslation_senti_min_seacrowd_text,1,eng,0.6983333333333334,0.6983333333333334,0.6983333333333334,0.6983333333333334,0.5677713234529239,0.4448963346722811,0.4988010602925497,0.8824106720831896,0.6983333333333334,0.7795606556732253
5,nusatranslation_senti_min_seacrowd_text,2,eng,0.37416666666666665,0.37416666666666665,0.37416666666666665,0.37416666666666665,0.5312844477925748,0.2730817984487827,0.3477639340315397,0.8591584098366934,0.37416666666666665,0.5054873525340075
6,xstorycloze_id_seacrowd_qa,0,eng,0.9093315684976837,0.9093315684976837,0.9093315684976837,0.9093315684976837,0.9092100468141171,0.9105003040560729,0.9092474589051756,0.9106856672574251,0.9093315684976837,0.9094028788043754
7,xstorycloze_id_seacrowd_qa,1,eng,0.8616810059563204,0.8616810059563204,0.8616810059563204,0.8616810059563204,0.8622455417227457,0.8632960381317951,0.8616264594883668,0.8641649633285917,0.8616810059563204,0.8617810078142351
8,xstorycloze_id_seacrowd_qa,2,eng,0.9318332230311053,0.9318332230311053,0.9318332230311053,0.9318332230311053,0.9315965335258374,0.9329240000421812,0.9317584991105492,0.9329377740556886,0.9318332230311053,0.9318855297754943
9,nusaparagraph_topic_bug_seacrowd_text,0,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6393958966270672,0.575757753222542,0.5514829440492386,0.740436420220903,0.5666666666666667,0.6095663728637626
10,nusaparagraph_topic_bug_seacrowd_text,1,eng,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.5706091313959719,0.475266796393557,0.43764663644219637,0.6850457145890743,0.44666666666666666,0.49239018204799784
11,nusaparagraph_topic_bug_seacrowd_text,2,eng,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.3902268766054521,0.3289615060741822,0.284393739907802,0.4624169281943273,0.2833333333333333,0.2942223791253193
12,seaeval_cross_mmlu_vie_seacrowd_qa,0,eng,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5911986161986161,0.5731971280751769,0.5709350895783533,0.5931577804911137,0.5666666666666667,0.5695531678947238
13,seaeval_cross_mmlu_vie_seacrowd_qa,1,eng,0.6,0.6,0.6,0.6,0.6133814102564102,0.6015943406187308,0.5992307548087118,0.6184081196581196,0.6,0.601645086295624
14,seaeval_cross_mmlu_vie_seacrowd_qa,2,eng,0.52,0.52,0.52,0.52,0.5237129126835008,0.5241685144124169,0.5198161543098252,0.5275559294971061,0.52,0.519637934498694
15,sib_200_ceb_Latn_seacrowd_text,0,eng,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8137254901960784,0.8109041640371564,0.7940332113706726,0.7966091009596588,0.8260823854070807,0.8137254901960784,0.8150943405166025
16,sib_200_ceb_Latn_seacrowd_text,1,eng,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.7254901960784313,0.7313561594850706,0.708597429402383,0.7103960155490767,0.7642663010135218,0.7254901960784313,0.7380060357476325
17,sib_200_ceb_Latn_seacrowd_text,2,eng,0.7892156862745098,0.7892156862745098,0.7892156862745098,0.7892156862745098,0.7924464482762803,0.764844531113881,0.7678176861830457,0.8011124540428174,0.7892156862745098,0.7867293066390842
18,nusatranslation_senti_mad_seacrowd_text,0,eng,0.635,0.635,0.635,0.635,0.4800903157394372,0.4045227671289994,0.43812422653263666,0.7809988741003469,0.635,0.6993582199991599
19,nusatranslation_senti_mad_seacrowd_text,1,eng,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.48479350550288763,0.37784526401575075,0.4245984440253503,0.7838835812356979,0.6041666666666666,0.6822846973866887
20,nusatranslation_senti_mad_seacrowd_text,2,eng,0.3325,0.3325,0.3325,0.3325,0.4616364291721735,0.2385344932344675,0.301007640734615,0.7674231847490889,0.3325,0.4478761624074393
21,nusaparagraph_topic_jav_seacrowd_text,0,eng,0.53875,0.53875,0.53875,0.53875,0.636562044407474,0.5263346099511415,0.5433556114496757,0.6379370538752154,0.53875,0.5504970137786939
22,nusaparagraph_topic_jav_seacrowd_text,1,eng,0.47,0.47,0.47,0.47,0.5787605241348576,0.46349053995237355,0.4751904789685003,0.5828844954685433,0.47,0.47784858986457734
23,nusaparagraph_topic_jav_seacrowd_text,2,eng,0.35,0.35,0.35,0.35,0.4311786234334487,0.33503735693747616,0.31276875094225887,0.4642583990741034,0.35,0.33057468564515796
24,sib_200_bug_Latn_seacrowd_text,0,eng,0.5980392156862745,0.5980392156862745,0.5980392156862745,0.5980392156862745,0.6668444108790138,0.5957605913178668,0.5948117031864056,0.7006127630942106,0.5980392156862745,0.6214684039618278
25,sib_200_bug_Latn_seacrowd_text,1,eng,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.6176470588235294,0.7015156939968971,0.6215617921809872,0.6138609664846546,0.7272069061542745,0.6176470588235294,0.6327143144697602
26,sib_200_bug_Latn_seacrowd_text,2,eng,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.5928784590919467,0.6156559178695401,0.5903183845338548,0.6241189084169297,0.6274509803921569,0.6110908898220176
27,myxnli_seacrowd_pairs,0,eng,0.450499001996008,0.450499001996008,0.450499001996008,0.450499001996008,0.44640180528511886,0.450499001996008,0.4207434143716203,0.44640180528511886,0.450499001996008,0.42074341437162033
28,myxnli_seacrowd_pairs,1,eng,0.406187624750499,0.406187624750499,0.406187624750499,0.406187624750499,0.43064214114037563,0.40618762475049897,0.3913776209737701,0.4306421411403756,0.406187624750499,0.39137762097377016
29,myxnli_seacrowd_pairs,2,eng,0.38303393213572856,0.38303393213572856,0.38303393213572856,0.38303393213572856,0.3864456397329404,0.38303393213572856,0.36605353670674035,0.38644563973294044,0.38303393213572856,0.3660535367067404
30,xcopa_vie_seacrowd_qa,0,eng,0.534,0.534,0.534,0.534,0.5342416087916337,0.534,0.5331765233872552,0.5342416087916337,0.534,0.5331765233872552
31,xcopa_vie_seacrowd_qa,1,eng,0.534,0.534,0.534,0.534,0.5348480624477279,0.534,0.5311475013985085,0.5348480624477279,0.534,0.5311475013985084
32,xcopa_vie_seacrowd_qa,2,eng,0.534,0.534,0.534,0.534,0.53572929802438,0.534,0.5282923372811013,0.5357292980243799,0.534,0.5282923372811014
33,seaeval_sg_eval_eng_seacrowd_qa,0,eng,0.5339805825242718,0.5339805825242718,0.5339805825242718,0.5339805825242718,0.5190672892720306,0.5100574712643678,0.5120318028751714,0.551846194621136,0.5339805825242718,0.5404052375472507
34,seaeval_sg_eval_eng_seacrowd_qa,1,eng,0.6504854368932039,0.6504854368932039,0.6504854368932039,0.6504854368932039,0.6437076333628058,0.6525862068965518,0.6463688610240335,0.6555887478217575,0.6504854368932039,0.6517210944395411
35,seaeval_sg_eval_eng_seacrowd_qa,2,eng,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.5631067961165048,0.5652393034252104,0.575287356321839,0.5579693758693346,0.5903284802706936,0.5631067961165048,0.5680130951425757
36,seaeval_ph_eval_eng_seacrowd_qa,0,eng,0.57,0.57,0.57,0.57,0.5702100840336134,0.5740610599078341,0.5662706761058796,0.58189243697479,0.57,0.5701186023731606
37,seaeval_ph_eval_eng_seacrowd_qa,1,eng,0.51,0.51,0.51,0.51,0.5045210166177908,0.5040639400921659,0.4981888432950341,0.5291544477028348,0.51,0.5131210380417476
38,seaeval_ph_eval_eng_seacrowd_qa,2,eng,0.57,0.57,0.57,0.57,0.5573953823953823,0.5639084101382488,0.5577759799943267,0.5774906204906205,0.57,0.5716673079840153
39,nusax_senti_mad_seacrowd_text,0,eng,0.68,0.68,0.68,0.68,0.6519096805689716,0.6440041156271191,0.6436819467957192,0.6698885976203839,0.68,0.671487814879731
40,nusax_senti_mad_seacrowd_text,1,eng,0.6825,0.6825,0.6825,0.6825,0.669237873521761,0.6483659228960165,0.6502333196193583,0.6833996286641747,0.6825,0.6749811884919117
41,nusax_senti_mad_seacrowd_text,2,eng,0.4875,0.4875,0.4875,0.4875,0.5723965956524096,0.5178106378680979,0.4807521032060744,0.6071989754431616,0.4875,0.48452580461770833
42,m3exam_tha_seacrowd_qa,0,eng,0.46494464944649444,0.46494464944649444,0.46494464944649444,0.46494464944649444,0.3785184505819199,0.4081368531204032,0.38747358945838284,0.42970296721721063,0.46494464944649444,0.4407604805328324
43,m3exam_tha_seacrowd_qa,1,eng,0.47232472324723246,0.47232472324723246,0.47232472324723246,0.47232472324723246,0.38355303638687877,0.4151149646274016,0.3951077485104665,0.43621577376559956,0.47232472324723246,0.44961190423071573
44,m3exam_tha_seacrowd_qa,2,eng,0.44142066420664205,0.44142066420664205,0.44142066420664205,0.44142066420664205,0.35512383951014725,0.38940356468633547,0.36952515835335775,0.40448992879341256,0.44142066420664205,0.419927306074717
45,okapi_m_arc_ind_seacrowd_qa,0,eng,0.7829059829059829,0.7829059829059829,0.7829059829059829,0.7829059829059829,0.7921493139788887,0.7800002135588515,0.7826299389363025,0.7895636953080086,0.7829059829059829,0.7828525022582026
46,okapi_m_arc_ind_seacrowd_qa,1,eng,0.7854700854700855,0.7854700854700855,0.7854700854700855,0.7854700854700855,0.7937487115096431,0.7829601392403711,0.7841847853006756,0.7917437388238087,0.7854700854700855,0.7846336716173324
47,okapi_m_arc_ind_seacrowd_qa,2,eng,0.7205128205128205,0.7205128205128205,0.7205128205128205,0.7205128205128205,0.5815164090516534,0.576496353482611,0.5779439524246404,0.7286489611421507,0.7205128205128205,0.7231870365621097
48,indommlu_bjn_seacrowd_qa,0,eng,0.5471660324454236,0.5471660324454236,0.5471660324454236,0.5471660324454236,0.5410840871081187,0.5347997103360984,0.5342024448075805,0.554619232101691,0.5471660324454236,0.5464179081203455
