index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,sib_200_pag_Latn_seacrowd_text,0,eng,0.5931372549019608,0.5931372549019608,0.5931372549019608,0.5931372549019608,0.6172457054520225,0.6034324447482342,0.5832129703455594,0.6402675380363007,0.5931372549019608,0.5955019251578691
1,sib_200_pag_Latn_seacrowd_text,1,eng,0.4019607843137255,0.4019607843137255,0.4019607843137255,0.4019607843137255,0.5340162380741771,0.4336938603192473,0.3898020295393078,0.5912418126552619,0.4019607843137255,0.3847967429995367
2,sib_200_pag_Latn_seacrowd_text,2,eng,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.5508506572792287,0.4344911074477638,0.425621107111721,0.6054460109607168,0.43137254901960786,0.423967019570524
3,seaeval_ph_eval_eng_seacrowd_qa,0,eng,0.37,0.37,0.37,0.37,0.3648135964912281,0.3750115207373272,0.33902626137883934,0.37101359649122806,0.37,0.337765069652998
4,seaeval_ph_eval_eng_seacrowd_qa,1,eng,0.36,0.36,0.36,0.36,0.39999999999999997,0.36373271889400927,0.334300123773808,0.4272307692307693,0.36,0.34844913265965893
5,seaeval_ph_eval_eng_seacrowd_qa,2,eng,0.44,0.44,0.44,0.44,0.48878205128205127,0.4167655529953917,0.4233605709509324,0.47955128205128206,0.44,0.4302177432297914
6,gklmip_newsclass_seacrowd_text,0,eng,0.14554317548746518,0.14554317548746518,0.14554317548746518,0.14554317548746518,0.16331851214379217,0.1450118298429548,0.12122600508734628,0.19211524941470529,0.14554317548746518,0.13681083934463714
7,gklmip_newsclass_seacrowd_text,1,eng,0.09331476323119778,0.09331476323119778,0.09331476323119778,0.09331476323119778,0.12006521240262455,0.11986102496872326,0.06312425243192024,0.1389257602176812,0.09331476323119778,0.06207432397031756
8,gklmip_newsclass_seacrowd_text,2,eng,0.10376044568245125,0.10376044568245125,0.10376044568245125,0.10376044568245125,0.1355364772621125,0.11438521807073147,0.08366882492748823,0.16043311683595718,0.10376044568245125,0.08675773684734663
9,indommlu_ind_seacrowd_qa,0,eng,0.40036050470658924,0.40036050470658924,0.40036050470658924,0.40036050470658924,0.4052753972581632,0.39858315740843187,0.3882853930261534,0.4280959478528209,0.40036050470658924,0.39926333583653667
10,indommlu_ind_seacrowd_qa,1,eng,0.3998931837906402,0.3998931837906402,0.3998931837906402,0.3998931837906402,0.4017582626572248,0.38622466826183804,0.38351140825921465,0.4185254586441984,0.3998931837906402,0.3974786676891803
11,indommlu_ind_seacrowd_qa,2,eng,0.3734561719740971,0.3734561719740971,0.3734561719740971,0.3734561719740971,0.3678928125852353,0.35309713916736646,0.35362601371427366,0.3819800519083696,0.3734561719740971,0.37021992063307624
12,nusaparagraph_topic_mak_seacrowd_text,0,eng,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.36428571428571427,0.4388821752755955,0.2976196632085153,0.2973050248981426,0.4593525843813366,0.36428571428571427,0.3367257654298602
