index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_war_latn_seacrowd_qa,0,eng,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.3611111111111111,0.35993401094977506,0.3584693092452313,0.3573247848703688,0.3624697684119045,0.3611111111111111,0.3597272498275587
1,belebele_war_latn_seacrowd_qa,1,eng,0.7,0.7,0.7,0.7,0.69965180231868,0.6995850737142376,0.6993267904296653,0.7010162887930464,0.7,0.7002193921410194
2,belebele_war_latn_seacrowd_qa,2,eng,0.6877777777777778,0.6877777777777778,0.6877777777777778,0.6877777777777778,0.6910287848775396,0.6865138681269255,0.6870645090039114,0.6916352061762643,0.6877777777777778,0.6880706850605445
3,nusax_senti_ban_seacrowd_text,0,eng,0.525,0.525,0.525,0.525,0.4622005988023952,0.4618447820629355,0.39051736424533234,0.5281296781437126,0.525,0.4450258919663642
4,nusax_senti_ban_seacrowd_text,1,eng,0.63,0.63,0.63,0.63,0.4462636787122027,0.5530883435051724,0.48157999734007184,0.5093864218969653,0.63,0.5491907168506451
5,nusax_senti_ban_seacrowd_text,2,eng,0.6125,0.6125,0.6125,0.6125,0.44380720658092915,0.5378955114054452,0.4680413240565044,0.5066592805005213,0.6125,0.5337127134724858
6,nusax_senti_mad_seacrowd_text,0,eng,0.415,0.415,0.415,0.415,0.4640692640692641,0.36601307189542487,0.24733475479744138,0.5305584415584416,0.415,0.28099946695095945
7,nusax_senti_mad_seacrowd_text,1,eng,0.565,0.565,0.565,0.565,0.4155251141552512,0.49655888845604473,0.42510573155859993,0.4743321917808219,0.565,0.48453568926597657
8,nusax_senti_mad_seacrowd_text,2,eng,0.525,0.525,0.525,0.525,0.4214046822742475,0.46175821321906246,0.38900634249471455,0.4812792642140468,0.525,0.443276955602537
9,nusatranslation_senti_mak_seacrowd_text,0,eng,0.35083333333333333,0.35083333333333333,0.35083333333333333,0.35083333333333333,0.6289333208466005,0.5368372292142572,0.31429627711584857,0.7600224370980833,0.35083333333333333,0.2491363284825003
10,nusatranslation_senti_mak_seacrowd_text,1,eng,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.6037568138735454,0.6147810469211448,0.5348007005879137,0.7006648042834814,0.5366666666666666,0.5469294800998077
11,nusatranslation_senti_mak_seacrowd_text,2,eng,0.4691666666666667,0.4691666666666667,0.4691666666666667,0.4691666666666667,0.6165060851926978,0.5983574756430796,0.4667369870639769,0.7274598546315078,0.4691666666666667,0.45191894109201713
12,xnli.tha_seacrowd_pairs,0,eng,0.3267465069860279,0.3267465069860279,0.3267465069860279,0.3267465069860279,0.32485991810949716,0.3267465069860279,0.27353730067832144,0.3248599181094971,0.3267465069860279,0.27353730067832144
13,xnli.tha_seacrowd_pairs,1,eng,0.35469061876247504,0.35469061876247504,0.35469061876247504,0.35469061876247504,0.23765822209734533,0.35469061876247504,0.2811210865595316,0.23765822209734533,0.35469061876247504,0.2811210865595316
14,xnli.tha_seacrowd_pairs,2,eng,0.3714570858283433,0.3714570858283433,0.3714570858283433,0.3714570858283433,0.30081106623404186,0.3714570858283433,0.2992072641158547,0.3008110662340419,0.3714570858283433,0.2992072641158547
15,sib_200_sun_Latn_seacrowd_text,0,eng,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6530938386087888,0.6229073351828769,0.6084907630544752,0.7091616932998602,0.6666666666666666,0.6497111497954787
16,sib_200_sun_Latn_seacrowd_text,1,eng,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.7107843137254902,0.7416593945270415,0.6675279106858054,0.6575393388843337,0.7740350142696596,0.7107843137254902,0.6980870338495578
17,sib_200_sun_Latn_seacrowd_text,2,eng,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6501481322909894,0.6097420690764344,0.594327566462888,0.7106045733496714,0.6470588235294118,0.6317182887111049
18,indommlu_nij_seacrowd_qa,0,eng,0.2872688430469324,0.2872688430469324,0.2872688430469324,0.2872688430469324,0.2796300848557335,0.26376506256291093,0.26057474372033596,0.2936245322677152,0.2872688430469324,0.2818801895521803
19,indommlu_nij_seacrowd_qa,1,eng,0.43086988450497365,0.43086988450497365,0.43086988450497365,0.43086988450497365,0.4370192707869663,0.402391145071668,0.406635888261312,0.44299239733515694,0.43086988450497365,0.42747188629192645
20,indommlu_nij_seacrowd_qa,2,eng,0.4239935910274384,0.4239935910274384,0.4239935910274384,0.4239935910274384,0.4420485407176097,0.39804518165053965,0.3986882359575301,0.4495017170419726,0.4239935910274384,0.41789201218183447
21,xstorycloze_id_seacrowd_qa,0,eng,0.8266048974189278,0.8266048974189278,0.8266048974189278,0.8266048974189278,0.8335203443129163,0.8306855849300672,0.8264893057503506,0.8371265589508857,0.8266048974189278,0.826237375190631
22,xstorycloze_id_seacrowd_qa,1,eng,0.8173395102581072,0.8173395102581072,0.8173395102581072,0.8173395102581072,0.8246809945516176,0.8215401758252574,0.8171914616056306,0.8283302703700292,0.8173395102581072,0.8168988072925952
