index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,belebele_mya_mymr_seacrowd_qa,0,eng,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.29386875550522207,0.25362988805689707,0.10542861772808297,0.3138062581267564,0.23333333333333334,0.09870440591296206
1,belebele_mya_mymr_seacrowd_qa,1,eng,0.2288888888888889,0.2288888888888889,0.2288888888888889,0.2288888888888889,0.14771449023417527,0.24921067171836767,0.1000195440896896,0.1514024383315722,0.2288888888888889,0.0929569339074163
2,belebele_mya_mymr_seacrowd_qa,2,eng,0.23,0.23,0.23,0.23,0.1076062639821029,0.25101626016260165,0.0956283955088736,0.10740840169028087,0.23,0.08790724777657048
3,id_sent_emo_mobile_apps_sentiment_seacrowd_text,0,eng,0.3568399705014749,0.3568399705014749,0.3568399705014749,0.3568399705014749,0.31087227524127714,0.33430608944838663,0.17787279705709488,0.30530903537592813,0.3568399705014749,0.18975985158471684
4,id_sent_emo_mobile_apps_sentiment_seacrowd_text,1,eng,0.3558720501474926,0.3558720501474926,0.3558720501474926,0.3558720501474926,0.11862401671583088,0.3333333333333333,0.17497818721600888,0.1266449160761795,0.3558720501474926,0.1868095386469586
5,id_sent_emo_mobile_apps_sentiment_seacrowd_text,2,eng,0.3573930678466077,0.3573930678466077,0.3573930678466077,0.3573930678466077,0.3068191452357578,0.3348608750017293,0.1807690936505839,0.32057099333297695,0.3573930678466077,0.19277577782272642
6,belebele_shn_mymr_seacrowd_qa,0,eng,0.22777777777777777,0.22777777777777777,0.22777777777777777,0.22777777777777777,0.3382084736251403,0.24864451899656742,0.09698838425649674,0.3528430914079062,0.22777777777777777,0.08906056709886738
7,belebele_shn_mymr_seacrowd_qa,1,eng,0.2288888888888889,0.2288888888888889,0.2288888888888889,0.2288888888888889,0.05722222222222222,0.25,0.09312839059674503,0.05239012345679012,0.2288888888888889,0.08526421539079768
8,belebele_shn_mymr_seacrowd_qa,2,eng,0.23222222222222222,0.23222222222222222,0.23222222222222222,0.23222222222222222,0.5574136008918618,0.2530285362614582,0.09939807135870657,0.6047875634832156,0.23222222222222222,0.09211812771893296
9,seaeval_sg_eval_eng_seacrowd_qa,0,eng,0.1553398058252427,0.1553398058252427,0.1553398058252427,0.1553398058252427,0.10037878787878787,0.25833333333333336,0.0804953560371517,0.09488084730803178,0.1553398058252427,0.05545703207189876
10,seaeval_sg_eval_eng_seacrowd_qa,1,eng,0.14563106796116504,0.14563106796116504,0.14563106796116504,0.14563106796116504,0.03640776699029126,0.25,0.0635593220338983,0.021208407955509472,0.14563106796116504,0.03702484778673687
11,seaeval_sg_eval_eng_seacrowd_qa,2,eng,0.14563106796116504,0.14563106796116504,0.14563106796116504,0.14563106796116504,0.03640776699029126,0.25,0.0635593220338983,0.021208407955509472,0.14563106796116504,0.03702484778673687
12,sib_200_vie_Latn_seacrowd_text,0,eng,0.4215686274509804,0.4215686274509804,0.4215686274509804,0.4215686274509804,0.5282425907425907,0.40408742444346163,0.3045354023379675,0.5394606414827003,0.4215686274509804,0.3395753869163792
13,sib_200_vie_Latn_seacrowd_text,1,eng,0.25,0.25,0.25,0.25,0.2127912087912088,0.24388846447669973,0.1546281673110608,0.25840422322775264,0.25,0.2046029502342193
