index,dataset,fold,wer,mer,cer
0,commonvoice_120_tha_seacrowd_sptext,test,1.0298134126554894,1.0,0.9994985811808274
1,commonvoice_120_vie_seacrowd_sptext,test,0.9318795430944964,0.9298518288260283,0.42385556730623963
2,fleurs_fil_seacrowd_sptext,test,0.13283460599248034,0.13051260568207784,0.03810074612637118
3,commonvoice_120_ind_seacrowd_sptext,test,0.47888299099930765,0.47009515178975986,0.10458729955464492
4,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,0.2479020979020979,0.24334992277329673,0.07399606852007863
5,fleurs_zlm_seacrowd_sptext,test,0.1752342888643881,0.1722783009281214,0.0417585406366259
6,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,0.29749552772808585,0.2903282122905028,0.08565075600355766
7,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.26961805555555557,0.265198087431694,0.07586264750293607
8,fleurs_ind_seacrowd_sptext,test,0.14271815596467594,0.1402412119429328,0.03516694179668779
9,fleurs_khm_seacrowd_sptext,test,1.0024195499637067,0.9997586872586872,0.974801073496869
10,fleurs_ceb_seacrowd_sptext,test,0.15574619139180595,0.153767523364486,0.049363415793291475
11,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.46325088339222614,0.4447837150127226,0.11979041916167665
12,asr_ibsc_seacrowd_sptext,test,0.6260221697256042,0.6001219405975089,0.17357702349869453
13,fleurs_jav_seacrowd_sptext,test,0.21736714136853075,0.21368572013931572,0.05402481771564681
14,fleurs_lao_seacrowd_sptext,test,1.0,1.0,0.9707073730420034
15,commonvoice_120_cnh_seacrowd_sptext,test,0.4922056979036015,0.47045727008049326,0.13880284637923818
16,fleurs_vie_seacrowd_sptext,test,0.9166666666666666,0.9071384897584837,0.3005110524895308
17,fleurs_tha_seacrowd_sptext,test,1.0073669201520912,1.0,0.9895474493888915
18,fleurs_mya_seacrowd_sptext,test,1.0,1.0,0.9947947499891707
