index,dataset,fold,wer,mer,cer
0,commonvoice_120_tha_seacrowd_sptext,test,1.2974279460051077,1.0,0.9733474304497715
1,commonvoice_120_cnh_seacrowd_sptext,test,7.300131061598951,1.0,1.0002579676836847
2,fleurs_khm_seacrowd_sptext,test,5.360570687418936,1.0,0.9861918892185955
3,fleurs_tha_seacrowd_sptext,test,4.121449559255632,1.0,0.9660557883855665
4,commonvoice_120_ind_seacrowd_sptext,test,5.939402248423361,1.0,0.9997491006222304
5,fleurs_ind_seacrowd_sptext,test,19.449781659388645,1.0,0.9988461354505452
6,fleurs_vie_seacrowd_sptext,test,30.217036172695448,1.0,0.9895998917712314
7,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,5.66,1.0,0.9997297160329071
8,fleurs_jav_seacrowd_sptext,test,19.77335164835165,1.0,0.9993910158816648
9,fleurs_ceb_seacrowd_sptext,test,24.99260628465804,1.0,1.0005691337656193
10,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,5.72,1.0,0.9997285518239809
11,fleurs_lao_seacrowd_sptext,test,5.777777777777778,1.0,0.9943019641837749
12,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,5.59,1.0,0.9996267612204908
13,fleurs_fil_seacrowd_sptext,test,26.762448132780083,1.0,0.9996796202519231
14,fleurs_zlm_seacrowd_sptext,test,19.375166889185582,1.0,0.9988577230613022
15,fleurs_mya_seacrowd_sptext,test,10.307954545454546,1.0,0.9930747008930338
16,commonvoice_120_vie_seacrowd_sptext,test,7.3963133640553,1.0,0.9917516308959148
17,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,5.76,1.0,0.9997279963351086
18,asr_ibsc_seacrowd_sptext,test,23.268498942917546,1.0,0.9994736495822094
