index,dataset,fold,wer,mer,cer
0,commonvoice_120_ind_seacrowd_sptext,test,1.0407569813062543,0.9752595155709343,0.44393221496563795
1,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,0.9946332737030411,0.9240485291673591,0.351586125111177
2,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,0.9814685314685314,0.9129939827614246,0.3141814097163718
3,fleurs_vie_seacrowd_sptext,test,0.9983781278962002,0.9982239382239382,0.69105266365433
4,fleurs_jav_seacrowd_sptext,test,1.0511288641889545,0.9686319697842648,0.44658366357745394
5,fleurs_mya_seacrowd_sptext,test,2.428807582102711,0.9999546279491833,0.9565170307694529
6,commonvoice_120_vie_seacrowd_sptext,test,0.9959501557632399,0.9945043550394027,0.6792315052626278
7,fleurs_fil_seacrowd_sptext,test,0.6124655994418389,0.5658775919492891,0.19413903117969317
8,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.942756183745583,0.9027237354085603,0.31326347305389224
9,fleurs_zlm_seacrowd_sptext,test,1.0051681367144432,0.9627111932418163,0.3986828429610778
10,asr_ibsc_seacrowd_sptext,test,0.970379792840269,0.9587934284944789,0.4035956732562477
11,fleurs_ceb_seacrowd_sptext,test,0.7484839520780949,0.6940748868467974,0.24569148803121638
12,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.9703125,0.8968228498074454,0.29822157597449805
13,fleurs_ind_seacrowd_sptext,test,1.020655590480467,0.9632036160745815,0.42656158474892164
14,fleurs_lao_seacrowd_sptext,test,3.3982074263764406,0.999874419188748,1.0202733712461338
15,fleurs_khm_seacrowd_sptext,test,4.497943382530849,0.9995161030162912,1.028692499646876
16,fleurs_tha_seacrowd_sptext,test,5.008792775665399,0.9999051188386546,1.0733723436049896
17,commonvoice_120_tha_seacrowd_sptext,test,4.656233098972417,1.0,1.1215478434788941
18,commonvoice_120_cnh_seacrowd_sptext,test,0.9648808457265723,0.9564831261101243,0.5062787777312683
