index,dataset,fold,wer,mer,cer
0,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,4.246061515378845,1.0,0.9286819644738966
1,fleurs_lao_seacrowd_sptext,test,3.41534008683068,1.0,0.9853104039116535
2,fleurs_ceb_seacrowd_sptext,test,21.915721231766614,1.0,0.9309796951580761
3,commonvoice_120_cnh_seacrowd_sptext,test,6.173672566371682,1.0,0.9437489717473565
4,commonvoice_120_tha_seacrowd_sptext,test,1.2597483785262171,1.0,0.998253134046492
5,fleurs_zlm_seacrowd_sptext,test,9.338481338481339,1.0,0.9308416557382562
6,fleurs_vie_seacrowd_sptext,test,12.619883040935672,1.0,0.9701031042087648
7,commonvoice_120_ind_seacrowd_sptext,test,4.465993404781534,1.0,0.934549653024162
8,fleurs_jav_seacrowd_sptext,test,10.734526472781507,1.0,0.9334483992954278
9,asr_ibsc_seacrowd_sptext,test,10.452041785375119,1.0,0.9317985000245094
10,fleurs_tha_seacrowd_sptext,test,2.8007838014369693,1.0,0.9946187486606399
11,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,4.181286549707602,1.0,0.9321745868223402
12,commonvoice_120_vie_seacrowd_sptext,test,5.975806451612903,1.0,0.9813513489861819
13,fleurs_khm_seacrowd_sptext,test,2.5645554202192447,1.0,0.9893127286996303
14,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,4.216691068814056,1.0,0.9333596145422689
15,fleurs_mya_seacrowd_sptext,test,4.744903293256665,1.0,0.9929756138474765
16,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,4.187265917602996,1.0,0.9380426606739903
17,fleurs_ind_seacrowd_sptext,test,10.039068369646882,1.0,0.9329173223361731
18,fleurs_fil_seacrowd_sptext,test,23.242342342342344,1.0,0.9344682219442144
