index,dataset,fold,wer,mer,cer
0,commonvoice_120_vie_seacrowd_sptext,test,1.0194184839044653,1.0,3.0032734048446392
1,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,1.0019097222222222,1.0,2.855069626978357
2,fleurs_ind_seacrowd_sptext,test,1.0012722646310432,1.0,2.466148357207519
3,commonvoice_120_ind_seacrowd_sptext,test,1.0120470805446573,1.0,2.73201149670608
4,fleurs_mya_seacrowd_sptext,test,1.0013224597751818,1.0,2.5181136924787384
5,fleurs_vie_seacrowd_sptext,test,1.0116234167438987,1.0,2.278440898129043
6,commonvoice_120_tha_seacrowd_sptext,test,1.9597079502433747,1.0,3.8257247462792763
7,fleurs_lao_seacrowd_sptext,test,1.84037558685446,1.0,3.1047191459642822
8,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,1.0010733452593918,1.0,2.84755410613697
9,fleurs_fil_seacrowd_sptext,test,1.0104655219194543,0.9999616417337936,3.0343828251115377
10,fleurs_zlm_seacrowd_sptext,test,1.0006201764057332,1.0,2.3066178399013104
11,commonvoice_120_cnh_seacrowd_sptext,test,1.0299229528758287,0.9913763366678164,3.0440770196735034
12,asr_ibsc_seacrowd_sptext,test,1.0001817190623297,1.0,2.1209399477806787
13,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,1.0041958041958041,1.0,2.8690536366189274
14,fleurs_jav_seacrowd_sptext,test,1.0200764154220214,1.0,2.914771013407391
15,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,1.002826855123675,1.0,2.67685628742515
16,fleurs_ceb_seacrowd_sptext,test,1.0053986096731253,1.0,2.757422646889617
17,fleurs_tha_seacrowd_sptext,test,1.5648764258555132,1.0,3.0290138895443035
18,fleurs_khm_seacrowd_sptext,test,1.104282603435761,0.9997809419496166,3.097659965158435
