index,dataset,fold,wer,mer,cer
0,asr_ibsc_seacrowd_sptext,test,0.9522987461384699,0.949193986596631,0.38640805669526296
1,fleurs_vie_seacrowd_sptext,test,0.996717639789929,0.9963328958542422,0.6847493927442735
2,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.9611307420494699,0.8923884514435696,0.3057185628742515
3,fleurs_ind_seacrowd_sptext,test,0.9614578655889837,0.943868929542282,0.3887746951381863
4,fleurs_lao_seacrowd_sptext,test,2.788732394366197,0.9960365853658537,0.9665968272972164
5,fleurs_zlm_seacrowd_sptext,test,0.9539002205071665,0.933508665452829,0.3718054570709769
6,commonvoice_120_tha_seacrowd_sptext,test,4.982963764196863,1.0,1.1248336774168246
7,fleurs_mya_seacrowd_sptext,test,1.520938946440379,0.9991312531673061,0.9475432086287306
8,fleurs_fil_seacrowd_sptext,test,0.9052288848404977,0.8990606713889744,0.3232366885716828
9,commonvoice_120_vie_seacrowd_sptext,test,1.0033229491173417,0.997625193598348,0.6921740444175858
10,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,1.0187062937062936,0.9107533604251329,0.33437236731255265
11,commonvoice_120_ind_seacrowd_sptext,test,1.0676667435956613,0.9664897839802783,0.4349539704898906
12,fleurs_ceb_seacrowd_sptext,test,0.925085046590741,0.9230371900826446,0.3223442307211286
13,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,1.0275491949910553,0.9175718849840255,0.3757782389564186
14,fleurs_khm_seacrowd_sptext,test,3.5475441567868375,0.9955863380186053,0.9893686143415416
15,fleurs_jav_seacrowd_sptext,test,0.9703369225425496,0.9563847997261212,0.42450151340219056
16,fleurs_tha_seacrowd_sptext,test,4.21601711026616,0.9980310531053105,1.0195916505434697
17,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.9496527777777778,0.8614173228346457,0.2947542083776075
18,commonvoice_120_cnh_seacrowd_sptext,test,0.9768858627486113,0.9554854539081669,0.5512766848053579
