index,dataset,fold,wer,mer,cer
0,fleurs_jav_seacrowd_sptext,test,1.6637721431052448,1.0,1.0453292559886
1,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,1.5741258741258741,1.0,1.058410558831789
2,fleurs_khm_seacrowd_sptext,test,6.038228889426566,1.0,1.137539432176656
3,commonvoice_120_ind_seacrowd_sptext,test,1.582644818832218,1.0,1.033437202088758
4,asr_ibsc_seacrowd_sptext,test,1.3347265128111938,1.0,0.9646848190973517
5,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,1.668576388888889,1.0,1.0768693026117107
6,fleurs_ceb_seacrowd_sptext,test,1.5099837302174235,1.0,1.013494584656945
7,fleurs_vie_seacrowd_sptext,test,1.03795953042941,1.0,0.8864540618660817
8,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,1.6592128801431127,1.0,1.078298250815298
9,commonvoice_120_cnh_seacrowd_sptext,test,1.0731051782834617,1.0,0.9074926747593135
10,commonvoice_120_vie_seacrowd_sptext,test,1.0136033229491173,1.0,0.9103087072568867
11,fleurs_tha_seacrowd_sptext,test,6.29111216730038,0.9873195837839854,0.29322196529973416
12,commonvoice_120_tha_seacrowd_sptext,test,5.373715521903732,0.9868156424581006,0.1999988795110186
13,fleurs_mya_seacrowd_sptext,test,3.5995150980824335,1.0,0.9900876445702239
14,fleurs_ind_seacrowd_sptext,test,1.5588235294117647,1.0,1.0212364875658981
15,fleurs_zlm_seacrowd_sptext,test,1.6154217199558987,1.0,1.0342014006935474
16,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,1.479505300353357,1.0,1.0339221556886227
17,fleurs_fil_seacrowd_sptext,test,1.5544013333850148,1.0,1.0232227066464987
18,fleurs_lao_seacrowd_sptext,test,4.571916346564234,1.0,1.1348099371445675
