index,dataset,fold,wer,mer,cer
0,commonvoice_120_vie_seacrowd_sptext,test,6.721563154221912,1.0,1.0558917833718289
1,fleurs_khm_seacrowd_sptext,test,4.845433255269321,1.0,1.018615907623083
2,fleurs_lao_seacrowd_sptext,test,5.183222958057395,1.0,1.04171421217451
3,fleurs_ceb_seacrowd_sptext,test,20.803076923076922,1.0,0.9968241201884905
4,fleurs_vie_seacrowd_sptext,test,22.076726342710998,1.0,1.0591899377961957
5,asr_ibsc_seacrowd_sptext,test,20.157509157509157,1.0,1.083469491238943
6,fleurs_tha_seacrowd_sptext,test,3.6910994764397906,1.0,1.032535550644843
7,fleurs_mya_seacrowd_sptext,test,9.72561629153269,1.0,1.0227240879335837
8,fleurs_jav_seacrowd_sptext,test,19.531886024423336,1.0,1.0068957347976546
9,fleurs_zlm_seacrowd_sptext,test,17.982651796778192,1.0,1.0553547814214173
10,commonvoice_120_cnh_seacrowd_sptext,test,6.774271844660194,1.0,1.0207266808432438
11,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,5.754245754245754,1.0,1.0418263269022376
12,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,5.654345654345654,1.0,1.0073546219823688
13,commonvoice_120_tha_seacrowd_sptext,test,1.3037795537795538,1.0,1.0263682574149928
14,commonvoice_120_ind_seacrowd_sptext,test,5.422817112834626,1.0,1.061687022294453
15,fleurs_ind_seacrowd_sptext,test,18.354395604395606,1.0,1.0151636183976618
16,fleurs_fil_seacrowd_sptext,test,24.224413145539906,1.0,0.9968093518850264
17,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,5.584415584415584,1.0,1.0264582578541483
18,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,5.674603174603175,1.0,1.0226280113041244
