index,dataset,fold,wer,mer,cer
0,commonvoice_120_vie_seacrowd_sptext,test,7.3963133640553,1.0,0.9976104711294982
1,asr_ibsc_seacrowd_sptext,test,23.268498942917546,1.0,0.9878952122854562
2,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,5.66,1.0,0.9928491280120195
3,commonvoice_120_tha_seacrowd_sptext,test,1.3491426486683693,1.0,0.9694620126302286
4,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,5.59,1.0,0.9919630484988453
5,fleurs_mya_seacrowd_sptext,test,10.311363636363636,1.0,0.9859965653952976
6,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,5.72,1.0,0.9924300040679884
7,commonvoice_120_cnh_seacrowd_sptext,test,7.314547837483618,1.0,0.999004584942085
8,fleurs_vie_seacrowd_sptext,test,30.217036172695448,1.0,0.9923126367526084
9,fleurs_jav_seacrowd_sptext,test,19.77335164835165,1.0,0.9865800552082167
10,fleurs_khm_seacrowd_sptext,test,5.360570687418936,1.0,0.9767896368150714
11,fleurs_tha_seacrowd_sptext,test,4.121449559255632,1.0,0.9603451205120788
12,fleurs_ind_seacrowd_sptext,test,19.449781659388645,1.0,0.985443008130629
13,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,5.76,1.0,0.9929416685546977
14,commonvoice_120_ind_seacrowd_sptext,test,5.940499040307102,1.0,0.9931368460076927
15,fleurs_fil_seacrowd_sptext,test,26.762448132780083,1.0,0.990880698073622
16,fleurs_ceb_seacrowd_sptext,test,24.994454713493532,1.0,0.9937756356033643
17,fleurs_lao_seacrowd_sptext,test,5.785185185185185,1.0,0.9862983853397564
18,fleurs_zlm_seacrowd_sptext,test,19.375166889185582,1.0,0.9863454169052548
