index,dataset,fold,wer,mer,cer
0,fleurs_fil_seacrowd_sptext,test,26.762448132780083,1.0,0.9518758535560458
1,commonvoice_120_tha_seacrowd_sptext,test,1.2974279460051077,1.0,0.988985837611844
2,fleurs_lao_seacrowd_sptext,test,5.777777777777778,1.0,0.9928250292541726
3,fleurs_tha_seacrowd_sptext,test,4.121449559255632,1.0,0.9814171500113993
4,commonvoice_120_cnh_seacrowd_sptext,test,7.300131061598951,1.0,0.9658006042296072
5,fleurs_vie_seacrowd_sptext,test,30.217036172695448,1.0,0.972775415409126
6,commonvoice_120_vie_seacrowd_sptext,test,7.3963133640553,1.0,0.9755090352820606
7,fleurs_khm_seacrowd_sptext,test,5.360570687418936,1.0,0.9809139135010595
8,asr_ibsc_seacrowd_sptext,test,23.268498942917546,1.0,0.9575630830665427
9,fleurs_ceb_seacrowd_sptext,test,24.99260628465804,1.0,0.9487609417735077
10,fleurs_jav_seacrowd_sptext,test,19.77335164835165,1.0,0.9517578466312573
11,fleurs_zlm_seacrowd_sptext,test,19.375166889185582,1.0,0.9501903929754161
12,fleurs_mya_seacrowd_sptext,test,10.307954545454546,1.0,0.977551037420495
13,fleurs_ind_seacrowd_sptext,test,19.449781659388645,1.0,0.9527714869945692
14,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,5.76,1.0,0.9503508821774583
15,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,5.59,1.0,0.9584050747621206
16,commonvoice_120_ind_seacrowd_sptext,test,5.939402248423361,1.0,0.9569583820722772
17,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,5.72,1.0,0.9552294795769669
18,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,5.66,1.0,0.9567897176292692
