index,dataset,fold,wer,mer,cer
0,fleurs_zlm_seacrowd_sptext,test,19.375166889185582,1.0,0.9518365896706072
1,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,5.76,1.0,0.9566801092754
2,commonvoice_120_tha_seacrowd_sptext,test,1.3491426486683693,1.0,0.9986477666654943
3,fleurs_lao_seacrowd_sptext,test,5.785185185185185,1.0,0.9937090278390217
4,commonvoice_120_cnh_seacrowd_sptext,test,7.314547837483618,1.0,0.9685492974193297
5,fleurs_khm_seacrowd_sptext,test,5.360570687418936,1.0,0.9835118029301398
6,fleurs_ceb_seacrowd_sptext,test,24.994454713493532,1.0,0.946994751509754
7,fleurs_mya_seacrowd_sptext,test,10.311363636363636,1.0,0.9984955476342148
8,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,5.59,1.0,0.9598135680994303
9,fleurs_vie_seacrowd_sptext,test,30.217036172695448,1.0,0.9634107857629258
10,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,5.66,1.0,0.9594621737537956
11,asr_ibsc_seacrowd_sptext,test,23.268498942917546,1.0,0.9531644580979407
12,fleurs_jav_seacrowd_sptext,test,19.77335164835165,1.0,0.9514794199501977
13,commonvoice_120_vie_seacrowd_sptext,test,7.3963133640553,1.0,0.9744196293977133
14,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,5.72,1.0,0.9590293478499462
15,fleurs_ind_seacrowd_sptext,test,19.449781659388645,1.0,0.9529854412758935
16,fleurs_fil_seacrowd_sptext,test,26.762448132780083,1.0,0.9523078648045945
17,fleurs_tha_seacrowd_sptext,test,4.121449559255632,1.0,0.9961226284849025
18,commonvoice_120_ind_seacrowd_sptext,test,5.940499040307102,1.0,0.9585669631577005
