index,dataset,fold,wer,mer,cer
0,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,0.5495527728085867,0.5422771403353928,0.12994367032315446
1,commonvoice_120_vie_seacrowd_sptext,test,0.4260643821391485,0.42368855844692277,0.1924762048647832
2,fleurs_mya_seacrowd_sptext,test,1.9715671148335905,0.9997205923442303,0.9777856389967801
3,fleurs_fil_seacrowd_sptext,test,0.33493546261483004,0.3291934930854509,0.099633927777001
4,fleurs_khm_seacrowd_sptext,test,4.411565448826519,0.9971561389116762,1.1122086727247045
5,fleurs_tha_seacrowd_sptext,test,1.4838403041825095,0.9434874584466606,0.3067575857675428
6,fleurs_ind_seacrowd_sptext,test,0.2791498278700793,0.2776537144558583,0.059960594280845624
7,asr_ibsc_seacrowd_sptext,test,0.8140105397056151,0.8011267101851024,0.2902648265572548
8,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,0.563986013986014,0.551076187222412,0.13715248525695029
9,commonvoice_120_ind_seacrowd_sptext,test,0.11105469651511654,0.11002377903786355,0.027688849048818315
10,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.6473498233215548,0.628042509427494,0.1831137724550898
11,fleurs_vie_seacrowd_sptext,test,0.29259345072598086,0.2907186432874189,0.12365380764576314
12,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.534375,0.5242718446601942,0.12781723617247356
13,fleurs_zlm_seacrowd_sptext,test,0.3151185226019846,0.312384725732632,0.07403665892820717
14,fleurs_ceb_seacrowd_sptext,test,0.6417689690874131,0.6263442800433057,0.19498986968158283
15,commonvoice_120_cnh_seacrowd_sptext,test,0.9858448306755062,0.9712268314210062,0.5964420259522812
16,commonvoice_120_tha_seacrowd_sptext,test,1.3825716603569498,0.9685072930479257,0.2373307711485292
17,fleurs_lao_seacrowd_sptext,test,2.642765685019206,0.993900481540931,1.0578868602214906
18,fleurs_jav_seacrowd_sptext,test,0.8235498436957277,0.7984778069643699,0.2768745904452835
