index,dataset,fold,wer,mer,cer
0,fleurs_mya_seacrowd_sptext,test,1.2249283667621778,1.0,0.9510663182061019
1,fleurs_khm_seacrowd_sptext,test,2.4718122429228164,0.9952264978080857,0.7442158293704977
2,fleurs_ind_seacrowd_sptext,test,0.2590929501571621,0.2556302148711512,0.06316630278502583
3,fleurs_zlm_seacrowd_sptext,test,0.2855567805953694,0.2817514277943976,0.08084585571496566
4,commonvoice_120_ind_seacrowd_sptext,test,0.3170551580890838,0.3107301185198589,0.08310923293635548
5,commonvoice_120_tha_seacrowd_sptext,test,5.016292590589508,0.9918991538225033,1.00623271995899
6,fleurs_jav_seacrowd_sptext,test,1.0048627995831887,1.0,0.9322765521473669
7,fleurs_fil_seacrowd_sptext,test,0.3767587891003527,0.3663638762202706,0.17263864349904035
8,indspeech_newstra_ethnicsr_nooverlap_btk_seacrowd_sptext,test,0.6793286219081273,0.6442694369973191,0.3122455089820359
9,indspeech_newstra_ethnicsr_nooverlap_jav_seacrowd_sptext,test,1.1110912343470483,1.0,0.989267714201008
10,indspeech_newstra_ethnicsr_nooverlap_ban_seacrowd_sptext,test,0.5953125,0.5686567164179105,0.23748671774509256
11,fleurs_vie_seacrowd_sptext,test,0.33723354958294716,0.33085811706762647,0.1969423912381052
12,commonvoice_120_vie_seacrowd_sptext,test,0.3684319833852544,0.3485607623538658,0.21058065165936446
13,fleurs_tha_seacrowd_sptext,test,3.24643536121673,0.9974445093457944,0.9427193934531956
14,fleurs_lao_seacrowd_sptext,test,2.302176696542894,1.0,0.9695101267085703
15,commonvoice_120_cnh_seacrowd_sptext,test,1.0057337394732127,0.973971889640812,0.6855169526998744
16,asr_ibsc_seacrowd_sptext,test,0.9177721242958387,0.8737889273356402,0.4815964192465498
17,indspeech_newstra_ethnicsr_nooverlap_sun_seacrowd_sptext,test,1.091958041958042,0.98470755163172,0.9641392867172143
18,fleurs_ceb_seacrowd_sptext,test,0.705516935364591,0.6712164919439949,0.36297806348332873
