,display_name,ISO code,Language,Relevant Countries,Country,# Speakers,is_in_seacrowd,population
0,Belait (beg),beg,Belait,Brunei,Brunei,1240,True,<10K
1,Brunei (kxd),kxd,Brunei,Brunei,Brunei,295000,True,<1M
2,Brunei Bisaya (bsb),bsb,Brunei Bisaya,"Brunei, Malaysia",Brunei,37600,True,<100K
3,Eastern Penan (pez),pez,Eastern Penan,"Brunei, Malaysia",Brunei,10000,True,<100K
4,Iban (iba),iba,Iban,"Brunei, Indonesia, Malaysia",Brunei,1452000,True,<10M
5,Lundayeh (lnd),lnd,Lundayeh,"Brunei, Indonesia, Malaysia",Brunei,23000,True,<100K
6,Tutong (ttd),ttd,Tutong,Brunei,Brunei,7000,True,<10K
7,Brao (brb),brb,Brao,"Cambodia, Laos, Vietnam",Cambodia,22800,True,<100K
8,Bulo Stieng (sti),sti,Bulo Stieng,"Cambodia, Vietnam",Cambodia,45000,True,<100K
9,Cambodian Sign Language (csx),csx,Cambodian Sign Language,Cambodia,Cambodia,7500,False,<10K
10,Central Mnong (cmo),cmo,Central Mnong,"Cambodia, Vietnam",Cambodia,32500,True,<100K
11,Chung (scq),scq,Chung,Cambodia,Cambodia,10,True,<100
12,Jarai (jra),jra,Jarai,"Cambodia, Vietnam",Cambodia,242000,True,<1M
13,Kachok (xkk),xkk,Kachok,Cambodia,Cambodia,3370,False,<10K
14,Kavet (krv),krv,Kavet,Cambodia,Cambodia,6220,False,<10K
15,Khmer (khm),khm,Khmer,"Cambodia, Vietnam",Cambodia,17390040,True,<100M
16,Kraol (rka),rka,Kraol,Cambodia,Cambodia,4200,True,<10K
17,Krung (krr),krr,Krung,Cambodia,Cambodia,20700,True,<100K
18,Kuay (kdt),kdt,Kuay,"Cambodia, Laos, Thailand",Cambodia,400000,True,<1M
19,Lao (lao),lao,Lao,"Cambodia, Laos",Laos,3870000,True,<10M
20,Mel-Khaonh (hkn),hkn,Mel-Khaonh,Cambodia,Cambodia,4000,False,<10K
21,Pear (pcb),pcb,Pear,Cambodia,Cambodia,1670,True,<10K
22,Samre (sxm),sxm,Samre,"Cambodia, Thailand",Cambodia,1,True,<10
23,Somray (smu),smu,Somray,Cambodia,Cambodia,4100,True,<10K
24,Su’ung (syo),syo,Su’ung,Cambodia,Cambodia,860,True,<1K
25,Tampuan (tpu),tpu,Tampuan,Cambodia,Cambodia,31000,True,<100K
26,Western Cham (cja),cja,Western Cham,"Cambodia, Vietnam",Cambodia,204000,True,<1M
27,Atauran (adb),adb,Atauran,East Timor,East Timor,5000,False,<10K
28,Baikeno (bkx),bkx,Baikeno,East Timor,East Timor,72000,True,<100K
29,Bunak (bfn),bfn,Bunak,"East Timor, Indonesia",East Timor,55000,True,<100K
30,Fataluku (ddg),ddg,Fataluku,East Timor,East Timor,37000,True,<100K
31,Galolen (gal),gal,Galolen,"East Timor, Indonesia",East Timor,13000,True,<100K
32,Habun (hbu),hbu,Habun,East Timor,East Timor,2700,True,<10K
33,Idaté (idt),idt,Idaté,East Timor,East Timor,13500,True,<100K
34,Kairui-Midiki (krd),krd,Kairui-Midiki,East Timor,East Timor,15000,True,<100K
