,model,gini
3,Meta-Llama-3-8B-Instruct,0.09640963941395868
9,aya-101,0.11211197782891845
6,mt0-xl,0.1510788350046483
12,Sailor-7B-Chat,0.15247232918282191
2,Mistral-7B-Instruct-v0.2,0.16060409296199657
8,bactrian-x-llama-7b-merged,0.16314670479606627
16,LLaMa3-8b-WangchanX-sft-Demo,0.16339842680514458
5,Qwen-7B-Chat,0.17172760652076682
17,malaysian-llama-3-8b-instruct-16k,0.18131480037613062
11,SeaLLM-7B-v2.5,0.19740403463898482
1,command-r,0.20074335010147024
15,Merak-7B-v4,0.20928164302919985
7,bloomz-7b1,0.23765458045123367
0,gpt-4,0.24115047778789397
10,sea-lion-7b-instruct-research,0.2498100666865299
4,falcon-7b-instruct,0.2521161715517553
14,cendol-llama2-7b,0.2940746199197088
13,cendol-mt5-xl,0.40727343304823777
