display_name,ISO code,Language,Relevant Countries,Country,# Speakers
Belait (beg),beg,Belait,Brunei,Brunei,1240
Brunei (kxd),kxd,Brunei,Brunei,Brunei,295000
Brunei Bisaya (bsb),bsb,Brunei Bisaya,"Brunei, Malaysia",Brunei,37600
Eastern Penan (pez),pez,Eastern Penan,"Brunei, Malaysia",Brunei,10000
Iban (iba),iba,Iban,"Brunei, Indonesia, Malaysia",Brunei,1452000
Lundayeh (lnd),lnd,Lundayeh,"Brunei, Indonesia, Malaysia",Brunei,23000
Tutong (ttd),ttd,Tutong,Brunei,Brunei,7000
Brao (brb),brb,Brao,"Cambodia, Laos, Vietnam",Cambodia,22800
Bulo Stieng (sti),sti,Bulo Stieng,"Cambodia, Vietnam",Cambodia,45000
Cambodian Sign Language (csx),csx,Cambodian Sign Language,Cambodia,Cambodia,7500
Central Mnong (cmo),cmo,Central Mnong,"Cambodia, Vietnam",Cambodia,32500
Chung (scq),scq,Chung,Cambodia,Cambodia,10
Jarai (jra),jra,Jarai,"Cambodia, Vietnam",Cambodia,242000
Kachok (xkk),xkk,Kachok,Cambodia,Cambodia,3370
Kavet (krv),krv,Kavet,Cambodia,Cambodia,6220
Khmer (khm),khm,Khmer,"Cambodia, Vietnam",Cambodia,17390040
Kraol (rka),rka,Kraol,Cambodia,Cambodia,4200
Krung (krr),krr,Krung,Cambodia,Cambodia,20700
Kuay (kdt),kdt,Kuay,"Cambodia, Laos, Thailand",Cambodia,400000
Lao (lao),lao,Lao,"Cambodia, Laos",Laos,3870000
Mel-Khaonh (hkn),hkn,Mel-Khaonh,Cambodia,Cambodia,4000
Pear (pcb),pcb,Pear,Cambodia,Cambodia,1670
Samre (sxm),sxm,Samre,"Cambodia, Thailand",Cambodia,1
Somray (smu),smu,Somray,Cambodia,Cambodia,4100
Su’ung (syo),syo,Su’ung,Cambodia,Cambodia,860
Tampuan (tpu),tpu,Tampuan,Cambodia,Cambodia,31000
Western Cham (cja),cja,Western Cham,"Cambodia, Vietnam",Cambodia,204000
Atauran (adb),adb,Atauran,East Timor,East Timor,5000
