crawl,year,primary_language,is SEA?,pages,urls,%pages/crawl
CC-MAIN-2018-34,2018,ceb,TRUE,30629,30517,0.0011
CC-MAIN-2018-34,2018,eng,FALSE,1178882529,1161432337,43.8846
CC-MAIN-2018-34,2018,ind,TRUE,19876418,19670480,0.7399
CC-MAIN-2018-34,2018,jav,TRUE,31469,31373,0.0012
CC-MAIN-2018-34,2018,jpn,FALSE,143535898,142054611,5.3432
CC-MAIN-2018-34,2018,khm,TRUE,131955,130977,0.0049
CC-MAIN-2018-34,2018,kor,FALSE,15020842,14834806,0.5592
CC-MAIN-2018-34,2018,lao,TRUE,50900,50380,0.0019
CC-MAIN-2018-34,2018,mya,TRUE,213473,211957,0.0079
CC-MAIN-2018-34,2018,por,FALSE,53220076,52581446,1.9811
CC-MAIN-2018-34,2018,san,FALSE,44718,44187,0.0017
CC-MAIN-2018-34,2018,sun,TRUE,13950,13856,0.0005
CC-MAIN-2018-34,2018,tam,FALSE,802423,797970,0.0299
CC-MAIN-2018-34,2018,tgl,TRUE,209645,209005,0.0078
CC-MAIN-2018-34,2018,tha,TRUE,8536698,8473274,0.3178
CC-MAIN-2018-34,2018,vie,TRUE,20055433,19903903,0.7466
CC-MAIN-2018-34,2018,war,TRUE,54391,54016,0.002
CC-MAIN-2018-34,2018,zho,FALSE,113531714,113023462,4.2263
CC-MAIN-2018-39,2018,ceb,TRUE,37808,37733,0.0013
CC-MAIN-2018-39,2018,eng,FALSE,1280182051,1262729057,45.0579
CC-MAIN-2018-39,2018,ind,TRUE,21105983,20905174,0.7429
CC-MAIN-2018-39,2018,jav,TRUE,34621,34527,0.0012
CC-MAIN-2018-39,2018,jpn,FALSE,156919435,155729928,5.523
CC-MAIN-2018-39,2018,khm,TRUE,183198,176086,0.0064
CC-MAIN-2018-39,2018,kor,FALSE,16888642,16780060,0.5944
CC-MAIN-2018-39,2018,lao,TRUE,104226,103445,0.0037
CC-MAIN-2018-39,2018,mya,TRUE,357586,352523,0.0126
CC-MAIN-2018-39,2018,por,FALSE,57804447,57212159,2.0345
CC-MAIN-2018-39,2018,san,FALSE,57625,57369,0.002
CC-MAIN-2018-39,2018,sun,TRUE,17175,17125,0.0006
CC-MAIN-2018-39,2018,tam,FALSE,1454180,1420041,0.0512
CC-MAIN-2018-39,2018,tgl,TRUE,193633,190758,0.0068
CC-MAIN-2018-39,2018,tha,TRUE,8253600,8193071,0.2905
CC-MAIN-2018-39,2018,vie,TRUE,21243376,21109045,0.7477
CC-MAIN-2018-39,2018,war,TRUE,61664,61239,0.0022
CC-MAIN-2018-39,2018,zho,FALSE,129632990,129097780,4.5626
CC-MAIN-2018-43,2018,ceb,TRUE,44977,44903,0.0015
CC-MAIN-2018-43,2018,eng,FALSE,1311380573,1294592847,43.1122
CC-MAIN-2018-43,2018,ind,TRUE,22917168,22755378,0.7534
CC-MAIN-2018-43,2018,jav,TRUE,36872,36789,0.0012
CC-MAIN-2018-43,2018,jpn,FALSE,164699835,163294150,5.4146
CC-MAIN-2018-43,2018,khm,TRUE,153324,151963,0.005
CC-MAIN-2018-43,2018,kor,FALSE,18346237,18263754,0.6031
CC-MAIN-2018-43,2018,lao,TRUE,66004,65644,0.0022
CC-MAIN-2018-43,2018,mya,TRUE,259516,258698,0.0085
CC-MAIN-2018-43,2018,por,FALSE,59355355,58778355,1.9513
CC-MAIN-2018-43,2018,san,FALSE,54603,54321,0.0018
CC-MAIN-2018-43,2018,sun,TRUE,15334,15280,0.0005
CC-MAIN-2018-43,2018,tam,FALSE,948012,943318,0.0312
CC-MAIN-2018-43,2018,tgl,TRUE,193991,193200,0.0064
CC-MAIN-2018-43,2018,tha,TRUE,8947278,8884873,0.2941
CC-MAIN-2018-43,2018,vie,TRUE,23250258,23088890,0.7644
CC-MAIN-2018-43,2018,war,TRUE,60876,60358,0.002
CC-MAIN-2018-43,2018,zho,FALSE,158122717,157483503,5.1984
CC-MAIN-2018-47,2018,ceb,TRUE,29765,29672,0.0011
CC-MAIN-2018-47,2018,eng,FALSE,1154728121,1137824732,43.6311
CC-MAIN-2018-47,2018,ind,TRUE,20444991,20274722,0.7725
CC-MAIN-2018-47,2018,jav,TRUE,35740,35618,0.0014
CC-MAIN-2018-47,2018,jpn,FALSE,147812347,146337305,5.5851
CC-MAIN-2018-47,2018,khm,TRUE,165802,165064,0.0063
CC-MAIN-2018-47,2018,kor,FALSE,15393324,15320431,0.5816
CC-MAIN-2018-47,2018,lao,TRUE,74426,74137,0.0028
CC-MAIN-2018-47,2018,mya,TRUE,257888,257155,0.0097
CC-MAIN-2018-47,2018,por,FALSE,52368242,51836029,1.9787
CC-MAIN-2018-47,2018,san,FALSE,62436,62099,0.0024
CC-MAIN-2018-47,2018,sun,TRUE,15229,15123,0.0006
CC-MAIN-2018-47,2018,tam,FALSE,1251200,1247517,0.0473
CC-MAIN-2018-47,2018,tgl,TRUE,176644,176051,0.0067
CC-MAIN-2018-47,2018,tha,TRUE,7860020,7810827,0.297
CC-MAIN-2018-47,2018,vie,TRUE,20399254,20233938,0.7708
CC-MAIN-2018-47,2018,war,TRUE,58213,57624,0.0022
CC-MAIN-2018-47,2018,zho,FALSE,130515854,129869269,4.9315
CC-MAIN-2018-51,2018,ceb,TRUE,42006,41908,0.0013
CC-MAIN-2018-51,2018,eng,FALSE,1394067798,1374809417,44.0568
CC-MAIN-2018-51,2018,ind,TRUE,22958101,22783179,0.7255
CC-MAIN-2018-51,2018,jav,TRUE,39729,39462,0.0013
CC-MAIN-2018-51,2018,jpn,FALSE,170080108,168634995,5.3751
