Region,,ISO code,Language name,,# Datasets
Non-indigenous,,eng,English,,63
Non-indigenous,,yue,Cantonese,,2
Non-indigenous,,por,Portuguese,,6
Non-indigenous,,cmn,Mandarin Chinese,,10
Non-indigenous,,tam,Tamil,,7
Non-indigenous,,san,Sanskrit,,4
Brunei,,beg,Belait,,1
Brunei,,kxd,Brunei,,3
Brunei,,bsb,Brunei Bisaya,,2
Brunei,,pez,Eastern Penan,,0
Brunei,,iba,Iban,,7
Brunei,,lnd,Lundayeh,,2
Brunei,,ttd,Tutong,,1
Cambodia,,brb,Brao,,4
Cambodia,,sti,Bulo Stieng,,1
Cambodia,,csx,Cambodian Sign Language,,0
Cambodia,,cmo,Central Mnong,,6
Cambodia,,scq,Chung,,1
Cambodia,,jra,Jarai,,7
Cambodia,,xkk,Kachok,,0
Cambodia,,krv,Kavet,,0
Cambodia,,khm,Khmer,,50
Cambodia,,rka,Kraol,,1
Cambodia,,krr,Krung,,4
Cambodia,,kdt,Kuay,,1
Cambodia,,lao,Lao,,36
Cambodia,,hkn,Mel-Khaonh,,0
Cambodia,,pcb,Pear,,3
Cambodia,,sxm,Samre,,2
Cambodia,,smu,Somray,,1
Cambodia,,syo,Su’ung,,1
Cambodia,,tpu,Tampuan,,5
Cambodia,,cja,Western Cham,,1
East Timor,,adb,Atauran,,0
East Timor,,bkx,Baikeno,,4
East Timor,,bfn,Bunak,,4
East Timor,,ddg,Fataluku,,4
East Timor,,gal,Galolen,,3
East Timor,,hbu,Habun,,1
East Timor,,idt,Idaté,,3
East Timor,,krd,Kairui-Midiki,,1
East Timor,,kem,Kemak,,1
East Timor,,lka,Lakalei,,0
East Timor,,mjb,Makalero,,0
East Timor,,mkz,Makasae,,4
East Timor,,lva,Makuva,,0
East Timor,,mgm,Mambae,,4
East Timor,,nxa,Nauete,,4
East Timor,,tet,Tetun,,14
East Timor,,tdt,Tetun Dili,,8
East Timor,,tvy,Timor Pidgin,,0
East Timor,,tkd,Tukudede,,3
East Timor,,wmh,Waima’a,,1
East Timor,,wlh,Welaun,,0
Indonesia,,bsa,Abinomn,,1
Indonesia,,abz,Abui,,2
Indonesia,,kgr,Abun,,1
Indonesia,,ace,Aceh,,24
Indonesia,,adn,Adang,,1
Indonesia,,adr,Adonara,,0
Indonesia,,ahh,Aghu,,1
Indonesia,,air,Airoran,,1
Indonesia,,aol,Alor,,2
Indonesia,,alp,Alune,,5
Indonesia,,amq,Amahai,,1
Indonesia,,aaz,Amarasi,,3
Indonesia,,amk,Ambai,,5
Indonesia,,wgo,Ambel,,1
Indonesia,,amv,Ambelau,,0
Indonesia,,abs,Ambonese Malay,,7
Indonesia,,apg,Ampanang,,0
Indonesia,,akg,Anakalangu,,1
Indonesia,,bpo,Anasi,,0
Indonesia,,bzb,Andio,,0
Indonesia,,yli,Angguruk Yali,,2
Indonesia,,and,Ansus,,1
Indonesia,,auq,Anus,,0
Indonesia,,pni,Aoheng,,0
Indonesia,,apx,Aputai,,1
Indonesia,,atq,Aralle-Tabulahan,,2
Indonesia,,jbj,Arandai,,1
Indonesia,,agf,Arguni,,1
Indonesia,,asz,As,,1
Indonesia,,asl,Asilulu,,1
Indonesia,,psa,Asue Awyu,,1
Indonesia,,aqm,Atohwaim,,1
Indonesia,,auu,Auye,,1
Indonesia,,awh,Awbono,,1
Indonesia,,awr,Awera,,1
Indonesia,,auw,Awyi,,1
Indonesia,,btj,Bacanese Malay,,1
Indonesia,,bhz,Bada,,2
Indonesia,,khd,Bädi Kanum,,1
Indonesia,,bac,Badui,,1
Indonesia,,bqb,Bagusa,,1
Indonesia,,bdw,Baham,,1
Indonesia,,bhv,Bahau,,0
Indonesia,,bsu,Bahonsuai,,0
Indonesia,,bei,Bakati’,,1
Indonesia,,bkr,Bakumpai,,1
Indonesia,,bls,Balaesang,,1
Indonesia,,blz,Balantak,,5
Indonesia,,ban,Bali,,22
Indonesia,,mhp,Balinese Malay,,0
Indonesia,,ptu,Bambam,,5
Indonesia,,bnd,Banda,,1
Indonesia,,bpq,Banda Malay,,1
Indonesia,,bgz,Banggai,,2
Indonesia,,mfb,Bangka,,1
Indonesia,,bjn,Banjar,,24
Indonesia,,bnq,Bantik,,1
Indonesia,,baj,Barakai,,1
Indonesia,,brp,Barapasi,,1
Indonesia,,brs,Baras,,1
Indonesia,,bdb,Basap,,0
Indonesia,,btz,Batak Alas-Kluet,,1
Indonesia,,akb,Batak Angkola,,3
Indonesia,,btd,Batak Dairi,,3
Indonesia,,btx,Batak Karo,,7
Indonesia,,btm,Batak Mandailing,,3
Indonesia,,bts,Batak Simalungun,,5
Indonesia,,bbc,Batak Toba,,9
Indonesia,,bvt,Bati,,0
Indonesia,,zbt,Batui,,0
Indonesia,,bay,Batuley,,1
Indonesia,,sne,Bau Bidayuh,,1
Indonesia,,bvz,Bauzi,,2
Indonesia,,byl,Bayono,,1
Indonesia,,bed,Bedoanas,,1
Indonesia,,ebc,Beginci,,0
Indonesia,,bep,Behoa,,1
Indonesia,,bnv,Beneraf,,1
Indonesia,,bgy,Benggoi,,0
Indonesia,,bnu,Bentong,,0
Indonesia,,byd,Benyadu’,,0
Indonesia,,bve,Berau Malay,,0
Indonesia,,bkl,Berik,,1
Indonesia,,bfe,Betaf,,1
Indonesia,,bew,Betawi,,9
Indonesia,,bhw,Biak,,2
Indonesia,,bpv,Bian Marind,,1
Indonesia,,bth,Biatah Bidayuh,,2
Indonesia,,bhc,Biga,,1
Indonesia,,bpz,Bilba,,0
Indonesia,,bhp,Bima,,5
Indonesia,,bne,Bintauna,,0
Indonesia,,bqq,Biritai,,1
Indonesia,,beu,Blagar,,2
Indonesia,,bzn,Boano,,0
Indonesia,,bzl,Boano,,1
Indonesia,,bgb,Bobongko,,0
Indonesia,,bty,Bobot,,1
Indonesia,,bld,Bolango,,0
