task,display_name,schema,modality
Abstract Meaning Representation,Abstract Mean. Repr.,NONE,Text
Abstractive Summarization,Abs. Summariz.,T2T,Text
Abusive Language Detection,Abusive Lang. Det.,TEXT,Text
Aspect Based Sentiment Analysis,ABSA,TEXT_MULTI,Text
Automatic Essay Scoring,Essay Scoring,PAIRS_SCORE,Text
Automatic Speech Recognition,ASR,SPTEXT,Speech
Chatbot,Chatbot,T2T,Text
Clickbait Detection,Clickbait Det.,TEXT,Text
Code-switching Identification,Code-switch. ID,TEXT,Text
Commonsense Reasoning,Commonsense,QA,Text
Constituency Parsing,Const. Parsing,TREE,Text
Coreference Resolution,Coref. Res.,KB,Text
Cross-lingual Abstractive Summarization,X-Abs. Summariz.,T2T,Text
Cross-Lingual Abstractive Summarization,X-Abs. Summariz.,T2T,Text
Dependency Parsing,Dep. Parsing,KB,Text
Dialect Identification,Dialect ID,TEXT,Text
Dialogue System,Dialogue System,T2T,Text
Emotion Classification,Emo Cls.,TEXT,Text
Emotion Recognition,Emo Cls.,TEXT,Text
Entity Linking,Entity Link.,NONE,Text
Fact Checking,Fact Check.,NONE,Text
Goal-oriented Generation,Goal-orient. Gen.,NONE,Text
Grammatical Error Correction,Error Correct.,T2T,Text
Hate Speech Detection,Hate Speech Det.,TEXT,Text
Hoax Detection,Hoax Det.,TEXT,Text
Image-to-Text Generation,Img. Cap.,IMTEXT,VL
Instruction Tuning,Instruction Tuning,T2T,Text
Intent Classification,Intent Cls.,TEXT,Text
Keyword Extraction,Keyword Extract.,SEQ_LABEL,Text
Knowledge Base,Knowledge Base,KB,Text
Language Identification,LID,TEXT,Text
Language Modeling,Lang. Model.,SSP,Text
Legal Classification,Legal Cls.,TEXT,Text
Lexical Normalization,Lexical Norm.,T2T,Text
Machine Translation,MT,T2T,Text
Morphological Inflections,Morph. Inflect.,PAIRS_MULTI,Text
Multimodal Summarization,MM. Summariz.,NONE,VL
Named Entity Recognition,NER,SEQ_LABEL,Text
Named Entiy Recognition,NER,SEQ_LABEL,Text
Natural Language Inference,NLI,PAIRS,Text
Next Tweet Prediction,Next Tweet Pred.,PAIRS,Text
Optical Character Recognition,OCR,IMTEXT,VL
Paraphrasing,Paraphrasing,T2T,Text
Poem Generation,Poem Gen.,T2T,Text
POS Tagging,POS Tag.,SEQ_LABEL,Text
Question Answering,Question Answering,QA,Text
Question Generation,Question Generation,NONE,Text
Readibility Assessment,Read. Assess.,TEXT,Text
Relation Extraction,Relation Extract.,KB,Text
Rhetoric Mode,Rhetoric Mode Cls.,TEXT,Text
Semantic Role Labeling,SRL,NONE,Text
Semantic Textual Similarity,Sem. Text Sim.,PAIRS_SCORE,Text
Sentiment Analysis,Senti. Analysis,TEXT,Text
Short Answer Grading,Answer Grading,PAIRS_SCORE,Text
Sign Language Recognition,Sign Lang. Recog.,IMTEXT,VL
Slot Filling,Slot Filling,SEQ_LABEL,Text
Speech Emotion Recognition,SER,SPEECH,Speech
Speech-to-Speech Translation,S2S Trans.,S2S,Speech
Speech-to-Text Translation,S2T Trans.,SPTEXT,Speech
Spoken Language Identification,S-LID,SPEECH,Speech
Spoken Language Understanding,SLU,NONE,Speech
Stance Detection,Stance Det.,PAIRS,Text
Statement Tagging,Statement Tag.,SEQ_LABEL,Text
Style Transfer,Style Transfer,T2T,Text
Summarization,Summarization,T2T,Text
Text Classification,Text Cls.,TEXT,Text
Text Retrieval,Text Retriev.,PAIRS,Text
Text-to-Image Generation,Text-to-image Gen.,IMTEXT,VL
Text-To-Speech Synthesis,TTS,SPTEXT,Speech
Text-to-SQL,Text-to-SQL,NONE,Text
Token-level language identification,Token LID,SEQ_LABEL,Text
Topic Classification,Topic Cls.,TEXT,Text
Topic Modeling,Topic Modeling,TEXT,Text
Toxic Wordlist,Wordlist,NONE,Text
Tweet Ordering,Tweet Order.,SEQ_LABEL,Text
Video Captioning,Video Cap.,VIDTEXT,VL
Video-to-Text Retrieval,Video-to-text Retriev.,VIDTEXT,VL
Visual Question Answering,VQA,IMQA,VL
Visual Storytelling,Visual Storytell.,IMTEXT,VL
VL Modeling,VL Modeling,IMTEXT,VL
Word Analogy,Word Analogy,T2T,Text
Word lists,Wordlist,NONE,Text
Word Sense Disambiguation,WSD,T2T,Text
Word-level Translation,Word Translation,T2T,Text
Wordnet,Wordnet,NONE,Text
